epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9405,1.78055,3.42036,1.9069,0.42672,0.42841,0.39011,0.16817,1.73818,2.11153,1.78375,0.00331019,0.00331019,0.00331019
2,121.45,1.69871,2.2772,1.8236,0.26054,0.26872,0.18954,0.08365,2.02413,3.21081,2.21991,0.0065613,0.0065613,0.0065613
3,184.04,1.90377,2.73827,2.04332,0.16008,0.02397,0.00851,0.00305,3.17235,19.1389,3.38863,0.00972992,0.00972992,0.00972992
4,245.423,2.03305,3.13853,2.20463,0.08719,0.06419,0.02687,0.00865,2.75276,7.35066,3.41697,0.00962875,0.00962875,0.00962875
5,306.127,1.94949,2.95262,2.15115,0.17061,0.2149,0.099,0.03758,2.18488,5.27734,2.44211,0.009505,0.009505,0.009505
6,366.97,1.86319,2.80945,2.07092,0.22832,0.19277,0.13299,0.05126,2.17994,3.33889,2.32992,0.00938125,0.00938125,0.00938125
7,427.597,1.81932,2.6749,2.02239,0.28075,0.22921,0.17401,0.07061,2.15183,2.93866,2.30598,0.0092575,0.0092575,0.0092575
8,488.117,1.78165,2.55764,1.99096,0.27387,0.27934,0.20815,0.09119,2.00724,2.55122,2.2053,0.00913375,0.00913375,0.00913375
9,548.672,1.74016,2.45787,1.95561,0.45655,0.29154,0.26596,0.11532,1.91165,2.32349,2.11598,0.00901,0.00901,0.00901
10,609.364,1.71157,2.39732,1.92353,0.38566,0.32807,0.29766,0.12484,2.02084,2.30679,2.18807,0.00888625,0.00888625,0.00888625
11,669.823,1.68887,2.33577,1.91237,0.47441,0.34205,0.3278,0.14314,1.89867,2.22239,2.09196,0.0087625,0.0087625,0.0087625
12,730.449,1.67706,2.26497,1.88588,0.44942,0.3801,0.37215,0.1697,1.83181,2.05645,2.00058,0.00863875,0.00863875,0.00863875
13,790.863,1.64505,2.1874,1.85817,0.45746,0.40445,0.38241,0.17652,1.78853,2.0087,1.95924,0.008515,0.008515,0.008515
14,851.541,1.64275,2.15319,1.84404,0.46011,0.40378,0.39177,0.18689,1.75072,1.98176,1.93629,0.00839125,0.00839125,0.00839125
15,912.176,1.60967,2.09461,1.82294,0.48613,0.43566,0.42277,0.20328,1.75419,1.89484,1.924,0.0082675,0.0082675,0.0082675
16,972.6,1.5933,2.04595,1.80634,0.50213,0.4639,0.42621,0.20185,1.75822,1.86794,1.93316,0.00814375,0.00814375,0.00814375
17,1033,1.57915,2.0248,1.80126,0.49442,0.43439,0.43115,0.20357,1.76664,1.84566,1.94467,0.00802,0.00802,0.00802
18,1095.41,1.57627,1.97875,1.79555,0.50745,0.48738,0.45859,0.22321,1.73645,1.77269,1.93341,0.00789625,0.00789625,0.00789625
19,1155.94,1.54634,1.94059,1.77643,0.56568,0.47892,0.49012,0.24807,1.65209,1.71799,1.84115,0.0077725,0.0077725,0.0077725
20,1216.42,1.54555,1.8991,1.76089,0.56153,0.46406,0.4869,0.24664,1.70948,1.75237,1.90977,0.00764875,0.00764875,0.00764875
21,1276.97,1.5299,1.88152,1.75043,0.50131,0.4941,0.46395,0.22868,1.68908,1.75515,1.86775,0.007525,0.007525,0.007525
22,1337.46,1.50855,1.83154,1.73362,0.63369,0.49712,0.53092,0.27097,1.66564,1.64383,1.85872,0.00740125,0.00740125,0.00740125
