epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5071,0.42855,2.96612,0.36792,0.46026,0.44987,0.41214,0.18442,0.42656,2.39526,0.35608,0.00331019,0.00331019,0.00331019
2,122.868,0.41472,2.22209,0.34119,0.31679,0.28673,0.20772,0.08453,0.73104,5.63843,0.58877,0.0065613,0.0065613,0.0065613
3,185.896,0.53327,2.70368,0.43016,0.51547,0.03712,0.00922,0.00279,1.52188,inf,1.57541,0.00972992,0.00972992,0.00972992
4,246.951,0.6089,3.0262,0.47946,0.07518,0.12621,0.03395,0.0111,1.23666,18.7229,1.07563,0.00962875,0.00962875,0.00962875
5,306.669,0.55257,2.80073,0.43905,0.39734,0.15126,0.09268,0.03151,0.96346,3.98309,0.84239,0.009505,0.009505,0.009505
6,366.728,0.53,2.682,0.43164,0.17756,0.18508,0.10546,0.03903,0.69599,3.66966,0.59853,0.00938125,0.00938125,0.00938125
7,427.052,0.50301,2.57768,0.41453,0.40929,0.25965,0.21797,0.08558,0.67153,2.94687,0.56305,0.0092575,0.0092575,0.0092575
8,486.776,0.48676,2.47229,0.40549,0.39508,0.33819,0.30042,0.12104,0.73636,2.34518,0.60724,0.00913375,0.00913375,0.00913375
9,547.534,0.54168,2.38217,0.44332,0.39303,0.33745,0.31403,0.13158,0.71933,2.31596,0.60158,0.00901,0.00901,0.00901
10,608.257,0.49833,2.32382,0.41642,0.42528,0.35653,0.34075,0.13959,0.68129,2.22059,0.56996,0.00888625,0.00888625,0.00888625
11,668.549,0.48183,2.2667,0.4109,0.44813,0.36577,0.37007,0.15716,0.69621,2.16303,0.57707,0.0087625,0.0087625,0.0087625
12,729.591,0.5151,2.20957,0.43343,0.46143,0.4241,0.39937,0.17129,0.66249,2.03762,0.55806,0.00863875,0.00863875,0.00863875
13,789.97,0.49503,2.15414,0.42475,0.49024,0.45132,0.44623,0.19318,0.62459,1.9869,0.52563,0.008515,0.008515,0.008515
14,850.364,0.49815,2.09312,0.42609,0.5948,0.40483,0.44281,0.19701,0.69398,1.92194,0.58683,0.00839125,0.00839125,0.00839125
15,910.889,0.50338,2.05297,0.43548,0.50001,0.45359,0.43521,0.19328,0.70561,1.96437,0.58223,0.0082675,0.0082675,0.0082675
16,970.648,0.49419,2.02363,0.4319,0.54652,0.44971,0.47943,0.21919,0.60796,1.82238,0.51027,0.00814375,0.00814375,0.00814375
17,1030.2,0.5071,1.99814,0.44292,0.52161,0.43856,0.44838,0.20683,0.6704,1.86084,0.54923,0.00802,0.00802,0.00802
18,1089.98,0.50628,1.93723,0.44531,0.51529,0.48102,0.48054,0.2218,0.6489,1.84267,0.54106,0.00789625,0.00789625,0.00789625
19,1149.9,0.51421,1.90551,0.45068,0.58165,0.51047,0.51694,0.2414,0.67546,1.69829,0.56687,0.0077725,0.0077725,0.0077725
20,1210.71,0.52714,1.8911,0.46812,0.56899,0.49456,0.51993,0.25074,0.5977,1.70338,0.50489,0.00764875,0.00764875,0.00764875
21,1271.61,0.5349,1.84895,0.47172,0.56375,0.50225,0.50999,0.25593,0.56651,1.67612,0.48048,0.007525,0.007525,0.007525
22,1332.42,0.52378,1.81531,0.46537,0.59613,0.52973,0.5312,0.26023,0.58572,1.63277,0.49111,0.00740125,0.00740125,0.00740125
23,1393.23,0.53816,1.79314,0.47951,0.6237,0.49813,0.54819,0.26946,0.62897,1.62842,0.52077,0.0072775,0.0072775,0.0072775
24,1453.6,0.54074,1.74563,0.48432,0.60167,0.50815,0.5493,0.27647,0.60465,1.60816,0.51826,0.00715375,0.00715375,0.00715375
25,1513.08,0.53799,1.73416,0.48378,0.5784,0.52585,0.55009,0.27808,0.59623,1.56857,0.50243,0.00703,0.00703,0.00703
26,1572.92,0.54361,1.69131,0.49323,0.64253,0.51584,0.56295,0.29097,0.57314,1.54172,0.485,0.00690625,0.00690625,0.00690625
27,1632.39,0.54684,1.67401,0.49567,0.65443,0.54363,0.59405,0.30794,0.59449,1.47054,0.50191,0.0067825,0.0067825,0.0067825
28,1693.04,0.53857,1.6538,0.49348,0.6448,0.57683,0.61627,0.30771,0.61041,1.46432,0.51118,0.00665875,0.00665875,0.00665875
29,1753.18,0.54771,1.6238,0.50408,0.69436,0.55557,0.61127,0.31825,0.55398,1.44341,0.46953,0.006535,0.006535,0.006535
30,1812.74,0.55639,1.59734,0.51089,0.61963,0.56632,0.59054,0.31296,0.60139,1.43296,0.50529,0.00641125,0.00641125,0.00641125
31,1872.94,0.54669,1.56332,0.50096,0.69188,0.58173,0.63197,0.33788,0.49525,1.38722,0.42565,0.0062875,0.0062875,0.0062875
32,1933.63,0.54961,1.54372,0.50702,0.6764,0.58987,0.6271,0.33356,0.55895,1.38527,0.47338,0.00616375,0.00616375,0.00616375
33,1994.23,0.56149,1.51896,0.51809,0.69527,0.58973,0.6305,0.3329,0.56593,1.36696,0.48551,0.00604,0.00604,0.00604
34,2054.67,0.57267,1.49629,0.52997,0.71675,0.58122,0.63191,0.33715,0.59204,1.36817,0.50082,0.00591625,0.00591625,0.00591625
