epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2672,0.35529,2.51599,0.22187,0.42141,0.36956,0.34717,0.14713,0.4403,2.20403,0.25916,0.00331019,0.00331019,0.00331019
2,120.844,0.35298,1.80286,0.19628,0.2586,0.23129,0.14937,0.05213,0.64569,3.11503,0.39907,0.0065613,0.0065613,0.0065613
3,181.493,0.47619,2.26997,0.25241,0.01673,0.07102,0.00559,0.00144,1.50895,34.9382,1.19082,0.00972992,0.00972992,0.00972992
4,241.732,0.64241,2.63666,0.331,0.01597,0.08648,0.00762,0.00199,1.55864,12.5768,1.02908,0.00962875,0.00962875,0.00962875
5,301.53,0.64061,2.39968,0.32715,0.13791,0.16328,0.06998,0.01832,1.29153,3.66045,0.76523,0.009505,0.009505,0.009505
6,361.992,0.6349,2.21165,0.3254,0.24233,0.22511,0.16657,0.04988,0.93334,2.19753,0.52849,0.00938125,0.00938125,0.00938125
7,422.408,0.56101,2.06022,0.28985,0.36468,0.26536,0.22407,0.07556,0.78156,2.24473,0.44645,0.0092575,0.0092575,0.0092575
8,483.064,0.55182,1.96424,0.2842,0.3273,0.22591,0.19094,0.06119,0.90461,2.17533,0.52615,0.00913375,0.00913375,0.00913375
9,543.429,0.48454,1.8645,0.25048,0.35341,0.27972,0.22631,0.07395,0.6749,2.00583,0.39464,0.00901,0.00901,0.00901
10,604.105,0.46583,1.8006,0.23971,0.43362,0.36151,0.32784,0.09823,0.67328,1.65104,0.38018,0.00888625,0.00888625,0.00888625
11,664.116,0.48013,1.75215,0.24795,0.42812,0.41699,0.37797,0.13417,0.69078,1.55737,0.3848,0.0087625,0.0087625,0.0087625
12,724.545,0.44291,1.68396,0.23034,0.44633,0.37041,0.33341,0.11334,0.6457,1.62535,0.37398,0.00863875,0.00863875,0.00863875
13,785.06,0.43296,1.63146,0.22545,0.56093,0.4014,0.42776,0.16145,0.51202,1.44313,0.29748,0.008515,0.008515,0.008515
14,845.234,0.41279,1.59792,0.21362,0.45787,0.44156,0.40047,0.14364,0.55003,1.4523,0.31691,0.00839125,0.00839125,0.00839125
15,905.98,0.4013,1.54959,0.21152,0.54518,0.42914,0.41779,0.15446,0.5408,1.41167,0.31611,0.0082675,0.0082675,0.0082675
16,966.468,0.39651,1.50647,0.20844,0.57591,0.44133,0.46473,0.16919,0.55689,1.32668,0.31568,0.00814375,0.00814375,0.00814375
17,1026.8,0.37767,1.4953,0.19891,0.56245,0.48963,0.474,0.17642,0.51442,1.32969,0.29506,0.00802,0.00802,0.00802
18,1087.67,0.36718,1.44856,0.19392,0.61211,0.47301,0.48781,0.18092,0.49872,1.28817,0.29179,0.00789625,0.00789625,0.00789625
19,1148.08,0.40057,1.43086,0.21225,0.56559,0.48575,0.4795,0.18741,0.50015,1.27265,0.29682,0.0077725,0.0077725,0.0077725
20,1208.6,0.37203,1.40723,0.19722,0.60456,0.4853,0.49565,0.1947,0.46586,1.25484,0.27622,0.00764875,0.00764875,0.00764875
21,1269.16,0.36083,1.39036,0.19095,0.62644,0.50854,0.53477,0.21422,0.52264,1.18303,0.30336,0.007525,0.007525,0.007525
22,1329.77,0.36263,1.34002,0.19254,0.65566,0.51711,0.53764,0.21604,0.47532,1.15977,0.27782,0.00740125,0.00740125,0.00740125
23,1390.38,0.34518,1.33296,0.18417,0.6739,0.50679,0.5466,0.21801,0.45378,1.13865,0.26607,0.0072775,0.0072775,0.0072775
24,1450.64,0.3498,1.31036,0.18768,0.63911,0.52658,0.54477,0.214,0.44864,1.14776,0.26173,0.00715375,0.00715375,0.00715375
25,1511.08,0.33776,1.30798,0.18088,0.65162,0.51716,0.55108,0.21538,0.45251,1.14423,0.25896,0.00703,0.00703,0.00703
26,1571.6,0.31244,1.24966,0.16738,0.68778,0.51617,0.56851,0.22895,0.43457,1.10313,0.25384,0.00690625,0.00690625,0.00690625
27,1632.03,0.31447,1.25865,0.16895,0.69566,0.5624,0.59865,0.24185,0.43638,1.09014,0.25619,0.0067825,0.0067825,0.0067825
28,1692.3,0.3222,1.2389,0.17367,0.65053,0.55203,0.58673,0.24276,0.43379,1.06357,0.25723,0.00665875,0.00665875,0.00665875
29,1752.73,0.32655,1.23397,0.17617,0.68946,0.56663,0.59488,0.23997,0.454,1.06929,0.26662,0.006535,0.006535,0.006535
30,1813.28,0.31136,1.1934,0.1666,0.6775,0.58798,0.60759,0.25012,0.41253,1.06007,0.24096,0.00641125,0.00641125,0.00641125
31,1873.8,0.30858,1.18063,0.1663,0.72957,0.55598,0.62907,0.26275,0.391,1.05076,0.231,0.0062875,0.0062875,0.0062875
32,1934.37,0.29659,1.16808,0.16168,0.69309,0.57926,0.62755,0.26064,0.40002,1.00787,0.23741,0.00616375,0.00616375,0.00616375
33,1994.74,0.2935,1.15342,0.15991,0.69606,0.57066,0.60897,0.25632,0.36625,1.01628,0.21743,0.00604,0.00604,0.00604
34,2055.22,0.29128,1.13907,0.15833,0.65002,0.58349,0.59688,0.25482,0.38945,1.04143,0.23439,0.00591625,0.00591625,0.00591625
35,2115.56,0.28303,1.12939,0.15384,0.69331,0.61353,0.63548,0.27351,0.36632,0.99118,0.21955,0.0057925,0.0057925,0.0057925
36,2175.76,0.27662,1.10842,0.15047,0.72441,0.60827,0.64024,0.27855,0.41554,0.97826,0.24695,0.00566875,0.00566875,0.00566875
37,2236.31,0.27642,1.10732,0.15129,0.7414,0.59887,0.65273,0.28403,0.37039,0.96086,0.22242,0.005545,0.005545,0.005545
38,2296.62,0.27567,1.08058,0.15062,0.6982,0.61467,0.64495,0.27815,0.37777,0.94353,0.22548,0.00542125,0.00542125,0.00542125
39,2357.06,0.28171,1.0728,0.1551,0.73106,0.60333,0.64963,0.28228,0.36412,0.9456,0.21653,0.0052975,0.0052975,0.0052975
40,2417.5,0.26584,1.06512,0.14512,0.73987,0.61377,0.66231,0.29219,0.37345,0.95434,0.22008,0.00517375,0.00517375,0.00517375
41,2477.99,0.2841,1.04625,0.15728,0.7119,0.63005,0.66105,0.29283,0.37961,0.96497,0.22826,0.00505,0.00505,0.00505
42,2538.41,0.26947,1.03387,0.14815,0.73861,0.61877,0.66446,0.29723,0.39352,0.94152,0.23576,0.00492625,0.00492625,0.00492625
43,2598.37,0.26512,1.00945,0.14676,0.71186,0.63216,0.66041,0.29039,0.38845,0.93784,0.23327,0.0048025,0.0048025,0.0048025
44,2658.78,0.26163,0.99846,0.14475,0.72094,0.63755,0.66478,0.29832,0.39287,0.94484,0.23354,0.00467875,0.00467875,0.00467875
45,2718.8,0.25187,1.00081,0.13983,0.73301,0.63485,0.66858,0.30043,0.3674,0.91141,0.22256,0.004555,0.004555,0.004555
46,2779.2,0.25368,0.98244,0.1426,0.71809,0.63833,0.68172,0.30652,0.35569,0.93027,0.21451,0.00443125,0.00443125,0.00443125
47,2839.64,0.25237,0.97132,0.14069,0.73489,0.64182,0.67518,0.31314,0.3694,0.91125,0.22343,0.0043075,0.0043075,0.0043075
48,2900.06,0.24744,0.95639,0.13753,0.72096,0.65788,0.67009,0.30898,0.35755,0.90869,0.21526,0.00418375,0.00418375,0.00418375
49,2960.33,0.24143,0.9499,0.1363,0.72725,0.63869,0.67478,0.32029,0.34856,0.91314,0.2116,0.00406,0.00406,0.00406
50,3020.78,0.24501,0.94226,0.13782,0.73803,0.64644,0.68489,0.31699,0.37333,0.89508,0.22737,0.00393625,0.00393625,0.00393625
51,3081.44,0.23254,0.93699,0.13079,0.74869,0.64617,0.68019,0.3133,0.3689,0.90379,0.22514,0.0038125,0.0038125,0.0038125
52,3141.09,0.22469,0.91939,0.1268,0.71351,0.64982,0.66981,0.31451,0.34251,0.90746,0.2085,0.00368875,0.00368875,0.00368875
53,3200.63,0.22415,0.92045,0.12671,0.74971,0.61917,0.66532,0.3144,0.32773,0.899,0.20146,0.003565,0.003565,0.003565
54,3260.15,0.21954,0.90588,0.12466,0.7157,0.65503,0.67906,0.32194,0.3476,0.90256,0.21709,0.00344125,0.00344125,0.00344125
55,3319.69,0.2218,0.89848,0.12594,0.70888,0.64515,0.67107,0.32435,0.34662,0.92555,0.21581,0.0033175,0.0033175,0.0033175
56,3380.11,0.22955,0.89526,0.13024,0.71724,0.66196,0.68062,0.32862,0.31386,0.87666,0.19241,0.00319375,0.00319375,0.00319375
57,3440.69,0.23666,0.87797,0.13546,0.7402,0.6592,0.69201,0.32863,0.3213,0.89378,0.19661,0.00307,0.00307,0.00307
58,3501.16,0.2076,0.86992,0.11916,0.72863,0.66138,0.69441,0.33075,0.35788,0.90563,0.2169,0.00294625,0.00294625,0.00294625
59,3561.6,0.2025,0.86499,0.11534,0.75174,0.66387,0.69852,0.33723,0.3542,0.88803,0.21818,0.0028225,0.0028225,0.0028225
60,3622.06,0.2192,0.85606,0.12614,0.75068,0.65473,0.69658,0.3434,0.35241,0.88679,0.21844,0.00269875,0.00269875,0.00269875
61,3682.06,0.2115,0.84227,0.12234,0.73703,0.66491,0.69404,0.3422,0.3483,0.89466,0.21627,0.002575,0.002575,0.002575
62,3742.36,0.20747,0.83105,0.12024,0.73879,0.67227,0.69595,0.33788,0.35651,0.89239,0.21997,0.00245125,0.00245125,0.00245125
63,3803.05,0.22477,0.83258,0.13078,0.7621,0.66303,0.69723,0.34155,0.33992,0.8973,0.21048,0.0023275,0.0023275,0.0023275
64,3863.22,0.21109,0.80942,0.12328,0.73342,0.66366,0.68539,0.33918,0.34104,0.89802,0.21205,0.00220375,0.00220375,0.00220375
65,3923.26,0.2027,0.81433,0.11829,0.72869,0.68593,0.69517,0.34387,0.35217,0.89603,0.2216,0.00208,0.00208,0.00208
66,3983.16,0.19835,0.79581,0.116,0.75774,0.66517,0.70281,0.34809,0.34403,0.89008,0.21597,0.00195625,0.00195625,0.00195625
67,4043.85,0.20123,0.80265,0.11738,0.75998,0.67132,0.70365,0.34929,0.33847,0.88349,0.21287,0.0018325,0.0018325,0.0018325
68,4105.18,0.20716,0.78663,0.12133,0.73744,0.67538,0.69505,0.34808,0.32994,0.88293,0.20929,0.00170875,0.00170875,0.00170875
69,4165.4,0.19674,0.77706,0.11596,0.77646,0.67068,0.70323,0.35405,0.32376,0.88766,0.20604,0.001585,0.001585,0.001585
70,4225.7,0.19791,0.76666,0.11749,0.77815,0.66178,0.70652,0.35635,0.3314,0.90086,0.20908,0.00146125,0.00146125,0.00146125
71,4286.44,0.172,0.57812,0.11002,0.78328,0.65057,0.70272,0.35579,0.34143,0.8977,0.21682,0.0013375,0.0013375,0.0013375
72,4347.82,0.16262,0.55628,0.10557,0.78892,0.66399,0.70805,0.35527,0.3288,0.90373,0.20829,0.00121375,0.00121375,0.00121375
73,4409.68,0.1693,0.54778,0.11006,0.7822,0.65363,0.69932,0.35557,0.3373,0.90564,0.21309,0.00109,0.00109,0.00109
74,4470.47,0.16282,0.53673,0.10663,0.74022,0.68531,0.70505,0.35841,0.33501,0.90809,0.21285,0.00096625,0.00096625,0.00096625
75,4532.27,0.16343,0.52723,0.10794,0.75984,0.67376,0.70596,0.36158,0.33577,0.89824,0.21319,0.0008425,0.0008425,0.0008425
76,4594.04,0.15121,0.51899,0.10112,0.75768,0.68366,0.70727,0.36298,0.3329,0.90079,0.21134,0.00071875,0.00071875,0.00071875
77,4655.81,0.15283,0.51262,0.10219,0.75326,0.68484,0.70527,0.36647,0.33094,0.90667,0.20926,0.000595,0.000595,0.000595
78,4717.71,0.15427,0.50583,0.10378,0.76211,0.67127,0.70365,0.36814,0.33252,0.91044,0.21022,0.00047125,0.00047125,0.00047125
79,4779.66,0.14671,0.49919,0.09902,0.76022,0.66286,0.70152,0.3675,0.33152,0.91764,0.20941,0.0003475,0.0003475,0.0003475
80,4839.64,0.14403,0.49507,0.09818,0.76128,0.67632,0.70876,0.36856,0.33218,0.91681,0.21004,0.00022375,0.00022375,0.00022375
