epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5929,0.9065,5.66412,0.80076,0.45158,0.35036,0.32495,0.13425,1.06843,5.31222,0.86704,0.00331019,0.00331019,0.00331019
2,121.354,0.85777,4.33177,0.73359,0.34989,0.28877,0.23541,0.09776,1.1718,6.84078,1.04306,0.0065613,0.0065613,0.0065613
3,185.644,1.03399,5.25262,0.85832,0.05083,0.03124,0.00567,0.00206,2.05556,87.9285,1.95015,0.00972992,0.00972992,0.00972992
4,245.89,1.11008,5.90075,0.91614,0.13819,0.16284,0.06047,0.02132,1.81044,15.2846,1.72346,0.00962875,0.00962875,0.00962875
5,306.98,1.07241,5.5894,0.89756,0.11497,0.19324,0.07503,0.02534,1.50895,10.5563,1.31183,0.009505,0.009505,0.009505
6,367.868,1.02933,5.25408,0.86664,0.22715,0.22626,0.15023,0.05135,1.36177,6.19022,1.16054,0.00938125,0.00938125,0.00938125
7,428.131,1.01212,5.05036,0.85633,0.32209,0.25093,0.20366,0.08537,1.25904,5.86997,1.08153,0.0092575,0.0092575,0.0092575
8,487.958,0.99477,4.82392,0.84864,0.34212,0.2869,0.25923,0.10622,1.17864,4.69495,1.02355,0.00913375,0.00913375,0.00913375
9,548.376,0.9333,4.65816,0.81302,0.4643,0.36246,0.35193,0.15151,1.12294,4.43407,0.96302,0.00901,0.00901,0.00901
10,608.912,0.90979,4.50028,0.79737,0.46644,0.36163,0.35703,0.15024,1.19235,4.27254,1.03109,0.00888625,0.00888625,0.00888625
11,669.282,0.93565,4.42717,0.81299,0.47624,0.40358,0.38431,0.15007,1.12015,4.18113,0.97037,0.0087625,0.0087625,0.0087625
12,729.964,0.92372,4.30838,0.81524,0.46147,0.40689,0.40552,0.18128,1.2748,3.98362,1.06332,0.00863875,0.00863875,0.00863875
13,790.805,0.94196,4.17453,0.82677,0.49397,0.42056,0.40942,0.17602,1.22421,3.90928,1.02685,0.008515,0.008515,0.008515
14,851.458,0.93025,4.13425,0.81427,0.52307,0.42927,0.43423,0.19196,1.02865,3.87386,0.89606,0.00839125,0.00839125,0.00839125
15,912.172,0.92694,4.02269,0.82021,0.44912,0.41273,0.40225,0.18449,1.06436,3.87386,0.89878,0.0082675,0.0082675,0.0082675
16,972.746,0.93885,3.94676,0.82766,0.52464,0.44544,0.44926,0.20349,1.08238,3.68774,0.91384,0.00814375,0.00814375,0.00814375
17,1033.29,0.92141,3.87328,0.82344,0.58182,0.46636,0.49508,0.23363,1.01688,3.5827,0.87614,0.00802,0.00802,0.00802
18,1093.81,0.91218,3.80978,0.81536,0.50433,0.47475,0.45538,0.21073,1.03115,3.6773,0.87541,0.00789625,0.00789625,0.00789625
19,1154.2,0.90981,3.75793,0.8165,0.60735,0.47244,0.5175,0.23908,0.99546,3.40348,0.85715,0.0077725,0.0077725,0.0077725
20,1214.71,0.90119,3.69453,0.81575,0.58947,0.49837,0.52865,0.25456,0.9728,3.28963,0.83803,0.00764875,0.00764875,0.00764875
21,1275.14,0.8819,3.63465,0.80699,0.5864,0.50341,0.53175,0.25888,0.94684,3.23645,0.82811,0.007525,0.007525,0.007525
22,1335.58,0.88868,3.53177,0.81091,0.63482,0.50446,0.54445,0.26824,0.98438,3.19301,0.84553,0.00740125,0.00740125,0.00740125
23,1396.13,0.90392,3.4982,0.82213,0.61248,0.51757,0.54524,0.26779,1.05457,3.18173,0.89398,0.0072775,0.0072775,0.0072775
24,1456.59,0.92174,3.44701,0.83802,0.62894,0.52781,0.56561,0.27678,0.94326,3.19752,0.8223,0.00715375,0.00715375,0.00715375
25,1516.96,0.91586,3.39296,0.83247,0.69797,0.51438,0.58445,0.28833,1.00241,3.10669,0.84838,0.00703,0.00703,0.00703
26,1577.02,0.89603,3.28127,0.82714,0.63572,0.56489,0.59731,0.30306,1.06581,3.03716,0.89586,0.00690625,0.00690625,0.00690625
27,1637.5,0.89625,3.27669,0.8277,0.6157,0.57859,0.60504,0.29918,0.98466,2.96644,0.83365,0.0067825,0.0067825,0.0067825
28,1697.61,0.89049,3.21912,0.82929,0.66876,0.54848,0.60988,0.31233,0.94358,2.91258,0.81915,0.00665875,0.00665875,0.00665875
29,1758.04,0.91159,3.19213,0.84307,0.66152,0.54871,0.58908,0.30232,0.85565,2.98141,0.75465,0.006535,0.006535,0.006535
30,1818.42,0.89413,3.09455,0.83464,0.67197,0.58101,0.62904,0.32452,0.95858,2.89453,0.82097,0.00641125,0.00641125,0.00641125
31,1878.87,0.90228,3.04877,0.8415,0.68597,0.56826,0.62306,0.31996,0.88961,2.80375,0.77271,0.0062875,0.0062875,0.0062875
32,1939.42,0.89529,3.01587,0.83937,0.65256,0.59598,0.62498,0.32795,0.89025,2.73258,0.77337,0.00616375,0.00616375,0.00616375
33,1999.84,0.89629,2.94325,0.84507,0.69892,0.59683,0.6388,0.33798,0.84642,2.73517,0.74895,0.00604,0.00604,0.00604
34,2060.48,0.90991,2.9324,0.8506,0.66849,0.60061,0.63773,0.33396,0.93275,2.73533,0.8086,0.00591625,0.00591625,0.00591625
35,2120.92,0.88951,2.89143,0.84579,0.68497,0.5957,0.63256,0.33738,0.87747,2.71148,0.77767,0.0057925,0.0057925,0.0057925
36,2181.1,0.89007,2.84893,0.84717,0.68081,0.62603,0.65983,0.3469,1.01194,2.66861,0.8657,0.00566875,0.00566875,0.00566875
37,2241.37,0.89663,2.80721,0.85238,0.71752,0.6151,0.66729,0.35675,0.89468,2.56666,0.77982,0.005545,0.005545,0.005545
38,2301.65,0.90359,2.75501,0.85574,0.71178,0.61491,0.66176,0.35031,0.90358,2.60376,0.79367,0.00542125,0.00542125,0.00542125
39,2362.11,0.90147,2.7078,0.85871,0.73758,0.61371,0.67252,0.36088,0.85569,2.5812,0.74347,0.0052975,0.0052975,0.0052975
40,2422.51,0.89359,2.67054,0.85411,0.70246,0.62518,0.66398,0.36056,0.84544,2.5383,0.74693,0.00517375,0.00517375,0.00517375
41,2482.78,0.91566,2.63697,0.87537,0.72961,0.60355,0.65684,0.35143,0.90197,2.55646,0.78771,0.00505,0.00505,0.00505
42,2543.21,0.89443,2.59487,0.86439,0.72519,0.63823,0.67672,0.37143,0.85572,2.48702,0.75799,0.00492625,0.00492625,0.00492625
43,2604.87,0.89424,2.53188,0.86315,0.72684,0.65221,0.68295,0.36963,0.87412,2.51546,0.7685,0.0048025,0.0048025,0.0048025
44,2665.23,0.89304,2.49782,0.86385,0.72936,0.64495,0.68332,0.36458,0.88079,2.52401,0.78012,0.00467875,0.00467875,0.00467875
45,2725.8,0.87914,2.50151,0.86248,0.74859,0.6306,0.67766,0.3691,0.85751,2.5058,0.76321,0.004555,0.004555,0.004555
46,2786.25,0.88811,2.44101,0.86832,0.73582,0.6576,0.69378,0.38098,0.82345,2.4321,0.72484,0.00443125,0.00443125,0.00443125
47,2846.78,0.88548,2.43208,0.87088,0.72182,0.6531,0.68992,0.37688,0.85602,2.46074,0.75543,0.0043075,0.0043075,0.0043075
48,2907.31,0.89296,2.37691,0.87568,0.75916,0.64625,0.69362,0.3793,0.87178,2.40907,0.76934,0.00418375,0.00418375,0.00418375
49,2967.76,0.89778,2.35666,0.88124,0.77151,0.64713,0.70305,0.38451,0.89513,2.36017,0.78648,0.00406,0.00406,0.00406
50,3028.36,0.89828,2.32912,0.88575,0.75633,0.66982,0.70267,0.38995,0.85525,2.44282,0.75373,0.00393625,0.00393625,0.00393625
51,3089.01,0.88635,2.27706,0.88142,0.76334,0.65946,0.70012,0.37777,0.82889,2.36031,0.7349,0.0038125,0.0038125,0.0038125
52,3149.38,0.88611,2.25802,0.88086,0.76271,0.64301,0.7016,0.38633,0.82396,2.33235,0.72339,0.00368875,0.00368875,0.00368875
53,3209.71,0.88263,2.25467,0.88049,0.77677,0.66049,0.71169,0.39793,0.83897,2.32283,0.73516,0.003565,0.003565,0.003565
54,3269.68,0.89292,2.20296,0.89179,0.75732,0.67332,0.71155,0.39686,0.84651,2.33249,0.74675,0.00344125,0.00344125,0.00344125
55,3329.7,0.89004,2.16854,0.89169,0.76482,0.65855,0.70659,0.3956,0.86427,2.31207,0.76535,0.0033175,0.0033175,0.0033175
56,3389.51,0.89079,2.15401,0.89678,0.75512,0.68038,0.71431,0.39395,0.86089,2.27083,0.7661,0.00319375,0.00319375,0.00319375
57,3449.99,0.89727,2.10941,0.9048,0.74578,0.67612,0.70723,0.39018,0.88227,2.32316,0.78021,0.00307,0.00307,0.00307
58,3510.55,0.87908,2.08345,0.89509,0.76194,0.6767,0.71493,0.4001,0.89065,2.28235,0.78414,0.00294625,0.00294625,0.00294625
59,3571.11,0.86991,2.05427,0.88483,0.7419,0.66612,0.69864,0.3973,0.88495,2.35329,0.78352,0.0028225,0.0028225,0.0028225
60,3631.67,0.88065,2.03083,0.89868,0.75291,0.67308,0.70734,0.39677,0.88242,2.34628,0.78699,0.00269875,0.00269875,0.00269875
61,3692.02,0.87846,1.99826,0.90197,0.77074,0.6683,0.71903,0.40589,0.88448,2.30514,0.79405,0.002575,0.002575,0.002575
62,3752.36,0.88251,1.94987,0.90793,0.7661,0.68298,0.72511,0.40789,0.90197,2.22846,0.80315,0.00245125,0.00245125,0.00245125
63,3812.77,0.89389,1.95716,0.91404,0.79054,0.66095,0.72181,0.40423,0.91166,2.23651,0.80667,0.0023275,0.0023275,0.0023275
64,3872.86,0.87651,1.89617,0.90159,0.77222,0.67611,0.71863,0.40379,0.88468,2.28115,0.79026,0.00220375,0.00220375,0.00220375
65,3933.03,0.88418,1.90406,0.91163,0.78281,0.67119,0.71653,0.40287,0.86601,2.2685,0.77563,0.00208,0.00208,0.00208
66,3993.47,0.86089,1.86919,0.89934,0.75691,0.69748,0.72007,0.40807,0.84671,2.24491,0.76303,0.00195625,0.00195625,0.00195625
67,4053.81,0.88019,1.85958,0.91559,0.7595,0.68311,0.71892,0.40322,0.86462,2.29312,0.77247,0.0018325,0.0018325,0.0018325
68,4114.35,0.87381,1.82725,0.91642,0.77795,0.67396,0.71733,0.40141,0.89465,2.29879,0.79699,0.00170875,0.00170875,0.00170875
69,4175.07,0.86413,1.79459,0.91249,0.77357,0.67758,0.71974,0.39902,0.8796,2.28261,0.78807,0.001585,0.001585,0.001585
70,4235.78,0.86649,1.76743,0.918,0.76128,0.68673,0.71694,0.40078,0.87062,2.28409,0.78087,0.00146125,0.00146125,0.00146125
71,4296.07,0.86959,1.21087,0.94185,0.79145,0.66966,0.71968,0.39959,0.88212,2.29294,0.78634,0.0013375,0.0013375,0.0013375
72,4357.65,0.84571,1.13997,0.93344,0.76926,0.68715,0.71841,0.40447,0.88261,2.29898,0.78602,0.00121375,0.00121375,0.00121375
73,4419.4,0.83014,1.10371,0.92356,0.77482,0.66885,0.71333,0.40554,0.88099,2.31679,0.78699,0.00109,0.00109,0.00109
74,4481.19,0.81678,1.08073,0.91924,0.78051,0.67218,0.70858,0.40411,0.86225,2.30379,0.77247,0.00096625,0.00096625,0.00096625
75,4542.84,0.80712,1.04804,0.91712,0.77807,0.6738,0.71396,0.40831,0.8713,2.31926,0.78016,0.0008425,0.0008425,0.0008425
76,4604.58,0.79295,1.02815,0.90907,0.79723,0.64885,0.71009,0.40674,0.87217,2.33473,0.78028,0.00071875,0.00071875,0.00071875
77,4666.08,0.7934,1.0073,0.91034,0.76748,0.67369,0.70775,0.40635,0.8793,2.34744,0.79085,0.000595,0.000595,0.000595
78,4726.28,0.78473,0.98578,0.91207,0.77445,0.66909,0.71144,0.40752,0.87974,2.33554,0.79139,0.00047125,0.00047125,0.00047125
79,4787.88,0.7746,0.96731,0.90116,0.77599,0.67144,0.71129,0.40731,0.9193,2.33961,0.82997,0.0003475,0.0003475,0.0003475
80,4849.61,0.77744,0.95543,0.90869,0.77997,0.66531,0.71242,0.40778,0.92522,2.33641,0.83641,0.00022375,0.00022375,0.00022375
