epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5856,0.71746,2.87608,0.70059,0.37502,0.40984,0.35149,0.15756,0.762,2.2851,0.71232,0.00331019,0.00331019,0.00331019
2,122.994,0.68634,2.17595,0.64973,0.25365,0.25038,0.15277,0.06172,1.10918,5.0128,1.01649,0.0065613,0.0065613,0.0065613
3,190.69,0.79387,2.66757,0.7456,0.02147,0.04519,0.00689,0.00229,1.33582,inf,1.63986,0.00972992,0.00972992,0.00972992
4,252.37,0.86071,3.0258,0.81301,0.09501,0.06487,0.02494,0.00879,1.37158,35.7505,1.50766,0.00962875,0.00962875,0.00962875
5,313.86,0.8016,2.80368,0.77298,0.25369,0.15861,0.1232,0.04625,1.04585,5.271,1.02365,0.009505,0.009505,0.009505
6,374.861,0.77743,2.65995,0.75686,0.25468,0.26054,0.16216,0.06527,1.01544,3.00565,0.98757,0.00938125,0.00938125,0.00938125
7,435.526,0.75915,2.52729,0.73897,0.39558,0.25077,0.23814,0.09896,1.02726,2.83965,0.98424,0.0092575,0.0092575,0.0092575
8,495.976,0.73982,2.4214,0.72442,0.41638,0.33686,0.30734,0.12736,1.02465,2.37334,0.9885,0.00913375,0.00913375,0.00913375
9,556.759,0.7545,2.33717,0.73676,0.38376,0.36343,0.32241,0.14093,0.91293,2.19425,0.89412,0.00901,0.00901,0.00901
10,617.343,0.71888,2.28017,0.71429,0.49631,0.34536,0.35192,0.16211,0.88572,2.18006,0.86107,0.00888625,0.00888625,0.00888625
11,677.488,0.73844,2.20739,0.72596,0.4137,0.3706,0.3375,0.15043,0.85423,2.19428,0.84223,0.0087625,0.0087625,0.0087625
12,738.247,0.73415,2.16189,0.72264,0.42152,0.40472,0.37662,0.17221,0.85572,2.07341,0.82788,0.00863875,0.00863875,0.00863875
13,797.859,0.71434,2.11078,0.71484,0.44125,0.33204,0.33281,0.15589,0.92916,2.13435,0.87168,0.008515,0.008515,0.008515
14,858.179,0.7289,2.03537,0.71855,0.49443,0.3979,0.4128,0.19946,0.86761,1.9152,0.84224,0.00839125,0.00839125,0.00839125
15,918.681,0.71353,1.98767,0.71559,0.51293,0.45063,0.44013,0.2136,0.84709,1.83567,0.81842,0.0082675,0.0082675,0.0082675
16,979.333,0.70473,1.95211,0.70867,0.52006,0.46789,0.48007,0.23067,0.84258,1.76826,0.82125,0.00814375,0.00814375,0.00814375
17,1039.46,0.70645,1.91448,0.70831,0.50861,0.45354,0.46349,0.22727,0.8014,1.77197,0.78949,0.00802,0.00802,0.00802
18,1099.12,0.69636,1.88432,0.70757,0.52731,0.48566,0.48509,0.23462,0.83023,1.71674,0.81226,0.00789625,0.00789625,0.00789625
19,1158.72,0.6972,1.8499,0.70363,0.54771,0.49704,0.50451,0.24747,0.86266,1.76196,0.83333,0.0077725,0.0077725,0.0077725
20,1218.23,0.70431,1.82326,0.71623,0.56932,0.51725,0.53794,0.27525,0.82195,1.61887,0.81271,0.00764875,0.00764875,0.00764875
21,1277.75,0.70781,1.78805,0.71844,0.58567,0.49675,0.52152,0.26704,0.73438,1.59884,0.72481,0.007525,0.007525,0.007525
22,1337.27,0.70218,1.74794,0.71208,0.59697,0.49378,0.53737,0.28138,0.75845,1.57958,0.75279,0.00740125,0.00740125,0.00740125
23,1397.08,0.69969,1.72749,0.71375,0.61288,0.54811,0.57319,0.29348,0.70059,1.56533,0.69716,0.0072775,0.0072775,0.0072775
24,1457.62,0.71278,1.66705,0.72723,0.5827,0.52594,0.55212,0.2921,0.74635,1.53041,0.73573,0.00715375,0.00715375,0.00715375
25,1517.99,0.7065,1.65966,0.71871,0.61774,0.51825,0.55962,0.30134,0.73196,1.49468,0.72413,0.00703,0.00703,0.00703
