epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6514,0.60332,3.14431,0.55451,0.48189,0.37787,0.3809,0.16648,0.67901,2.5756,0.6078,0.00331019,0.00331019,0.00331019
2,139.245,0.56816,2.32517,0.50805,0.32876,0.34842,0.245,0.10241,0.96595,2.96677,0.85033,0.0065613,0.0065613,0.0065613
3,209.524,0.71762,2.75155,0.61943,0.00722,0.0704,0.00333,0.00106,1.75385,17.6696,1.98244,0.00972992,0.00972992,0.00972992
4,281.042,0.87197,3.10525,0.72764,0.30596,0.083,0.02808,0.00857,1.26282,15.199,1.16791,0.00962875,0.00962875,0.00962875
5,350.588,0.81757,2.87278,0.68103,0.29772,0.16989,0.12112,0.04435,1.29293,4.63333,1.12944,0.009505,0.009505,0.009505
6,419.005,0.74833,2.73022,0.63844,0.27074,0.24223,0.17381,0.0663,1.06813,3.30841,0.91817,0.00938125,0.00938125,0.00938125
7,488.401,0.72584,2.6178,0.62133,0.47433,0.2547,0.21527,0.08475,1.0099,3.01699,0.88028,0.0092575,0.0092575,0.0092575
8,557.832,0.66551,2.52185,0.58202,0.37238,0.3349,0.28219,0.11005,0.92905,2.44852,0.80413,0.00913375,0.00913375,0.00913375
9,627.38,0.71529,2.41958,0.61734,0.46202,0.31203,0.29924,0.13082,1.02426,2.41662,0.88236,0.00901,0.00901,0.00901
10,696.755,0.68683,2.36439,0.59839,0.39633,0.37259,0.34009,0.14622,0.85838,2.27905,0.73336,0.00888625,0.00888625,0.00888625
11,765.729,0.66372,2.3045,0.58493,0.41594,0.36857,0.34788,0.14598,0.93087,2.11908,0.79959,0.0087625,0.0087625,0.0087625
12,833.891,0.68252,2.25075,0.59582,0.43628,0.41985,0.40045,0.17296,0.82221,2.09994,0.71456,0.00863875,0.00863875,0.00863875
13,901.9,0.66514,2.19446,0.59242,0.47297,0.4788,0.42946,0.1884,0.76217,1.96778,0.65406,0.008515,0.008515,0.008515
14,969.558,0.64557,2.13391,0.57335,0.52071,0.41648,0.42841,0.202,0.88464,1.92515,0.76312,0.00839125,0.00839125,0.00839125
15,1037.35,0.66015,2.09409,0.58953,0.51305,0.44745,0.45292,0.21033,0.87169,1.84317,0.75587,0.0082675,0.0082675,0.0082675
16,1106.42,0.66278,2.06132,0.59333,0.4977,0.41171,0.42077,0.19342,0.88098,1.95657,0.75852,0.00814375,0.00814375,0.00814375
17,1175.9,0.66395,2.03158,0.59616,0.515,0.47646,0.46078,0.21008,0.80845,1.82849,0.71589,0.00802,0.00802,0.00802
18,1245.33,0.65672,1.9816,0.59388,0.56415,0.47087,0.4829,0.22707,0.76473,1.83344,0.66745,0.00789625,0.00789625,0.00789625
19,1314.69,0.6602,1.9441,0.5948,0.58184,0.46639,0.49923,0.24049,0.7155,1.80077,0.64121,0.0077725,0.0077725,0.0077725
20,1383.47,0.68361,1.92794,0.61569,0.55104,0.49995,0.52193,0.25906,0.72328,1.72316,0.64002,0.00764875,0.00764875,0.00764875
21,1450.94,0.66096,1.87241,0.59904,0.53656,0.51666,0.5132,0.25074,0.85526,1.67824,0.74559,0.007525,0.007525,0.007525
22,1518.8,0.66443,1.8611,0.6053,0.59604,0.52202,0.56244,0.28109,0.79059,1.61763,0.68899,0.00740125,0.00740125,0.00740125
23,1586.26,0.66013,1.84102,0.6042,0.62473,0.5308,0.55997,0.27878,0.76174,1.64574,0.665,0.0072775,0.0072775,0.0072775
24,1653.84,0.66824,1.77903,0.61504,0.58912,0.52006,0.54425,0.26795,0.77568,1.65081,0.68294,0.00715375,0.00715375,0.00715375
