epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0172,0.41853,2.85121,0.35903,0.42335,0.42447,0.37807,0.16791,0.45836,2.36958,0.39164,0.00331019,0.00331019,0.00331019
2,120.046,0.38882,2.17004,0.32402,0.26624,0.2938,0.20224,0.08151,0.69629,3.71848,0.55621,0.0065613,0.0065613,0.0065613
3,180.595,0.51419,2.64337,0.4155,0.02019,0.08303,0.00775,0.0022,1.1977,16.6843,1.27407,0.00972992,0.00972992,0.00972992
4,241.892,0.57929,2.96895,0.4631,0.34071,0.06172,0.03607,0.01269,0.86887,12.6116,0.79382,0.00962875,0.00962875,0.00962875
5,302.406,0.55374,2.76352,0.44769,0.24513,0.13548,0.10266,0.03921,0.88993,3.6131,0.77209,0.009505,0.009505,0.009505
6,363.077,0.50811,2.63892,0.41893,0.26763,0.26578,0.19439,0.07702,0.71141,3.2575,0.60022,0.00938125,0.00938125,0.00938125
7,423.879,0.49528,2.5205,0.41204,0.38207,0.26799,0.21696,0.08752,0.64206,2.96399,0.5503,0.0092575,0.0092575,0.0092575
8,484.577,0.48008,2.41852,0.40589,0.27278,0.31931,0.23458,0.09267,0.68921,2.61706,0.57194,0.00913375,0.00913375,0.00913375
9,545.247,0.4983,2.33513,0.4212,0.43532,0.33538,0.32281,0.1359,0.68371,2.28567,0.56576,0.00901,0.00901,0.00901
10,605.987,0.48121,2.27363,0.41428,0.44167,0.40114,0.37627,0.1573,0.63501,2.09984,0.5359,0.00888625,0.00888625,0.00888625
11,666.444,0.49835,2.21936,0.43048,0.43634,0.37356,0.34083,0.14293,0.71228,2.20267,0.59943,0.0087625,0.0087625,0.0087625
12,727.074,0.5249,2.16432,0.44916,0.45209,0.40213,0.39418,0.17997,0.64148,1.98736,0.54558,0.00863875,0.00863875,0.00863875
13,787.485,0.49584,2.10547,0.43498,0.48321,0.36665,0.36935,0.17083,0.64236,2.07449,0.53856,0.008515,0.008515,0.008515
14,849.396,0.48625,2.04379,0.42802,0.55879,0.41607,0.43584,0.20028,0.59828,1.88538,0.50816,0.00839125,0.00839125,0.00839125
15,911.511,0.49846,2.0096,0.44512,0.51275,0.43473,0.44864,0.20501,0.63682,1.87823,0.54588,0.0082675,0.0082675,0.0082675
16,971.977,0.49279,1.97095,0.44437,0.51101,0.45652,0.48011,0.22614,0.60143,1.78888,0.50875,0.00814375,0.00814375,0.00814375
17,1032.88,0.50786,1.94545,0.45518,0.52104,0.47921,0.49266,0.22938,0.70624,1.73988,0.59271,0.00802,0.00802,0.00802
