epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4668,0.43706,2.72209,0.36517,0.41689,0.4532,0.39332,0.16605,0.6177,2.10151,0.4727,0.00331019,0.00331019,0.00331019
2,123.418,0.45295,2.01652,0.35314,0.29307,0.23946,0.19638,0.07987,0.7356,3.29972,0.5616,0.0065613,0.0065613,0.0065613
3,184.457,0.59265,2.50769,0.44072,0.04399,0.01867,0.00829,0.00316,1.6961,11.4028,1.4659,0.00972992,0.00972992,0.00972992
4,245.248,0.71811,2.80519,0.51431,0.38614,0.10126,0.05059,0.01759,1.06446,9.88125,0.91113,0.00962875,0.00962875,0.00962875
5,305.206,0.64008,2.59222,0.46634,0.19029,0.18284,0.10415,0.03661,1.1006,4.46645,0.87355,0.009505,0.009505,0.009505
6,365.378,0.59887,2.44813,0.44677,0.28957,0.26965,0.20417,0.07777,0.87051,3.16314,0.64468,0.00938125,0.00938125,0.00938125
7,425.105,0.56556,2.30387,0.42602,0.52467,0.2453,0.21492,0.08014,1.03897,2.9479,0.81015,0.0092575,0.0092575,0.0092575
8,485.335,0.56897,2.21008,0.42967,0.42674,0.34956,0.30277,0.11671,0.82861,2.31868,0.60844,0.00913375,0.00913375,0.00913375
9,546.796,0.61056,2.12743,0.45815,0.40917,0.34765,0.32629,0.13892,0.86951,2.0889,0.65116,0.00901,0.00901,0.00901
10,607.323,0.58177,2.06094,0.44282,0.52611,0.37388,0.3975,0.16946,0.7256,1.84107,0.53706,0.00888625,0.00888625,0.00888625
11,666.988,0.56722,1.992,0.4348,0.4432,0.36854,0.36374,0.14642,0.84752,1.97467,0.63049,0.0087625,0.0087625,0.0087625
12,727.343,0.59772,1.93953,0.45591,0.50693,0.4456,0.42554,0.19,0.73316,1.68815,0.55426,0.00863875,0.00863875,0.00863875
13,787.859,0.58678,1.88952,0.45305,0.48955,0.44373,0.43697,0.19164,0.75037,1.69904,0.5737,0.008515,0.008515,0.008515
14,848.18,0.58699,1.82607,0.45693,0.48828,0.48132,0.45616,0.20089,0.80749,1.63657,0.60737,0.00839125,0.00839125,0.00839125
15,908.73,0.59006,1.77789,0.46143,0.53114,0.44099,0.44955,0.20389,0.7782,1.65964,0.5908,0.0082675,0.0082675,0.0082675
16,968.338,0.57908,1.74536,0.4594,0.52673,0.48583,0.4919,0.22343,0.71359,1.56048,0.53825,0.00814375,0.00814375,0.00814375
17,1028.4,0.60143,1.71543,0.47588,0.58454,0.48824,0.51075,0.22315,0.71468,1.54231,0.52952,0.00802,0.00802,0.00802
18,1088.14,0.59974,1.66862,0.47433,0.54934,0.48705,0.49854,0.22459,0.73901,1.50218,0.5508,0.00789625,0.00789625,0.00789625
19,1148.26,0.61583,1.63308,0.48491,0.60114,0.50307,0.53677,0.25219,0.66478,1.42663,0.50119,0.0077725,0.0077725,0.0077725
20,1207.78,0.6093,1.6196,0.48515,0.59619,0.52852,0.54756,0.26167,0.68186,1.40186,0.50455,0.00764875,0.00764875,0.00764875
21,1268.25,0.61504,1.58255,0.49062,0.58204,0.51023,0.53808,0.26036,0.65882,1.40688,0.51645,0.007525,0.007525,0.007525
22,1327.73,0.6104,1.55133,0.49197,0.5552,0.53844,0.53925,0.26106,0.66268,1.40635,0.50353,0.00740125,0.00740125,0.00740125
23,1387.45,0.62659,1.52805,0.50715,0.62907,0.56883,0.58697,0.29045,0.61934,1.32514,0.47643,0.0072775,0.0072775,0.0072775
24,1447.14,0.61683,1.48927,0.503,0.61716,0.54206,0.56652,0.28635,0.65395,1.33158,0.50659,0.00715375,0.00715375,0.00715375
25,1507.32,0.61156,1.46835,0.49964,0.6058,0.55897,0.56363,0.27881,0.54514,1.3204,0.42118,0.00703,0.00703,0.00703
26,1567.79,0.63635,1.42826,0.51657,0.63548,0.54775,0.5782,0.29658,0.59837,1.2771,0.45373,0.00690625,0.00690625,0.00690625
27,1629.22,0.62653,1.40323,0.51125,0.6671,0.54665,0.6003,0.2952,0.67899,1.29845,0.52364,0.0067825,0.0067825,0.0067825
28,1689.45,0.63768,1.39069,0.52576,0.64941,0.52597,0.57498,0.2879,0.54338,1.30757,0.42591,0.00665875,0.00665875,0.00665875
29,1749.97,0.64682,1.36413,0.53975,0.64746,0.59862,0.61703,0.31641,0.6109,1.24243,0.46838,0.006535,0.006535,0.006535
30,1811.88,0.64268,1.33747,0.53235,0.63129,0.58323,0.60702,0.31854,0.58506,1.23011,0.45104,0.00641125,0.00641125,0.00641125
31,1873.14,0.62387,1.32618,0.52184,0.63595,0.60114,0.61802,0.3189,0.53673,1.20436,0.42302,0.0062875,0.0062875,0.0062875
32,1933.6,0.63225,1.30592,0.53075,0.66394,0.60928,0.62847,0.32655,0.59212,1.18375,0.45772,0.00616375,0.00616375,0.00616375
33,1994.56,0.6188,1.28295,0.52386,0.72896,0.58693,0.63953,0.32402,0.58244,1.18465,0.4461,0.00604,0.00604,0.00604
34,2055.87,0.64041,1.26136,0.54228,0.68567,0.62266,0.64271,0.33658,0.56735,1.16062,0.44891,0.00591625,0.00591625,0.00591625
35,2116.54,0.64613,1.23781,0.5506,0.70251,0.61025,0.6448,0.33997,0.56629,1.12397,0.4459,0.0057925,0.0057925,0.0057925
36,2176.81,0.64694,1.23448,0.55197,0.70189,0.6232,0.65272,0.34067,0.56426,1.12987,0.44585,0.00566875,0.00566875,0.00566875
37,2237.81,0.64041,1.2042,0.54946,0.6904,0.62279,0.65366,0.3434,0.58453,1.12169,0.45701,0.005545,0.005545,0.005545
38,2298,0.65091,1.19152,0.56073,0.70119,0.65,0.66753,0.35146,0.57692,1.08973,0.45721,0.00542125,0.00542125,0.00542125
39,2358.45,0.63989,1.16367,0.55314,0.71505,0.63556,0.66577,0.35121,0.57405,1.10847,0.45387,0.0052975,0.0052975,0.0052975
40,2418.62,0.64548,1.14227,0.56185,0.71786,0.63238,0.66795,0.36396,0.55731,1.09659,0.43968,0.00517375,0.00517375,0.00517375
41,2478.83,0.64519,1.13145,0.56604,0.75667,0.63293,0.68038,0.36687,0.54359,1.0901,0.43116,0.00505,0.00505,0.00505
42,2540.06,0.63393,1.12273,0.55824,0.69597,0.65308,0.66667,0.35636,0.53598,1.0888,0.42508,0.00492625,0.00492625,0.00492625
43,2600.89,0.64307,1.11467,0.56387,0.72228,0.65521,0.68299,0.36759,0.5315,1.08317,0.42482,0.0048025,0.0048025,0.0048025
44,2661.23,0.64253,1.07652,0.56793,0.72102,0.66474,0.69255,0.37583,0.53672,1.05488,0.42982,0.00467875,0.00467875,0.00467875
45,2721.07,0.64973,1.07029,0.57733,0.7076,0.65998,0.68584,0.3653,0.5428,1.06527,0.43481,0.004555,0.004555,0.004555
46,2781.53,0.65702,1.05192,0.58689,0.71125,0.65989,0.68754,0.3688,0.55684,1.0641,0.45252,0.00443125,0.00443125,0.00443125
47,2843,0.64777,1.04274,0.58065,0.75206,0.64449,0.70035,0.38182,0.52252,1.03159,0.42166,0.0043075,0.0043075,0.0043075
48,2904.23,0.66475,1.02022,0.59161,0.7655,0.64651,0.70075,0.37891,0.53061,1.03568,0.42488,0.00418375,0.00418375,0.00418375
49,2965.02,0.65706,1.01645,0.58798,0.74676,0.65288,0.69574,0.38026,0.50667,1.04535,0.41293,0.00406,0.00406,0.00406
50,3025.02,0.6544,0.99091,0.59189,0.77665,0.63916,0.7053,0.38477,0.52449,1.02541,0.42352,0.00393625,0.00393625,0.00393625
51,3084.9,0.64491,0.99545,0.58652,0.7622,0.65101,0.69752,0.37921,0.53935,1.03856,0.43485,0.0038125,0.0038125,0.0038125
52,3144.69,0.6492,0.96583,0.59299,0.7351,0.67146,0.70667,0.38328,0.51143,1.02471,0.41545,0.00368875,0.00368875,0.00368875
53,3205.26,0.64798,0.95358,0.59525,0.76742,0.63544,0.69723,0.38164,0.51079,1.03205,0.41481,0.003565,0.003565,0.003565
54,3265.29,0.64504,0.94275,0.60128,0.73473,0.65769,0.69654,0.3842,0.53393,1.03185,0.43512,0.00344125,0.00344125,0.00344125
55,3325.68,0.65322,0.92743,0.60512,0.75575,0.66206,0.70647,0.38157,0.53168,1.03092,0.43872,0.0033175,0.0033175,0.0033175
56,3385.62,0.65263,0.90829,0.60908,0.73478,0.66538,0.70207,0.389,0.50225,1.0165,0.41967,0.00319375,0.00319375,0.00319375
57,3446.14,0.65319,0.89954,0.60685,0.73028,0.67092,0.70055,0.38887,0.5391,1.0205,0.4415,0.00307,0.00307,0.00307
58,3506.63,0.65719,0.89289,0.61891,0.74009,0.65629,0.70085,0.38708,0.49583,1.03871,0.41074,0.00294625,0.00294625,0.00294625
59,3567.16,0.65551,0.87628,0.6154,0.76026,0.66974,0.71478,0.39271,0.50013,1.04738,0.41205,0.0028225,0.0028225,0.0028225
60,3627.61,0.66357,0.87416,0.62529,0.7648,0.66795,0.70941,0.38789,0.54675,1.03777,0.44783,0.00269875,0.00269875,0.00269875
61,3687.5,0.66437,0.86207,0.62705,0.73783,0.67664,0.70627,0.39026,0.53427,1.0237,0.43733,0.002575,0.002575,0.002575
62,3747.38,0.66613,0.85477,0.63167,0.78524,0.66924,0.71397,0.39284,0.53491,1.02161,0.43812,0.00245125,0.00245125,0.00245125
63,3807.67,0.66059,0.84175,0.6306,0.78113,0.64717,0.70138,0.38844,0.49914,1.04509,0.41101,0.0023275,0.0023275,0.0023275
64,3868.27,0.65189,0.82878,0.62887,0.77,0.64543,0.69734,0.38554,0.53665,1.04119,0.44686,0.00220375,0.00220375,0.00220375
65,3930.2,0.65684,0.82068,0.63469,0.75159,0.66762,0.70162,0.38942,0.53126,1.03542,0.44464,0.00208,0.00208,0.00208
66,3991.27,0.65304,0.8102,0.63398,0.77418,0.65361,0.70754,0.39324,0.544,1.03905,0.45333,0.00195625,0.00195625,0.00195625
67,4051.92,0.65072,0.79818,0.63879,0.80162,0.64708,0.71119,0.39484,0.52615,1.02446,0.43805,0.0018325,0.0018325,0.0018325
68,4112.55,0.65654,0.78623,0.64665,0.79254,0.6584,0.71644,0.39561,0.50556,1.02622,0.42104,0.00170875,0.00170875,0.00170875
69,4173.5,0.66095,0.77358,0.64909,0.76417,0.66865,0.71202,0.39756,0.50997,1.02305,0.42481,0.001585,0.001585,0.001585
