epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0729,0.41853,2.85121,0.35903,0.42335,0.42447,0.37807,0.16791,0.45836,2.36958,0.39164,0.00331019,0.00331019,0.00331019
2,121.523,0.38503,2.18642,0.3203,0.23415,0.1967,0.14994,0.06439,0.74279,4.05244,0.59927,0.0065613,0.0065613,0.0065613
3,181.571,0.48411,2.63167,0.39549,0.02071,0.01994,0.00151,0.00074,1.69515,11.0637,1.52738,0.00972992,0.00972992,0.00972992
4,242.863,0.57576,2.96509,0.45509,0.31007,0.09302,0.02456,0.00754,1.11041,14.9664,0.95154,0.00962875,0.00962875,0.00962875
5,304.349,0.54353,2.74629,0.43608,0.22018,0.14343,0.11313,0.04491,0.7665,4.33236,0.66616,0.009505,0.009505,0.009505
6,364.383,0.50017,2.62952,0.4119,0.27191,0.17195,0.13826,0.05452,0.71471,3.0192,0.5767,0.00938125,0.00938125,0.00938125
7,424.773,0.4942,2.52122,0.41024,0.51543,0.24842,0.20714,0.0836,0.71389,3.10483,0.60996,0.0092575,0.0092575,0.0092575
8,485.565,0.47806,2.41191,0.39977,0.41006,0.29695,0.26109,0.10722,0.70709,2.5005,0.57869,0.00913375,0.00913375,0.00913375
9,547.927,0.48668,2.32335,0.40717,0.39045,0.35779,0.32146,0.13684,0.63576,2.2827,0.53191,0.00901,0.00901,0.00901
10,608.593,0.47732,2.27451,0.40267,0.43753,0.38234,0.35828,0.15319,0.60447,2.10616,0.50334,0.00888625,0.00888625,0.00888625
11,670.583,0.4589,2.21334,0.39565,0.46703,0.38522,0.37309,0.16464,0.61811,2.04855,0.51494,0.0087625,0.0087625,0.0087625
12,731.994,0.48969,2.1611,0.41357,0.47047,0.40052,0.39057,0.17333,0.60301,1.97533,0.50947,0.00863875,0.00863875,0.00863875
13,792.904,0.46633,2.11789,0.40474,0.54167,0.41396,0.42814,0.18805,0.5703,1.97881,0.48318,0.008515,0.008515,0.008515
14,853.334,0.47585,2.05137,0.41163,0.49717,0.47235,0.4571,0.21193,0.59875,1.78555,0.50643,0.00839125,0.00839125,0.00839125
15,914.029,0.47361,2.01042,0.41597,0.5344,0.42327,0.43218,0.19727,0.58526,1.88984,0.51128,0.0082675,0.0082675,0.0082675
16,974.225,0.46758,1.96506,0.41334,0.58061,0.44463,0.48,0.23054,0.61857,1.77879,0.51474,0.00814375,0.00814375,0.00814375
17,1034.93,0.48482,1.95214,0.4267,0.55163,0.46816,0.49095,0.22763,0.55615,1.75104,0.46947,0.00802,0.00802,0.00802
18,1095.34,0.47854,1.90193,0.42744,0.60375,0.46622,0.5191,0.24014,0.61553,1.71964,0.51964,0.00789625,0.00789625,0.00789625
19,1155.78,0.47949,1.86711,0.42874,0.58554,0.47639,0.51255,0.24734,0.553,1.68783,0.46653,0.0077725,0.0077725,0.0077725
20,1216.06,0.49227,1.85401,0.44242,0.59522,0.50663,0.52168,0.25842,0.56038,1.64157,0.48195,0.00764875,0.00764875,0.00764875
