epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2615,0.30449,2.68764,0.20304,0.45373,0.39878,0.37997,0.16414,0.42939,2.10044,0.2677,0.00331019,0.00331019,0.00331019
2,120.914,0.33471,2.02686,0.20304,0.23764,0.22321,0.15535,0.0554,0.7158,3.15278,0.46141,0.0065613,0.0065613,0.0065613
3,181.331,0.47663,2.50934,0.28197,0.26021,0.03029,0.00258,0.00076,1.75742,13.1976,1.44157,0.00972992,0.00972992,0.00972992
4,242.457,0.58194,2.88886,0.32956,0.06023,0.09775,0.0271,0.00952,1.13643,11.636,0.76422,0.00962875,0.00962875,0.00962875
5,303.052,0.58168,2.65599,0.32766,0.184,0.18702,0.0947,0.02847,0.92169,3.7591,0.58835,0.009505,0.009505,0.009505
6,363.57,0.58075,2.46853,0.33047,0.28933,0.16967,0.15869,0.05137,0.97658,2.66509,0.58919,0.00938125,0.00938125,0.00938125
7,423.772,0.5504,2.34425,0.31133,0.3197,0.28802,0.2453,0.08923,0.65117,2.27201,0.39652,0.0092575,0.0092575,0.0092575
8,484.367,0.53493,2.22837,0.3043,0.46718,0.24632,0.26989,0.09772,0.7403,2.20398,0.4453,0.00913375,0.00913375,0.00913375
9,544.844,0.46295,2.13993,0.26079,0.52952,0.34729,0.32538,0.1177,0.67328,2.00234,0.40688,0.00901,0.00901,0.00901
10,605.267,0.42427,2.07122,0.2434,0.37098,0.34315,0.29904,0.10573,0.70993,2.0173,0.43882,0.00888625,0.00888625,0.00888625
11,665.71,0.42749,2.01401,0.24124,0.44139,0.34699,0.33952,0.12635,0.6736,1.85298,0.41247,0.0087625,0.0087625,0.0087625
12,726.49,0.41895,1.96101,0.23811,0.44486,0.40029,0.37315,0.13945,0.61982,1.81471,0.38019,0.00863875,0.00863875,0.00863875
13,787.139,0.43078,1.89136,0.24531,0.50098,0.40859,0.39766,0.1564,0.64786,1.79358,0.39968,0.008515,0.008515,0.008515
14,847.64,0.41041,1.85962,0.23194,0.56674,0.43488,0.45697,0.18313,0.55696,1.59315,0.33478,0.00839125,0.00839125,0.00839125
15,907.953,0.39509,1.80471,0.22546,0.5647,0.4005,0.41834,0.16238,0.51881,1.71864,0.31474,0.0082675,0.0082675,0.0082675
16,967.863,0.41067,1.77149,0.23639,0.57975,0.47674,0.48828,0.18459,0.53878,1.53733,0.32865,0.00814375,0.00814375,0.00814375
17,1028.32,0.39749,1.74352,0.22829,0.59922,0.47284,0.49844,0.20122,0.5583,1.51757,0.34142,0.00802,0.00802,0.00802
18,1088.77,0.37708,1.70276,0.21621,0.63828,0.46135,0.48552,0.1951,0.45859,1.52968,0.2806,0.00789625,0.00789625,0.00789625
19,1149.04,0.37029,1.67307,0.21212,0.5193,0.48631,0.47496,0.18557,0.50864,1.524,0.30254,0.0077725,0.0077725,0.0077725
20,1208.61,0.36154,1.64594,0.20586,0.63316,0.48573,0.51725,0.21953,0.5266,1.47085,0.32453,0.00764875,0.00764875,0.00764875
21,1268.69,0.36217,1.62018,0.20948,0.59091,0.51165,0.52389,0.22407,0.48211,1.41823,0.29667,0.007525,0.007525,0.007525
22,1328.95,0.36743,1.56982,0.21352,0.64119,0.51464,0.5532,0.22866,0.48524,1.34853,0.29602,0.00740125,0.00740125,0.00740125
23,1388.59,0.37527,1.56338,0.21841,0.62579,0.50255,0.52934,0.22689,0.51396,1.36441,0.32298,0.0072775,0.0072775,0.0072775
24,1448.43,0.37309,1.53222,0.21772,0.61791,0.55168,0.56114,0.2391,0.43291,1.29331,0.26375,0.00715375,0.00715375,0.00715375
25,1508.84,0.34236,1.51251,0.19815,0.65154,0.51362,0.57365,0.24916,0.42913,1.32296,0.26646,0.00703,0.00703,0.00703
26,1568.97,0.32759,1.46374,0.18997,0.62059,0.55565,0.57393,0.25099,0.46709,1.31328,0.28196,0.00690625,0.00690625,0.00690625
27,1628.94,0.31825,1.46892,0.1843,0.64263,0.5682,0.59185,0.24756,0.4858,1.30139,0.29435,0.0067825,0.0067825,0.0067825
28,1689.06,0.33835,1.44354,0.19589,0.68842,0.52603,0.58524,0.25442,0.44324,1.28889,0.27032,0.00665875,0.00665875,0.00665875
