epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9873,0.92302,5.12975,0.80592,0.47939,0.43891,0.42141,0.1768,1.11534,3.64386,0.89428,0.00331019,0.00331019,0.00331019
2,121.123,0.84769,3.85208,0.7147,0.27191,0.2745,0.21242,0.08071,1.31777,6.64334,1.08072,0.0065613,0.0065613,0.0065613
3,182.37,1.0041,4.69519,0.81786,0.02998,0.10354,0.0124,0.00362,1.71227,25.192,1.76384,0.00972992,0.00972992,0.00972992
4,242.723,1.11348,5.30789,0.89884,0.21496,0.05797,0.04093,0.01407,1.88666,13.0546,1.69017,0.00962875,0.00962875,0.00962875
5,304.025,1.07107,4.9509,0.86598,0.1975,0.22012,0.12164,0.04138,1.36801,7.18347,1.16009,0.009505,0.009505,0.009505
6,365.104,1.05439,4.64372,0.85125,0.28792,0.25463,0.19907,0.06571,1.5308,4.97052,1.19459,0.00938125,0.00938125,0.00938125
7,426.629,1.01874,4.40428,0.8257,0.50302,0.30299,0.28315,0.10998,1.2916,4.87948,1.06235,0.0092575,0.0092575,0.0092575
8,487.247,1.06007,4.20671,0.85216,0.36144,0.28478,0.24923,0.10308,1.19634,4.95152,0.99603,0.00913375,0.00913375,0.00913375
9,548.051,0.98731,4.03524,0.81018,0.38709,0.35503,0.30573,0.1278,1.09013,4.08543,0.88674,0.00901,0.00901,0.00901
10,608.059,1.01649,3.87461,0.82864,0.442,0.38339,0.38497,0.16451,1.25778,3.73192,0.99276,0.00888625,0.00888625,0.00888625
11,668.184,1.03583,3.78008,0.84185,0.54206,0.42437,0.43061,0.17085,1.16049,3.38441,0.92215,0.0087625,0.0087625,0.0087625
12,728.235,0.99763,3.67473,0.8222,0.46211,0.43885,0.42123,0.17317,1.23204,3.52942,0.9574,0.00863875,0.00863875,0.00863875
13,788.172,0.99089,3.53745,0.82147,0.53908,0.38446,0.39228,0.16252,1.18307,3.42083,0.93704,0.008515,0.008515,0.008515
