epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6988,0.46107,4.46583,0.35792,0.4805,0.42809,0.40958,0.18042,0.6202,3.30246,0.50868,0.00331019,0.00331019,0.00331019
2,120.454,0.37927,3.41679,0.28456,0.24426,0.25007,0.18166,0.0785,0.77803,5.89489,0.6156,0.0065613,0.0065613,0.0065613
3,181.156,0.4538,4.1489,0.33966,0.26011,0.0282,0.00269,0.00073,2.51603,23.5619,2.65868,0.00972992,0.00972992,0.00972992
4,241.193,0.55008,4.63799,0.40067,0.19519,0.08652,0.05098,0.01532,1.38112,15.8642,1.22964,0.00962875,0.00962875,0.00962875
5,302.013,0.51672,4.38067,0.38289,0.17829,0.16631,0.0859,0.03243,1.0319,8.99525,0.81263,0.009505,0.009505,0.009505
6,362.132,0.49658,4.14258,0.37479,0.29863,0.25023,0.19489,0.07159,0.7457,4.53234,0.59147,0.00938125,0.00938125,0.00938125
7,422.33,0.47526,3.97459,0.36681,0.40863,0.22313,0.19878,0.08037,0.68886,4.71323,0.58851,0.0092575,0.0092575,0.0092575
8,482.575,0.48645,3.82355,0.37968,0.41047,0.27663,0.23741,0.09399,0.79069,4.06637,0.64488,0.00913375,0.00913375,0.00913375
9,543.324,0.48376,3.69902,0.38266,0.43612,0.34375,0.3116,0.12772,0.74412,3.69521,0.62025,0.00901,0.00901,0.00901
10,604.081,0.48514,3.57776,0.38538,0.39709,0.34863,0.315,0.12935,0.69048,3.7398,0.57083,0.00888625,0.00888625,0.00888625
11,664.619,0.46849,3.51882,0.37863,0.43622,0.34624,0.3246,0.12188,0.87682,3.57855,0.71602,0.0087625,0.0087625,0.0087625
12,724.918,0.49179,3.43581,0.39799,0.49931,0.40979,0.41797,0.17419,0.93129,3.1897,0.76402,0.00863875,0.00863875,0.00863875
13,785.273,0.51164,3.31889,0.4146,0.46982,0.39714,0.3836,0.16779,0.78575,3.15899,0.64245,0.008515,0.008515,0.008515
14,845.861,0.48314,3.29788,0.39643,0.56003,0.40032,0.43522,0.19468,0.80783,3.05203,0.65324,0.00839125,0.00839125,0.00839125
15,907.292,0.49536,3.20202,0.41081,0.58281,0.37336,0.39597,0.17868,0.87595,3.14092,0.72597,0.0082675,0.0082675,0.0082675
16,968.354,0.48906,3.15961,0.41276,0.50185,0.45644,0.45085,0.19828,0.72362,2.93137,0.6028,0.00814375,0.00814375,0.00814375
17,1028.46,0.49894,3.12505,0.42133,0.52867,0.4743,0.48159,0.21686,0.6317,2.81987,0.52185,0.00802,0.00802,0.00802
18,1088.19,0.5074,3.04854,0.4284,0.50867,0.49722,0.48123,0.21631,0.5469,2.81831,0.45738,0.00789625,0.00789625,0.00789625
19,1147.72,0.51484,3.02438,0.43797,0.57139,0.47142,0.49285,0.21832,0.7295,2.81434,0.60533,0.0077725,0.0077725,0.0077725
20,1207.29,0.53061,2.9606,0.45287,0.5816,0.46728,0.50789,0.23606,0.64873,2.70678,0.52764,0.00764875,0.00764875,0.00764875
21,1267.01,0.52456,2.9029,0.45311,0.5553,0.49064,0.51794,0.25714,0.7136,2.61025,0.58701,0.007525,0.007525,0.007525
22,1326.54,0.52475,2.83501,0.45603,0.65302,0.50065,0.55088,0.25498,0.74645,2.58959,0.60198,0.00740125,0.00740125,0.00740125
23,1386.11,0.52146,2.81256,0.45598,0.59616,0.48492,0.53092,0.25467,0.65843,2.66342,0.54202,0.0072775,0.0072775,0.0072775
24,1445.62,0.55847,2.78673,0.48581,0.59221,0.53711,0.5533,0.26271,0.74084,2.56915,0.61018,0.00715375,0.00715375,0.00715375
25,1505.94,0.54697,2.74092,0.47645,0.64513,0.50651,0.56304,0.27862,0.61576,2.48564,0.51572,0.00703,0.00703,0.00703
26,1566.48,0.54606,2.66686,0.4818,0.64137,0.53487,0.58136,0.29134,0.56345,2.44129,0.46733,0.00690625,0.00690625,0.00690625
