epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.289,0.55677,2.78731,0.52202,0.45783,0.37184,0.35206,0.15769,0.57132,2.29286,0.52636,0.00331019,0.00331019,0.00331019
2,136.447,0.48871,2.13672,0.45416,0.35343,0.3227,0.24959,0.1028,0.66185,3.34335,0.60356,0.0065613,0.0065613,0.0065613
3,207.724,0.61013,2.58671,0.54832,0.02802,0.08645,0.01244,0.00383,1.2964,24.9721,1.65534,0.00972992,0.00972992,0.00972992
4,277.755,0.67472,2.92884,0.60113,0.1394,0.13667,0.04356,0.01471,1.20785,12.7692,1.1821,0.00962875,0.00962875,0.00962875
5,347.325,0.63906,2.72192,0.57642,0.21258,0.18356,0.13466,0.04915,0.90689,3.60395,0.86741,0.009505,0.009505,0.009505
6,416.471,0.59055,2.58662,0.54707,0.27149,0.2445,0.18201,0.07441,0.9281,3.20117,0.86844,0.00938125,0.00938125,0.00938125
7,484.862,0.58685,2.47314,0.54251,0.30752,0.24977,0.19738,0.08028,0.8212,3.63199,0.77162,0.0092575,0.0092575,0.0092575
8,554.024,0.57735,2.38055,0.53731,0.30315,0.33501,0.26215,0.10583,0.70786,2.39365,0.65815,0.00913375,0.00913375,0.00913375
9,622.849,0.57243,2.28307,0.53568,0.39569,0.37729,0.34,0.14623,0.7257,2.18797,0.66903,0.00901,0.00901,0.00901
10,691.266,0.56424,2.22356,0.53288,0.45718,0.3675,0.31999,0.14084,0.71466,2.27658,0.66695,0.00888625,0.00888625,0.00888625
11,760.338,0.56492,2.1689,0.53693,0.47009,0.35353,0.36972,0.16828,0.65995,2.0473,0.6269,0.0087625,0.0087625,0.0087625
12,828.089,0.56017,2.11657,0.53161,0.45359,0.4456,0.41932,0.18456,0.64823,1.9354,0.61324,0.00863875,0.00863875,0.00863875
