epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5674,0.44619,2.69314,0.36867,0.46744,0.40849,0.39301,0.16865,0.62024,2.00707,0.47683,0.00331019,0.00331019,0.00331019
2,121.174,0.45438,2.01839,0.35348,0.31254,0.25302,0.20827,0.07462,0.81437,3.0628,0.66902,0.0065613,0.0065613,0.0065613
3,182.096,0.54812,2.45932,0.41512,0.00823,0.10729,0.0047,0.00104,1.38921,41.6029,1.28024,0.00972992,0.00972992,0.00972992
4,243.224,0.62153,2.78489,0.46435,0.12363,0.1118,0.04682,0.01524,1.22813,14.9895,1.05308,0.00962875,0.00962875,0.00962875
5,304.39,0.60735,2.57879,0.45976,0.1978,0.16953,0.10407,0.03467,1.075,3.97156,0.7907,0.009505,0.009505,0.009505
6,364.835,0.65079,2.41718,0.48335,0.27002,0.26022,0.19713,0.06362,0.82547,2.61932,0.62655,0.00938125,0.00938125,0.00938125
7,425.363,0.61412,2.27275,0.46566,0.37458,0.33004,0.27135,0.10183,0.72452,2.53521,0.5586,0.0092575,0.0092575,0.0092575
8,485.67,0.62666,2.18417,0.47535,0.4083,0.34711,0.3177,0.13019,0.65415,2.11782,0.49867,0.00913375,0.00913375,0.00913375
9,546.145,0.58306,2.10384,0.45323,0.43641,0.40167,0.36147,0.144,0.66202,1.97603,0.50801,0.00901,0.00901,0.00901
10,606.871,0.58176,2.04224,0.45483,0.4282,0.36602,0.35918,0.15271,0.65492,1.9517,0.49795,0.00888625,0.00888625,0.00888625
11,667.649,0.61207,1.98006,0.47431,0.46649,0.38022,0.36411,0.14231,0.78261,1.97716,0.59522,0.0087625,0.0087625,0.0087625
12,728.257,0.59702,1.9251,0.4709,0.48819,0.45788,0.43151,0.17529,0.66892,1.7148,0.50589,0.00863875,0.00863875,0.00863875
13,788.947,0.6162,1.84099,0.48584,0.53707,0.44368,0.4364,0.1834,0.6142,1.72002,0.48668,0.008515,0.008515,0.008515
14,849.21,0.61061,1.82724,0.48297,0.51739,0.46071,0.46144,0.2018,0.65605,1.6595,0.50452,0.00839125,0.00839125,0.00839125
15,909.951,0.59438,1.76513,0.47687,0.56968,0.4579,0.47888,0.21116,0.67312,1.63434,0.51351,0.0082675,0.0082675,0.0082675
16,970.386,0.5992,1.73089,0.48389,0.52422,0.50246,0.50149,0.22147,0.62527,1.54877,0.48177,0.00814375,0.00814375,0.00814375
17,1030.29,0.61652,1.69935,0.49848,0.56518,0.51048,0.51057,0.22823,0.67618,1.4946,0.50517,0.00802,0.00802,0.00802
18,1089.8,0.63678,1.66753,0.51103,0.62013,0.54053,0.54663,0.24357,0.59962,1.44899,0.46006,0.00789625,0.00789625,0.00789625
19,1149.25,0.61122,1.62675,0.49833,0.62945,0.47342,0.52611,0.24107,0.55428,1.44188,0.42563,0.0077725,0.0077725,0.0077725
20,1208.66,0.62389,1.59871,0.50854,0.58016,0.52914,0.54315,0.26259,0.58455,1.44264,0.45181,0.00764875,0.00764875,0.00764875
21,1268.13,0.61456,1.56062,0.50605,0.59826,0.53734,0.57102,0.27574,0.52243,1.35318,0.40469,0.007525,0.007525,0.007525
22,1327.55,0.6274,1.52152,0.5211,0.70239,0.52284,0.58594,0.28402,0.59431,1.29822,0.45673,0.00740125,0.00740125,0.00740125
23,1387.12,0.63619,1.50181,0.52962,0.63312,0.56214,0.57701,0.27974,0.55291,1.33653,0.43094,0.0072775,0.0072775,0.0072775
24,1447.67,0.6477,1.48489,0.54266,0.63809,0.54396,0.57213,0.27865,0.5681,1.36056,0.44212,0.00715375,0.00715375,0.00715375
25,1507.2,0.66083,1.45923,0.55145,0.66601,0.56119,0.60278,0.29126,0.58758,1.31203,0.45233,0.00703,0.00703,0.00703
26,1567.58,0.64119,1.40008,0.54211,0.6238,0.57076,0.59099,0.28317,0.52679,1.30595,0.40981,0.00690625,0.00690625,0.00690625
27,1627.92,0.64929,1.39848,0.54889,0.67973,0.55963,0.62107,0.30566,0.57664,1.26403,0.44513,0.0067825,0.0067825,0.0067825
28,1688.4,0.6649,1.37541,0.56288,0.65539,0.60291,0.62808,0.31352,0.55067,1.22915,0.43648,0.00665875,0.00665875,0.00665875
29,1748.26,0.66367,1.35472,0.56487,0.67435,0.5809,0.62362,0.31211,0.534,1.23832,0.42202,0.006535,0.006535,0.006535
30,1808.8,0.66189,1.31715,0.56575,0.68178,0.59411,0.63064,0.32083,0.54433,1.22818,0.43209,0.00641125,0.00641125,0.00641125
31,1869.09,0.67596,1.29788,0.58062,0.70613,0.60864,0.65024,0.32769,0.54305,1.20161,0.43051,0.0062875,0.0062875,0.0062875
32,1929.71,0.66382,1.2689,0.57736,0.69441,0.60657,0.64056,0.33112,0.52577,1.1682,0.42411,0.00616375,0.00616375,0.00616375
33,1990.15,0.66404,1.24826,0.58079,0.69762,0.64042,0.66576,0.34522,0.50689,1.14101,0.40225,0.00604,0.00604,0.00604
34,2050.63,0.68678,1.24188,0.59621,0.70748,0.62225,0.65696,0.3365,0.49486,1.15209,0.39008,0.00591625,0.00591625,0.00591625
35,2110.88,0.65855,1.22501,0.58206,0.6976,0.61289,0.64786,0.33856,0.51991,1.15353,0.42114,0.0057925,0.0057925,0.0057925
36,2170.92,0.67217,1.20522,0.59406,0.74016,0.61471,0.66187,0.34596,0.54197,1.12263,0.43044,0.00566875,0.00566875,0.00566875
37,2231.46,0.68256,1.19619,0.60405,0.71718,0.64895,0.67551,0.35647,0.49705,1.09896,0.39998,0.005545,0.005545,0.005545
38,2292.25,0.67763,1.16377,0.60065,0.70206,0.63287,0.66296,0.34955,0.49342,1.11111,0.40077,0.00542125,0.00542125,0.00542125
39,2352.56,0.68584,1.15403,0.61127,0.6957,0.64376,0.6721,0.35154,0.48562,1.11682,0.39102,0.0052975,0.0052975,0.0052975
40,2411.98,0.68496,1.13934,0.61326,0.7399,0.6207,0.67474,0.36515,0.47473,1.08483,0.38511,0.00517375,0.00517375,0.00517375
41,2471.43,0.70709,1.11125,0.63441,0.74925,0.64239,0.67981,0.36436,0.49262,1.06259,0.40342,0.00505,0.00505,0.00505
42,2530.92,0.69611,1.11296,0.6281,0.74296,0.65349,0.69785,0.37448,0.48173,1.07985,0.39595,0.00492625,0.00492625,0.00492625
43,2590.38,0.70179,1.06907,0.63112,0.74508,0.6609,0.70407,0.37973,0.51588,1.04446,0.41534,0.0048025,0.0048025,0.0048025
44,2649.85,0.70104,1.06891,0.63835,0.73257,0.65386,0.69483,0.37187,0.47868,1.06914,0.38706,0.00467875,0.00467875,0.00467875
45,2709.56,0.6972,1.06233,0.6402,0.7442,0.65962,0.6921,0.37391,0.48938,1.03901,0.39788,0.004555,0.004555,0.004555
46,2769.5,0.701,1.03301,0.64598,0.75233,0.65376,0.69411,0.38454,0.46012,1.0556,0.37697,0.00443125,0.00443125,0.00443125
47,2829.99,0.70767,1.02509,0.6529,0.75828,0.64795,0.70785,0.39069,0.51443,1.03181,0.42179,0.0043075,0.0043075,0.0043075
