epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6448,1.79573,3.11237,1.93616,0.39329,0.38505,0.33934,0.16162,1.73388,2.40466,1.79401,0.00331019,0.00331019,0.00331019
2,121.02,1.73303,2.2873,1.84448,0.31141,0.25501,0.20871,0.08573,1.93989,3.49044,2.08379,0.0065613,0.0065613,0.0065613
3,186.884,1.92501,2.77967,2.05404,0.00851,0.01915,0.00313,0.00102,2.97328,50.5064,4.05352,0.00972992,0.00972992,0.00972992
4,249.769,2.0573,3.21585,2.24395,0.04494,0.07123,0.01782,0.00654,2.44507,26.7582,2.94654,0.00962875,0.00962875,0.00962875
5,309.633,1.95459,3.00035,2.16527,0.13629,0.111,0.05198,0.01714,2.34151,5.44928,2.71876,0.009505,0.009505,0.009505
6,369.263,1.88499,2.86998,2.10018,0.13786,0.16966,0.07265,0.02537,2.22808,3.45604,2.45818,0.00938125,0.00938125,0.00938125
7,429.855,1.84728,2.73862,2.05571,0.52169,0.22692,0.19724,0.0788,2.00367,3.18612,2.2203,0.0092575,0.0092575,0.0092575
8,489.56,1.8095,2.63399,2.0293,0.36882,0.27387,0.24042,0.09629,2.01245,2.66584,2.19078,0.00913375,0.00913375,0.00913375
9,549.169,1.77213,2.51833,1.97456,0.38923,0.30334,0.27048,0.11798,1.9338,2.41254,2.09726,0.00901,0.00901,0.00901
10,608.873,1.73787,2.46913,1.95427,0.36612,0.31154,0.28424,0.12394,1.91981,2.31569,2.09178,0.00888625,0.00888625,0.00888625
11,668.405,1.72462,2.37838,1.93758,0.40145,0.31529,0.30815,0.13406,1.90733,2.21946,2.08727,0.0087625,0.0087625,0.0087625
12,728.268,1.69766,2.32226,1.90502,0.39504,0.39383,0.34569,0.15712,1.82094,2.11522,2.00118,0.00863875,0.00863875,0.00863875
13,788.292,1.67337,2.26357,1.89153,0.4555,0.41245,0.38825,0.18064,1.78253,2.0442,1.94772,0.008515,0.008515,0.008515
14,848.078,1.6629,2.2001,1.86844,0.49304,0.39709,0.39378,0.19259,1.72919,1.96102,1.93485,0.00839125,0.00839125,0.00839125
15,908.153,1.63197,2.14,1.84755,0.46389,0.40999,0.39954,0.1923,1.73719,1.95847,1.91474,0.0082675,0.0082675,0.0082675
16,967.776,1.62478,2.09417,1.83402,0.56009,0.40662,0.42818,0.21412,1.71802,1.94481,1.89984,0.00814375,0.00814375,0.00814375
17,1027.45,1.6127,2.071,1.82419,0.55803,0.40229,0.42902,0.20828,1.76255,1.89165,1.9287,0.00802,0.00802,0.00802
18,1087.28,1.594,2.01523,1.8034,0.51877,0.45908,0.46065,0.23226,1.67055,1.80792,1.85956,0.00789625,0.00789625,0.00789625
19,1147.28,1.57631,1.9865,1.78185,0.50934,0.45455,0.4589,0.23574,1.673,1.79934,1.87999,0.0077725,0.0077725,0.0077725
20,1207.21,1.5719,1.9574,1.78266,0.59366,0.45494,0.49278,0.25257,1.62684,1.72409,1.82731,0.00764875,0.00764875,0.00764875
21,1267.49,1.54508,1.92527,1.75948,0.5016,0.47377,0.47844,0.24809,1.6401,1.71371,1.83464,0.007525,0.007525,0.007525
22,1327.86,1.54216,1.88681,1.75308,0.57833,0.48125,0.51178,0.27055,1.60082,1.68486,1.79912,0.00740125,0.00740125,0.00740125
23,1388.08,1.53383,1.86121,1.74516,0.56053,0.51363,0.51652,0.27342,1.5884,1.65757,1.78476,0.0072775,0.0072775,0.0072775
24,1447.75,1.52013,1.81755,1.73347,0.57831,0.50623,0.54427,0.28182,1.58577,1.59046,1.76538,0.00715375,0.00715375,0.00715375
25,1508.03,1.51243,1.79874,1.7199,0.59479,0.48283,0.52448,0.27655,1.57719,1.60274,1.74749,0.00703,0.00703,0.00703
26,1568.33,1.49867,1.75754,1.70512,0.57777,0.54124,0.54907,0.28972,1.55209,1.53425,1.73269,0.00690625,0.00690625,0.00690625
27,1627.99,1.48505,1.72777,1.69476,0.60107,0.52735,0.5592,0.29804,1.5772,1.52238,1.76281,0.0067825,0.0067825,0.0067825
28,1687.61,1.47716,1.70411,1.69123,0.60643,0.52894,0.55577,0.29433,1.58264,1.54093,1.76194,0.00665875,0.00665875,0.00665875
29,1747.08,1.45829,1.67634,1.66882,0.63766,0.52002,0.57119,0.31213,1.56712,1.48637,1.73832,0.006535,0.006535,0.006535
30,1807.32,1.45109,1.63896,1.67154,0.62306,0.53926,0.5795,0.31493,1.54819,1.44616,1.73485,0.00641125,0.00641125,0.00641125
31,1871.46,1.4536,1.63188,1.65863,0.63879,0.54763,0.58263,0.31177,1.55265,1.45213,1.71577,0.0062875,0.0062875,0.0062875
32,1934.21,1.42867,1.60755,1.64312,0.66193,0.55761,0.60082,0.32939,1.53586,1.40929,1.71798,0.00616375,0.00616375,0.00616375
33,1995.48,1.42965,1.5859,1.6412,0.65955,0.55434,0.58096,0.31523,1.54666,1.48167,1.73191,0.00604,0.00604,0.00604
34,2058.68,1.41809,1.54443,1.63579,0.67252,0.56512,0.60394,0.32881,1.54508,1.39395,1.71918,0.00591625,0.00591625,0.00591625
35,2120.9,1.41073,1.51655,1.63109,0.63387,0.56078,0.5998,0.33417,1.51349,1.38052,1.70775,0.0057925,0.0057925,0.0057925
36,2188.72,1.4022,1.5092,1.61775,0.63831,0.60297,0.62733,0.3478,1.51351,1.36942,1.68633,0.00566875,0.00566875,0.00566875
37,2253.18,1.38429,1.48757,1.60383,0.63212,0.58371,0.60545,0.33239,1.53301,1.3839,1.71486,0.005545,0.005545,0.005545
38,2313.45,1.37211,1.47083,1.59329,0.62003,0.59154,0.59967,0.33642,1.50849,1.32839,1.6972,0.00542125,0.00542125,0.00542125
39,2373.28,1.36979,1.43179,1.58898,0.65346,0.59841,0.61674,0.34001,1.49751,1.33097,1.69403,0.0052975,0.0052975,0.0052975
40,2433.09,1.361,1.40875,1.58387,0.6999,0.58208,0.63482,0.34649,1.49169,1.31671,1.68473,0.00517375,0.00517375,0.00517375
41,2493.28,1.34863,1.38805,1.57342,0.69576,0.57165,0.63525,0.35868,1.47666,1.29752,1.66423,0.00505,0.00505,0.00505
42,2553.13,1.3351,1.37806,1.56652,0.65274,0.59504,0.6298,0.35006,1.50516,1.31732,1.69967,0.00492625,0.00492625,0.00492625
43,2612.9,1.33184,1.36518,1.55715,0.71612,0.59301,0.64443,0.36382,1.46729,1.29603,1.67724,0.0048025,0.0048025,0.0048025
44,2672.69,1.30526,1.32164,1.52934,0.6885,0.59592,0.6371,0.35786,1.47967,1.30568,1.67668,0.00467875,0.00467875,0.00467875
45,2732.5,1.31504,1.32156,1.54317,0.73182,0.6079,0.65425,0.36296,1.48963,1.28767,1.68051,0.004555,0.004555,0.004555
46,2793.3,1.30461,1.29209,1.53519,0.7171,0.60225,0.65351,0.36618,1.48871,1.25619,1.67539,0.00443125,0.00443125,0.00443125
47,2853.13,1.30235,1.27932,1.52271,0.70558,0.62715,0.66362,0.37733,1.46936,1.25258,1.66459,0.0043075,0.0043075,0.0043075
48,2912.93,1.28303,1.26353,1.51241,0.68939,0.6218,0.65425,0.37276,1.48277,1.26088,1.67275,0.00418375,0.00418375,0.00418375
49,2972.78,1.27387,1.24038,1.50318,0.72584,0.61345,0.65654,0.3619,1.52381,1.26311,1.72131,0.00406,0.00406,0.00406
50,3032.58,1.2707,1.22278,1.50312,0.73233,0.61434,0.65534,0.3705,1.49199,1.27165,1.67861,0.00393625,0.00393625,0.00393625
51,3093.15,1.27096,1.22578,1.50341,0.70874,0.6099,0.65914,0.37209,1.50517,1.23342,1.70566,0.0038125,0.0038125,0.0038125
52,3153.21,1.2464,1.19362,1.48585,0.74508,0.60479,0.66559,0.37397,1.49936,1.21159,1.71184,0.00368875,0.00368875,0.00368875
53,3213.43,1.23582,1.17354,1.47394,0.7478,0.59683,0.66581,0.37952,1.48072,1.20201,1.68266,0.003565,0.003565,0.003565
54,3273.73,1.21771,1.14916,1.46666,0.71374,0.62897,0.65575,0.37259,1.51062,1.2371,1.70965,0.00344125,0.00344125,0.00344125
55,3334.68,1.21961,1.14581,1.46304,0.71127,0.63805,0.66566,0.3757,1.4978,1.22467,1.70899,0.0033175,0.0033175,0.0033175
56,3395.24,1.20624,1.11755,1.44851,0.69397,0.64017,0.66945,0.38178,1.49619,1.17252,1.69116,0.00319375,0.00319375,0.00319375
57,3455.28,1.20552,1.10097,1.44737,0.72857,0.64341,0.67657,0.38573,1.49611,1.20332,1.6998,0.00307,0.00307,0.00307
58,3515.52,1.18691,1.08891,1.44057,0.71647,0.64487,0.669,0.38175,1.50422,1.18474,1.71493,0.00294625,0.00294625,0.00294625
59,3575.33,1.177,1.06478,1.42496,0.72131,0.64623,0.67634,0.38227,1.49988,1.18945,1.71754,0.0028225,0.0028225,0.0028225
60,3635.4,1.17841,1.07114,1.43076,0.74793,0.64124,0.68039,0.38589,1.51796,1.21724,1.74151,0.00269875,0.00269875,0.00269875
61,3695.27,1.16789,1.05541,1.42232,0.73379,0.63087,0.67875,0.38326,1.51702,1.20493,1.73329,0.002575,0.002575,0.002575
62,3756.02,1.15331,1.04653,1.40783,0.7454,0.62153,0.67596,0.3832,1.51463,1.18331,1.73774,0.00245125,0.00245125,0.00245125
63,3816.35,1.15522,1.02127,1.41082,0.71378,0.64578,0.6789,0.38307,1.51488,1.18562,1.74154,0.0023275,0.0023275,0.0023275
64,3876.35,1.12498,1.00515,1.38426,0.72183,0.64455,0.67837,0.38213,1.51169,1.19584,1.74066,0.00220375,0.00220375,0.00220375
65,3936.43,1.13257,0.9917,1.38945,0.71925,0.65881,0.67456,0.38372,1.50729,1.1977,1.73529,0.00208,0.00208,0.00208
66,3996.23,1.11601,0.9829,1.37439,0.71592,0.65023,0.67578,0.38546,1.52007,1.20403,1.74505,0.00195625,0.00195625,0.00195625
