epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5852,1.77373,3.06124,1.92593,0.38917,0.39646,0.35512,0.17152,1.70674,2.16337,1.77636,0.00331019,0.00331019,0.00331019
2,121.027,1.73776,2.2891,1.84391,0.24875,0.24023,0.1596,0.06053,2.08041,3.33973,2.23344,0.0065613,0.0065613,0.0065613
3,185.026,1.93832,2.81149,2.05877,0.01303,0.06921,0.00476,0.00154,2.83505,32.0791,3.93201,0.00972992,0.00972992,0.00972992
4,245.972,2.06929,3.21315,2.24459,0.33196,0.04737,0.02404,0.00875,2.57043,13.9873,2.87712,0.00962875,0.00962875,0.00962875
5,306.516,1.96912,3.02088,2.17473,0.11002,0.14748,0.07063,0.02496,2.22729,6.5257,2.48506,0.009505,0.009505,0.009505
6,366.976,1.88755,2.86164,2.09981,0.11052,0.15744,0.0622,0.02039,2.32835,3.84275,2.63838,0.00938125,0.00938125,0.00938125
7,426.306,1.85126,2.7392,2.071,0.48281,0.1994,0.15161,0.05947,2.18119,3.42165,2.42887,0.0092575,0.0092575,0.0092575
8,486.295,1.81804,2.62415,2.02986,0.26696,0.25847,0.20741,0.08172,2.05432,2.84984,2.23171,0.00913375,0.00913375,0.00913375
9,545.935,1.78138,2.52123,1.97665,0.36015,0.28365,0.25474,0.109,1.97951,2.44234,2.16623,0.00901,0.00901,0.00901
10,605.256,1.74797,2.46525,1.96566,0.42954,0.30712,0.29907,0.13988,1.8082,2.25168,1.99867,0.00888625,0.00888625,0.00888625
11,664.517,1.73247,2.38453,1.93502,0.42869,0.35653,0.32315,0.14794,1.83801,2.18936,2.02663,0.0087625,0.0087625,0.0087625
12,723.856,1.70448,2.32004,1.91032,0.37932,0.33687,0.30659,0.14195,1.8286,2.24327,2.01154,0.00863875,0.00863875,0.00863875
13,783.135,1.68046,2.25219,1.89331,0.44733,0.3983,0.37853,0.1817,1.78839,2.08157,1.93432,0.008515,0.008515,0.008515
14,842.443,1.66916,2.18262,1.87219,0.43072,0.41086,0.3725,0.17917,1.7512,1.99476,1.96591,0.00839125,0.00839125,0.00839125
15,901.699,1.64114,2.13493,1.84875,0.47463,0.38712,0.38924,0.18107,1.79303,2.01107,1.97894,0.0082675,0.0082675,0.0082675
16,961.037,1.63186,2.10177,1.83972,0.4822,0.40896,0.40754,0.198,1.71941,1.97655,1.88154,0.00814375,0.00814375,0.00814375
17,1020.37,1.61609,2.05867,1.82137,0.54265,0.41098,0.44509,0.22184,1.68237,1.8231,1.89025,0.00802,0.00802,0.00802
18,1079.67,1.59348,2.01977,1.80576,0.49403,0.43408,0.43607,0.21975,1.70919,1.77639,1.88877,0.00789625,0.00789625,0.00789625
19,1139.18,1.58622,1.98105,1.78914,0.47723,0.45363,0.4368,0.2179,1.69438,1.83211,1.86839,0.0077725,0.0077725,0.0077725
20,1198.61,1.58061,1.95676,1.78811,0.55117,0.47629,0.47961,0.24754,1.65223,1.69291,1.8417,0.00764875,0.00764875,0.00764875
21,1258.22,1.54548,1.90893,1.75311,0.53111,0.46394,0.47496,0.24578,1.65135,1.72252,1.83516,0.007525,0.007525,0.007525
22,1317.98,1.54584,1.88725,1.75027,0.53541,0.46513,0.4929,0.26185,1.58951,1.66734,1.78778,0.00740125,0.00740125,0.00740125
23,1377.43,1.53541,1.85491,1.747,0.56755,0.47116,0.49008,0.24969,1.633,1.75807,1.83457,0.0072775,0.0072775,0.0072775
24,1437.16,1.53258,1.80851,1.73675,0.54903,0.51656,0.52629,0.27438,1.60729,1.61076,1.7822,0.00715375,0.00715375,0.00715375
25,1496.93,1.5131,1.80028,1.72141,0.60068,0.49351,0.54271,0.29004,1.57901,1.59632,1.75155,0.00703,0.00703,0.00703
26,1557.16,1.49883,1.73483,1.70745,0.58089,0.50694,0.53527,0.28605,1.59107,1.52578,1.76313,0.00690625,0.00690625,0.00690625
27,1616.63,1.48845,1.71446,1.69908,0.60567,0.51181,0.54315,0.29465,1.55967,1.51156,1.7519,0.0067825,0.0067825,0.0067825
28,1676.9,1.4764,1.70996,1.6875,0.59561,0.53643,0.56212,0.29748,1.58926,1.55102,1.76611,0.00665875,0.00665875,0.00665875
29,1736.68,1.46252,1.66837,1.67959,0.58426,0.51955,0.54369,0.28947,1.56697,1.51333,1.74333,0.006535,0.006535,0.006535
30,1796.33,1.45489,1.6449,1.66935,0.58178,0.53271,0.56155,0.31091,1.52575,1.45184,1.71677,0.00641125,0.00641125,0.00641125
31,1856.34,1.45332,1.62972,1.65696,0.6104,0.56245,0.58116,0.31376,1.56011,1.47782,1.73909,0.0062875,0.0062875,0.0062875
32,1915.65,1.42526,1.60262,1.64439,0.64782,0.55432,0.59429,0.32818,1.51266,1.41171,1.70436,0.00616375,0.00616375,0.00616375
33,1974.99,1.43023,1.58003,1.6421,0.61457,0.55245,0.5805,0.32219,1.52845,1.4635,1.70959,0.00604,0.00604,0.00604
34,2034.29,1.41808,1.54768,1.63499,0.63851,0.57212,0.59896,0.32962,1.54267,1.38485,1.71313,0.00591625,0.00591625,0.00591625
35,2093.63,1.40628,1.52014,1.61802,0.58482,0.58192,0.59493,0.32876,1.52428,1.3908,1.70383,0.0057925,0.0057925,0.0057925
36,2152.95,1.40443,1.50691,1.61365,0.62755,0.57898,0.60112,0.32427,1.5213,1.42114,1.71388,0.00566875,0.00566875,0.00566875
37,2213.82,1.38913,1.49112,1.60721,0.64083,0.57905,0.59058,0.32754,1.5144,1.41253,1.70755,0.005545,0.005545,0.005545
38,2273.64,1.37905,1.46151,1.59618,0.66062,0.57435,0.6029,0.3388,1.52298,1.35544,1.70316,0.00542125,0.00542125,0.00542125
39,2334.09,1.36601,1.42555,1.5806,0.6442,0.57261,0.60666,0.34356,1.49733,1.34752,1.70489,0.0052975,0.0052975,0.0052975
40,2394.91,1.36051,1.40829,1.58188,0.63632,0.61456,0.62046,0.34958,1.49935,1.30569,1.70356,0.00517375,0.00517375,0.00517375
41,2454.76,1.343,1.3915,1.57123,0.65772,0.59547,0.63392,0.3611,1.47104,1.30872,1.66235,0.00505,0.00505,0.00505
42,2514.66,1.33456,1.36842,1.56201,0.70098,0.57449,0.62736,0.35572,1.48067,1.31514,1.68047,0.00492625,0.00492625,0.00492625
43,2575.41,1.34019,1.36473,1.56144,0.66294,0.60281,0.62991,0.3483,1.50617,1.3173,1.71629,0.0048025,0.0048025,0.0048025
44,2635.16,1.31569,1.32318,1.53435,0.67822,0.61758,0.646,0.36393,1.47587,1.29744,1.67251,0.00467875,0.00467875,0.00467875
45,2695.17,1.31445,1.31932,1.54359,0.67377,0.60395,0.63614,0.35738,1.49213,1.29231,1.69543,0.004555,0.004555,0.004555
