epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1144,0.47963,2.59132,0.37972,0.52693,0.40781,0.42521,0.17108,0.59283,1.83567,0.41991,0.00331019,0.00331019,0.00331019
2,120.746,0.48487,1.88016,0.35157,0.31224,0.23602,0.18333,0.06583,0.74341,3.01689,0.55474,0.0065613,0.0065613,0.0065613
3,181.612,0.68096,2.32646,0.4731,0.00397,0.01892,0.00141,0.00042,2.83209,86.4892,2.8356,0.00972992,0.00972992,0.00972992
4,241.959,0.72966,2.61027,0.49564,0.15841,0.09014,0.05131,0.01515,1.23221,8.81591,0.9279,0.00962875,0.00962875,0.00962875
5,302.391,0.7418,2.4174,0.50038,0.41148,0.14516,0.08803,0.0312,1.12165,3.92715,0.83542,0.009505,0.009505,0.009505
6,362.823,0.76622,2.22739,0.51113,0.30045,0.26942,0.21669,0.07582,0.88181,2.31799,0.59522,0.00938125,0.00938125,0.00938125
7,423.666,0.72008,2.10204,0.489,0.38347,0.30966,0.27564,0.10495,0.77594,2.08202,0.53481,0.0092575,0.0092575,0.0092575
8,484.101,0.72047,1.99936,0.48904,0.38222,0.3509,0.30883,0.11898,0.77141,1.92979,0.52686,0.00913375,0.00913375,0.00913375
9,544.448,0.67976,1.9113,0.4686,0.47247,0.32675,0.32605,0.121,0.81772,1.95743,0.55381,0.00901,0.00901,0.00901
10,604.222,0.66177,1.83901,0.46204,0.50294,0.41005,0.39467,0.15085,0.77754,1.68563,0.52744,0.00888625,0.00888625,0.00888625
11,663.918,0.66339,1.7897,0.46637,0.45401,0.42258,0.39162,0.15858,0.75462,1.68709,0.50931,0.0087625,0.0087625,0.0087625
12,723.496,0.67981,1.72128,0.47836,0.47538,0.46395,0.42522,0.16714,0.71659,1.5774,0.49446,0.00863875,0.00863875,0.00863875
13,783.088,0.67098,1.66389,0.4763,0.56901,0.44447,0.45799,0.18761,0.67372,1.53649,0.47747,0.008515,0.008515,0.008515
14,843.144,0.6699,1.63747,0.47697,0.57979,0.47776,0.49376,0.20149,0.69131,1.4078,0.49305,0.00839125,0.00839125,0.00839125
15,903.646,0.66106,1.57393,0.47863,0.57338,0.48961,0.49587,0.21511,0.69415,1.37414,0.49061,0.0082675,0.0082675,0.0082675
16,963.856,0.67466,1.53894,0.48884,0.58781,0.49822,0.51946,0.21728,0.69915,1.3621,0.48071,0.00814375,0.00814375,0.00814375
17,1024.3,0.69112,1.51399,0.50242,0.61205,0.51032,0.53686,0.23524,0.63029,1.3457,0.44593,0.00802,0.00802,0.00802
