epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7931,1.77844,3.12512,1.93019,0.37785,0.41177,0.36327,0.15678,1.743,2.22814,1.82404,0.00331019,0.00331019,0.00331019
2,120.664,1.72232,2.27834,1.85271,0.25115,0.31675,0.19157,0.07451,2.07042,4.18314,2.18695,0.0065613,0.0065613,0.0065613
3,203.48,1.93064,2.76642,2.05335,0.0237,0.05845,0.01385,0.00458,2.63453,inf,3.50247,0.00972992,0.00972992,0.00972992
4,265.656,2.07632,3.20318,2.23079,0.03842,0.12669,0.02365,0.00846,2.44947,54.1765,2.80516,0.00962875,0.00962875,0.00962875
5,326.327,1.9624,3.00897,2.16637,0.17629,0.12376,0.07942,0.0303,2.28194,4.44843,2.54486,0.009505,0.009505,0.009505
6,386.497,1.88294,2.85856,2.09765,0.20722,0.20256,0.13507,0.05184,2.04254,3.57498,2.23543,0.00938125,0.00938125,0.00938125
7,446.496,1.84491,2.72723,2.05015,0.34402,0.19951,0.1518,0.0581,2.08282,3.57086,2.32594,0.0092575,0.0092575,0.0092575
8,506.642,1.80926,2.62564,2.02756,0.3584,0.27277,0.24352,0.09593,2.04805,3.17865,2.23373,0.00913375,0.00913375,0.00913375
9,566.14,1.77297,2.51399,1.97573,0.32294,0.29445,0.25884,0.11237,1.98814,2.45791,2.13919,0.00901,0.00901,0.00901
10,625.959,1.74467,2.43799,1.95102,0.36243,0.30567,0.2789,0.13168,1.83277,2.30328,1.97991,0.00888625,0.00888625,0.00888625
11,686.129,1.72572,2.37441,1.92379,0.44967,0.33116,0.32477,0.15095,1.8659,2.24783,2.04761,0.0087625,0.0087625,0.0087625
12,746.802,1.69963,2.33024,1.904,0.41169,0.37719,0.34494,0.16136,1.82082,2.18869,2.01162,0.00863875,0.00863875,0.00863875
13,807.379,1.67973,2.25838,1.89181,0.40788,0.3585,0.32356,0.15689,1.81393,2.18294,1.96717,0.008515,0.008515,0.008515
14,867.889,1.6599,2.18443,1.8595,0.4818,0.37373,0.38625,0.18487,1.76354,1.99017,1.94798,0.00839125,0.00839125,0.00839125
