epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4031,0.56361,2.86139,0.52477,0.43462,0.42319,0.37961,0.1744,0.64715,2.27911,0.57762,0.00331019,0.00331019,0.00331019
2,121.225,0.54124,2.18222,0.48822,0.2869,0.23676,0.18689,0.07361,0.77319,4.27747,0.69967,0.0065613,0.0065613,0.0065613
3,184.509,0.64246,2.64062,0.57088,0.02334,0.03742,0.00909,0.0034,1.29324,32.4338,1.30988,0.00972992,0.00972992,0.00972992
4,245.219,0.72998,2.96729,0.63758,0.09028,0.10534,0.04729,0.01801,1.19666,15.2114,1.16117,0.00962875,0.00962875,0.00962875
5,305.454,0.66698,2.78345,0.60014,0.21509,0.21159,0.14599,0.05374,0.96176,3.67672,0.87178,0.009505,0.009505,0.009505
6,366.427,0.6108,2.63798,0.56088,0.29259,0.28867,0.2065,0.07651,0.9247,3.12277,0.8196,0.00938125,0.00938125,0.00938125
7,427.18,0.62751,2.5122,0.57007,0.50786,0.30148,0.25443,0.10093,0.79914,2.9242,0.7368,0.0092575,0.0092575,0.0092575
8,487.178,0.61049,2.42264,0.55995,0.38958,0.34046,0.30904,0.12591,0.7973,2.29938,0.73243,0.00913375,0.00913375,0.00913375
9,547.52,0.60546,2.3267,0.55942,0.38423,0.3737,0.33276,0.14315,0.73205,2.16941,0.66188,0.00901,0.00901,0.00901
10,607.731,0.58729,2.28384,0.54948,0.42585,0.39827,0.36536,0.15931,0.74158,2.08741,0.67867,0.00888625,0.00888625,0.00888625
11,667.299,0.59086,2.21031,0.55714,0.45659,0.41584,0.38957,0.16932,0.7966,1.99067,0.72471,0.0087625,0.0087625,0.0087625
12,726.875,0.60519,2.14788,0.56658,0.42364,0.42064,0.37649,0.16468,0.79341,2.09501,0.71287,0.00863875,0.00863875,0.00863875
13,786.475,0.60138,2.09627,0.56517,0.46757,0.44394,0.41952,0.19026,0.78591,1.96717,0.7031,0.008515,0.008515,0.008515
14,846.854,0.59553,2.04215,0.56081,0.52713,0.45599,0.46057,0.22166,0.74209,1.82048,0.6783,0.00839125,0.00839125,0.00839125
15,906.573,0.60535,1.99254,0.57452,0.53069,0.44824,0.45735,0.21418,0.70474,1.86049,0.65011,0.0082675,0.0082675,0.0082675
16,966.079,0.59946,1.95332,0.57097,0.501,0.48272,0.46371,0.22728,0.67551,1.80874,0.61782,0.00814375,0.00814375,0.00814375
17,1025.92,0.59725,1.92687,0.57117,0.49213,0.4799,0.48515,0.23756,0.69866,1.72621,0.63899,0.00802,0.00802,0.00802
18,1086.87,0.59771,1.87256,0.57504,0.55216,0.50133,0.50537,0.24132,0.69808,1.70243,0.64261,0.00789625,0.00789625,0.00789625
19,1147.28,0.59444,1.84733,0.57585,0.60657,0.47285,0.51887,0.25241,0.71876,1.657,0.65946,0.0077725,0.0077725,0.0077725
20,1207.42,0.6066,1.82185,0.58945,0.55526,0.52783,0.52745,0.26538,0.64968,1.62606,0.60874,0.00764875,0.00764875,0.00764875
21,1267.66,0.60422,1.78501,0.58754,0.53617,0.53215,0.53959,0.27734,0.60942,1.57002,0.57059,0.007525,0.007525,0.007525
22,1327.2,0.60795,1.74674,0.59115,0.54914,0.51737,0.51693,0.26376,0.6309,1.59607,0.58487,0.00740125,0.00740125,0.00740125
23,1387.48,0.61365,1.72935,0.59851,0.62253,0.52333,0.56912,0.29572,0.62504,1.60457,0.59082,0.0072775,0.0072775,0.0072775
24,1448.13,0.61647,1.68503,0.60424,0.59744,0.52561,0.55086,0.28175,0.65244,1.54161,0.60147,0.00715375,0.00715375,0.00715375
25,1508.18,0.61482,1.66098,0.60403,0.60789,0.53593,0.55908,0.29169,0.61749,1.53966,0.57894,0.00703,0.00703,0.00703
26,1568.23,0.62671,1.61669,0.61652,0.63692,0.52633,0.5735,0.30439,0.64204,1.50305,0.59811,0.00690625,0.00690625,0.00690625
27,1628.39,0.61781,1.59209,0.60999,0.63917,0.558,0.58655,0.30799,0.6564,1.45933,0.61192,0.0067825,0.0067825,0.0067825
28,1688.67,0.62393,1.5842,0.61846,0.633,0.57362,0.59829,0.31547,0.62852,1.45605,0.58437,0.00665875,0.00665875,0.00665875
29,1749.32,0.63612,1.54345,0.63191,0.6326,0.58514,0.60843,0.32104,0.62006,1.42908,0.57876,0.006535,0.006535,0.006535
30,1810.18,0.63214,1.52396,0.6292,0.63531,0.56836,0.59682,0.31915,0.59832,1.41097,0.55549,0.00641125,0.00641125,0.00641125
31,1870.23,0.62053,1.49595,0.61912,0.66436,0.588,0.61876,0.33042,0.61516,1.40051,0.57689,0.0062875,0.0062875,0.0062875
32,1930.56,0.62904,1.47839,0.63094,0.65649,0.59622,0.62417,0.34289,0.61645,1.3696,0.57083,0.00616375,0.00616375,0.00616375
33,1990.61,0.63131,1.45238,0.63318,0.66265,0.59775,0.62848,0.34225,0.61576,1.38505,0.57461,0.00604,0.00604,0.00604
34,2050.05,0.64406,1.43157,0.64651,0.65743,0.58042,0.62161,0.33973,0.61394,1.36761,0.57032,0.00591625,0.00591625,0.00591625
35,2109.47,0.63701,1.39892,0.64139,0.67289,0.59412,0.63385,0.3449,0.58676,1.35836,0.54972,0.0057925,0.0057925,0.0057925
36,2169.46,0.64505,1.38053,0.64975,0.68814,0.61481,0.63402,0.34519,0.58814,1.32122,0.55378,0.00566875,0.00566875,0.00566875
37,2229,0.63256,1.35364,0.64354,0.67008,0.60224,0.63414,0.35195,0.59867,1.3008,0.56477,0.005545,0.005545,0.005545
38,2288.46,0.64738,1.33588,0.65588,0.69287,0.62217,0.64871,0.35033,0.61498,1.29865,0.57751,0.00542125,0.00542125,0.00542125
39,2347.93,0.63674,1.32425,0.64891,0.67389,0.63444,0.65717,0.35892,0.59111,1.28488,0.56213,0.0052975,0.0052975,0.0052975
40,2407.83,0.6412,1.29525,0.65721,0.7254,0.62061,0.66824,0.36881,0.57562,1.25398,0.55006,0.00517375,0.00517375,0.00517375
41,2467.27,0.6541,1.26759,0.66987,0.67274,0.62805,0.66565,0.36515,0.59109,1.27991,0.55562,0.00505,0.00505,0.00505
42,2526.68,0.64734,1.26614,0.66646,0.69848,0.62869,0.66094,0.35971,0.55805,1.267,0.52944,0.00492625,0.00492625,0.00492625
43,2586.27,0.65376,1.25496,0.66987,0.69394,0.6229,0.66327,0.36426,0.62209,1.25487,0.58747,0.0048025,0.0048025,0.0048025
44,2645.92,0.65107,1.21791,0.66854,0.71607,0.61806,0.67693,0.37364,0.55858,1.2385,0.53178,0.00467875,0.00467875,0.00467875
45,2706.48,0.65852,1.2186,0.68267,0.7179,0.62877,0.66197,0.36495,0.60101,1.24131,0.56808,0.004555,0.004555,0.004555
46,2767.24,0.652,1.18827,0.67741,0.70851,0.63362,0.66299,0.37321,0.56789,1.23133,0.54174,0.00443125,0.00443125,0.00443125
