epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6589,1.78069,3.01681,1.9083,0.53107,0.37784,0.36708,0.17076,1.69734,2.23362,1.80094,0.00331019,0.00331019,0.00331019
2,136.962,1.72713,2.27413,1.84508,0.2802,0.26794,0.18208,0.06713,2.04797,4.536,2.18301,0.0065613,0.0065613,0.0065613
3,218.455,1.92381,2.77493,2.05777,0.03223,0.06707,0.00654,0.00209,2.7516,inf,4.16828,0.00972992,0.00972992,0.00972992
4,297.884,2.05711,3.19827,2.24193,0.03173,0.0932,0.0193,0.00738,2.4279,47.8141,2.76676,0.00962875,0.00962875,0.00962875
5,368.239,1.95672,3.00228,2.17003,0.12195,0.17138,0.07884,0.02988,2.26452,5.53788,2.56037,0.009505,0.009505,0.009505
6,437.283,1.88177,2.84707,2.10484,0.22163,0.24386,0.16619,0.06633,2.02116,3.04396,2.21318,0.00938125,0.00938125,0.00938125
7,505.189,1.83756,2.73717,2.0626,0.25457,0.19054,0.14915,0.05892,2.14518,3.20313,2.37426,0.0092575,0.0092575,0.0092575
8,574.238,1.8082,2.61568,2.01536,0.28347,0.29233,0.2102,0.08338,1.98182,2.77254,2.17205,0.00913375,0.00913375,0.00913375
9,642.404,1.77131,2.51321,1.97629,0.35699,0.27587,0.24858,0.10754,2.03823,2.52908,2.18479,0.00901,0.00901,0.00901
10,710.058,1.7379,2.44676,1.95697,0.38982,0.2883,0.28113,0.12757,1.87933,2.37269,2.05729,0.00888625,0.00888625,0.00888625
11,778.667,1.72716,2.37791,1.93517,0.39067,0.32794,0.29619,0.13248,1.82174,2.44149,2.00858,0.0087625,0.0087625,0.0087625
12,846.845,1.69158,2.30349,1.91322,0.44234,0.36309,0.36124,0.17045,1.78555,2.12353,1.99673,0.00863875,0.00863875,0.00863875
13,916.875,1.68103,2.2563,1.90594,0.45334,0.4232,0.40108,0.1909,1.76233,2.01741,1.97023,0.008515,0.008515,0.008515
