epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2243,1.78948,3.48429,1.93411,0.40653,0.35388,0.32776,0.15174,1.75396,2.40233,1.81821,0.00331019,0.00331019,0.00331019
2,122.752,1.7276,2.27193,1.85097,0.25006,0.25687,0.16061,0.06114,2.07366,3.96172,2.193,0.0065613,0.0065613,0.0065613
3,184.621,1.92658,2.78314,2.05732,0.00565,0.01947,0.00213,0.00069,2.97955,17.3621,3.75933,0.00972992,0.00972992,0.00972992
4,251.745,2.07896,3.22076,2.24732,0.30067,0.13745,0.03346,0.01251,2.3201,39.4755,2.72731,0.00962875,0.00962875,0.00962875
5,317.623,1.9635,3.01562,2.1744,0.11953,0.10973,0.06277,0.02172,2.28646,6.62725,2.57747,0.009505,0.009505,0.009505
6,379.713,1.8898,2.87113,2.10246,0.2335,0.16497,0.11993,0.04567,2.08354,3.26585,2.29022,0.00938125,0.00938125,0.00938125
7,440.446,1.85398,2.7277,2.06416,0.20102,0.23569,0.17974,0.06802,2.06252,3.53769,2.28535,0.0092575,0.0092575,0.0092575
8,501.77,1.81683,2.63293,2.03388,0.32847,0.28167,0.22302,0.08953,2.0286,2.7861,2.17311,0.00913375,0.00913375,0.00913375
9,563.464,1.77745,2.53313,1.97638,0.38457,0.29678,0.28166,0.12006,1.97437,2.50593,2.12481,0.00901,0.00901,0.00901
10,625.527,1.73961,2.46183,1.95823,0.39368,0.31445,0.30024,0.13925,1.85122,2.24218,2.02886,0.00888625,0.00888625,0.00888625
11,687.019,1.72762,2.37559,1.93135,0.39129,0.36791,0.3425,0.15487,1.83323,2.10927,2.01775,0.0087625,0.0087625,0.0087625
12,748.901,1.70308,2.32408,1.9054,0.4376,0.34691,0.34481,0.1607,1.79173,2.14485,1.9794,0.00863875,0.00863875,0.00863875
13,810.546,1.68381,2.26019,1.88925,0.4128,0.35809,0.3458,0.16771,1.79093,2.18207,1.95228,0.008515,0.008515,0.008515
14,872.039,1.6645,2.18665,1.87523,0.48773,0.381,0.38515,0.18765,1.72888,1.99206,1.9382,0.00839125,0.00839125,0.00839125
15,933.085,1.64197,2.15135,1.86301,0.44727,0.39376,0.38484,0.18122,1.75921,2.02272,1.95236,0.0082675,0.0082675,0.0082675
16,993.596,1.63194,2.10663,1.83803,0.49304,0.39721,0.40607,0.19961,1.69186,1.90259,1.88445,0.00814375,0.00814375,0.00814375
17,1054.74,1.61831,2.07032,1.81986,0.46418,0.45424,0.43362,0.20387,1.73404,1.85193,1.9016,0.00802,0.00802,0.00802
18,1116.46,1.59321,2.01966,1.80484,0.57946,0.42144,0.44508,0.20886,1.71884,1.86029,1.88298,0.00789625,0.00789625,0.00789625
19,1177.18,1.58588,1.98029,1.78312,0.51171,0.45592,0.44926,0.22965,1.68294,1.80523,1.84127,0.0077725,0.0077725,0.0077725
20,1238.81,1.58137,1.95881,1.78543,0.53983,0.45457,0.47238,0.2443,1.6666,1.72435,1.86012,0.00764875,0.00764875,0.00764875
21,1300.55,1.5512,1.92369,1.75749,0.49973,0.47102,0.47461,0.2486,1.63196,1.70976,1.83023,0.007525,0.007525,0.007525
22,1361.95,1.54787,1.88135,1.75408,0.55289,0.49439,0.4916,0.2571,1.65595,1.69813,1.82978,0.00740125,0.00740125,0.00740125
23,1423.71,1.54058,1.85955,1.75278,0.56856,0.49315,0.51105,0.25959,1.61099,1.69289,1.81836,0.0072775,0.0072775,0.0072775
24,1485.15,1.52747,1.81338,1.73702,0.59111,0.48991,0.52232,0.27482,1.61221,1.61986,1.80221,0.00715375,0.00715375,0.00715375
25,1546.45,1.52085,1.79207,1.7263,0.60351,0.51237,0.54039,0.28846,1.61475,1.5642,1.80517,0.00703,0.00703,0.00703
26,1606.92,1.50178,1.75565,1.71186,0.56385,0.51863,0.53462,0.28254,1.60389,1.57375,1.78034,0.00690625,0.00690625,0.00690625
27,1667.35,1.48269,1.72203,1.69757,0.58879,0.53391,0.55259,0.29628,1.57813,1.5194,1.77642,0.0067825,0.0067825,0.0067825
28,1727.81,1.47309,1.7006,1.68741,0.5809,0.54469,0.563,0.2988,1.56341,1.49996,1.75581,0.00665875,0.00665875,0.00665875
29,1788.31,1.46172,1.68278,1.67444,0.63158,0.51583,0.55489,0.298,1.55411,1.50998,1.72866,0.006535,0.006535,0.006535
30,1848.78,1.45437,1.64271,1.66847,0.61742,0.53786,0.56299,0.29777,1.54656,1.47816,1.74165,0.00641125,0.00641125,0.00641125
31,1909.3,1.45469,1.62662,1.65637,0.6383,0.53987,0.57557,0.30945,1.56304,1.47638,1.75048,0.0062875,0.0062875,0.0062875
32,1970.82,1.4316,1.60373,1.64755,0.59651,0.56237,0.57586,0.32073,1.53033,1.44098,1.72709,0.00616375,0.00616375,0.00616375
33,2031.34,1.42909,1.57003,1.63761,0.59668,0.56235,0.5712,0.30887,1.56081,1.46656,1.75351,0.00604,0.00604,0.00604
34,2092.9,1.42145,1.553,1.63789,0.60416,0.56167,0.56747,0.31228,1.51013,1.44391,1.70966,0.00591625,0.00591625,0.00591625
35,2154.42,1.41333,1.52844,1.62865,0.60368,0.56963,0.59041,0.324,1.51867,1.39374,1.71771,0.0057925,0.0057925,0.0057925
36,2215.84,1.40989,1.51044,1.62551,0.65063,0.56048,0.59451,0.32894,1.5054,1.38901,1.70007,0.00566875,0.00566875,0.00566875
37,2276.96,1.39616,1.49503,1.61507,0.63935,0.58847,0.60281,0.33752,1.50814,1.37824,1.71735,0.005545,0.005545,0.005545
38,2338.51,1.37754,1.46301,1.59853,0.63806,0.59213,0.60339,0.33854,1.50937,1.33394,1.69361,0.00542125,0.00542125,0.00542125
39,2400.16,1.3724,1.43943,1.59068,0.63698,0.59141,0.6096,0.33922,1.50091,1.35417,1.70154,0.0052975,0.0052975,0.0052975
