epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.699,0.60966,2.72722,0.54543,0.3952,0.42748,0.38528,0.16484,0.63032,2.09597,0.54586,0.00331019,0.00331019,0.00331019
2,122.34,0.58745,2.02507,0.50565,0.28607,0.25736,0.17726,0.07319,0.85385,3.98127,0.72618,0.0065613,0.0065613,0.0065613
3,184.219,0.7211,2.46622,0.59881,0.27996,0.09673,0.01323,0.00448,1.50811,35.817,1.40867,0.00972992,0.00972992,0.00972992
4,245.39,0.81831,2.78879,0.66209,0.06065,0.13601,0.02308,0.00807,1.3195,8.93991,1.10845,0.00962875,0.00962875,0.00962875
5,305.905,0.75761,2.57044,0.62105,0.17975,0.16581,0.09812,0.03414,1.26142,3.6843,1.06004,0.009505,0.009505,0.009505
6,366.121,0.72885,2.42915,0.60314,0.27723,0.26164,0.19628,0.07515,1.05472,2.71442,0.87991,0.00938125,0.00938125,0.00938125
7,426.186,0.73258,2.29367,0.606,0.3554,0.28395,0.24572,0.09687,0.97678,2.96913,0.80902,0.0092575,0.0092575,0.0092575
8,485.983,0.72784,2.19218,0.59896,0.37316,0.29694,0.25952,0.10663,0.98555,2.29712,0.78883,0.00913375,0.00913375,0.00913375
9,545.886,0.73371,2.10086,0.60241,0.38992,0.38317,0.34558,0.14981,0.90524,1.93411,0.74763,0.00901,0.00901,0.00901
10,605.725,0.71648,2.03966,0.59667,0.43968,0.37227,0.36738,0.15303,1.00808,1.89691,0.81325,0.00888625,0.00888625,0.00888625
11,666.26,0.71217,1.98107,0.59157,0.47445,0.40567,0.41268,0.17777,0.8806,1.7376,0.71652,0.0087625,0.0087625,0.0087625
12,726.283,0.72348,1.91474,0.60163,0.49699,0.41863,0.41566,0.17442,0.97054,1.77187,0.78324,0.00863875,0.00863875,0.00863875
13,786.559,0.71614,1.86981,0.59681,0.49996,0.46327,0.43385,0.18991,0.83735,1.70415,0.67681,0.008515,0.008515,0.008515
14,846.944,0.70651,1.7985,0.58656,0.50778,0.44386,0.43548,0.1862,0.93937,1.71918,0.76151,0.00839125,0.00839125,0.00839125
15,907.268,0.71469,1.74745,0.60238,0.54197,0.47493,0.47671,0.21152,0.78208,1.60967,0.65049,0.0082675,0.0082675,0.0082675
16,968.115,0.69856,1.71799,0.5908,0.57096,0.46678,0.50213,0.23546,0.80738,1.51788,0.66752,0.00814375,0.00814375,0.00814375
17,1028.76,0.70809,1.68349,0.5983,0.57428,0.50504,0.52193,0.23496,0.81886,1.50099,0.66632,0.00802,0.00802,0.00802
18,1089.55,0.72248,1.64512,0.60995,0.54951,0.50991,0.5138,0.24284,0.84783,1.48942,0.70152,0.00789625,0.00789625,0.00789625
19,1150.36,0.7187,1.61142,0.60886,0.62991,0.53212,0.54767,0.25414,0.81112,1.4341,0.67129,0.0077725,0.0077725,0.0077725
20,1210.96,0.71358,1.59663,0.60785,0.57315,0.52741,0.54156,0.26122,0.79572,1.43012,0.6668,0.00764875,0.00764875,0.00764875
21,1272.12,0.71383,1.55246,0.61028,0.58748,0.51884,0.53905,0.26486,0.75755,1.39783,0.64478,0.007525,0.007525,0.007525
22,1332.67,0.71207,1.53109,0.61095,0.61215,0.53457,0.5565,0.26639,0.80879,1.37317,0.68582,0.00740125,0.00740125,0.00740125
23,1393.22,0.70866,1.5164,0.61045,0.65386,0.53844,0.57609,0.28787,0.77185,1.33634,0.64199,0.0072775,0.0072775,0.0072775
24,1453.76,0.71391,1.45802,0.6153,0.64398,0.52605,0.57231,0.28424,0.76704,1.35425,0.64158,0.00715375,0.00715375,0.00715375
25,1514.82,0.70059,1.4428,0.60794,0.67938,0.55669,0.59734,0.29807,0.79747,1.32176,0.66304,0.00703,0.00703,0.00703
26,1574.87,0.69626,1.4129,0.61103,0.62276,0.53787,0.56531,0.27968,0.76381,1.32892,0.64762,0.00690625,0.00690625,0.00690625
27,1635.05,0.69191,1.39317,0.60729,0.61148,0.58653,0.59381,0.30539,0.76201,1.2691,0.63919,0.0067825,0.0067825,0.0067825
28,1694.93,0.70139,1.37023,0.6169,0.6374,0.5822,0.60221,0.30945,0.74093,1.24681,0.62044,0.00665875,0.00665875,0.00665875
29,1755.08,0.70095,1.34292,0.61911,0.69626,0.58776,0.63192,0.32307,0.69399,1.19991,0.58977,0.006535,0.006535,0.006535
30,1815.7,0.70368,1.32796,0.62066,0.6643,0.60456,0.62256,0.32347,0.72722,1.18734,0.61134,0.00641125,0.00641125,0.00641125
31,1875.95,0.68783,1.30398,0.60819,0.67175,0.58272,0.61255,0.318,0.69952,1.25257,0.5926,0.0062875,0.0062875,0.0062875
32,1936.6,0.70362,1.28552,0.62303,0.66102,0.62489,0.64655,0.34131,0.71967,1.18062,0.6009,0.00616375,0.00616375,0.00616375
33,1997.27,0.70413,1.26562,0.62664,0.70197,0.58011,0.62762,0.33134,0.65268,1.14906,0.55868,0.00604,0.00604,0.00604
34,2057.59,0.71504,1.23467,0.6365,0.72693,0.58165,0.63614,0.33562,0.7415,1.15364,0.62548,0.00591625,0.00591625,0.00591625
