epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5067,0.40855,2.80825,0.35093,0.5289,0.45541,0.45014,0.20063,0.45135,1.89303,0.36632,0.00331019,0.00331019,0.00331019
2,121.349,0.3752,2.18201,0.31577,0.30623,0.2959,0.20876,0.07673,0.73089,3.11717,0.63781,0.0065613,0.0065613,0.0065613
3,183.373,0.49523,2.61542,0.40515,0.26044,0.02294,0.0039,0.00116,1.29443,28.4893,1.22583,0.00972992,0.00972992,0.00972992
4,244.243,0.55508,2.91385,0.44722,0.08583,0.15044,0.04805,0.01715,1.10021,10.3307,1.00314,0.00962875,0.00962875,0.00962875
5,304.891,0.49058,2.74794,0.40942,0.2637,0.21946,0.15145,0.05793,0.8598,3.47638,0.72724,0.009505,0.009505,0.009505
6,364.498,0.50861,2.58618,0.4286,0.44104,0.24591,0.1792,0.05709,0.8695,2.81115,0.74625,0.00938125,0.00938125,0.00938125
7,424.921,0.48961,2.49568,0.41791,0.33722,0.30762,0.25815,0.10125,0.68427,2.54314,0.58228,0.0092575,0.0092575,0.0092575
8,485.161,0.50549,2.38924,0.43184,0.38751,0.3341,0.29082,0.11718,0.70518,2.36781,0.59455,0.00913375,0.00913375,0.00913375
9,545.388,0.4865,2.30068,0.42198,0.45932,0.37845,0.36678,0.16122,0.54816,2.08045,0.47009,0.00901,0.00901,0.00901
10,605.078,0.48851,2.24665,0.42811,0.4219,0.36636,0.34176,0.14372,0.64215,2.13832,0.5387,0.00888625,0.00888625,0.00888625
11,665.356,0.48299,2.19503,0.42801,0.4769,0.4127,0.40137,0.16255,0.59322,2.02885,0.50746,0.0087625,0.0087625,0.0087625
12,725.682,0.48844,2.13335,0.43931,0.53064,0.3968,0.39895,0.17449,0.64428,2.0627,0.55069,0.00863875,0.00863875,0.00863875
13,786.238,0.49895,2.06253,0.44903,0.47474,0.42975,0.40084,0.17773,0.59815,1.9502,0.51306,0.008515,0.008515,0.008515
14,846.478,0.49593,2.05209,0.44908,0.48033,0.43694,0.44296,0.19506,0.55034,1.8481,0.47599,0.00839125,0.00839125,0.00839125
15,906.119,0.51518,1.99612,0.4657,0.53142,0.43284,0.442,0.19885,0.54107,1.8624,0.45654,0.0082675,0.0082675,0.0082675
16,965.683,0.51694,1.94659,0.47272,0.54951,0.48517,0.49008,0.22667,0.53544,1.74935,0.46273,0.00814375,0.00814375,0.00814375
17,1026.14,0.52873,1.92073,0.485,0.57164,0.47343,0.4903,0.23042,0.55108,1.73495,0.46413,0.00802,0.00802,0.00802
18,1085.89,0.5366,1.87527,0.49084,0.51824,0.46473,0.46896,0.21741,0.53758,1.75245,0.45675,0.00789625,0.00789625,0.00789625
19,1146.2,0.52541,1.84786,0.49007,0.58633,0.48351,0.50791,0.23692,0.45384,1.67451,0.40032,0.0077725,0.0077725,0.0077725
20,1207.28,0.55053,1.81854,0.51265,0.59819,0.51282,0.53194,0.2643,0.55588,1.62197,0.47957,0.00764875,0.00764875,0.00764875
21,1267.54,0.54022,1.78243,0.50864,0.60518,0.51834,0.5467,0.2717,0.49821,1.56112,0.43196,0.007525,0.007525,0.007525
22,1327.9,0.55375,1.74121,0.52388,0.64116,0.54919,0.5713,0.28142,0.61522,1.53512,0.52229,0.00740125,0.00740125,0.00740125
23,1388.25,0.56424,1.7206,0.53299,0.63666,0.55678,0.57629,0.28163,0.44809,1.52859,0.388,0.0072775,0.0072775,0.0072775
24,1448.85,0.57453,1.69167,0.54337,0.62212,0.56186,0.58736,0.29299,0.50312,1.51079,0.43821,0.00715375,0.00715375,0.00715375
25,1509.22,0.57236,1.66059,0.54293,0.67023,0.55717,0.60834,0.31028,0.54246,1.48364,0.46776,0.00703,0.00703,0.00703
26,1569.61,0.5653,1.61079,0.54515,0.64914,0.56896,0.6026,0.30759,0.48751,1.4559,0.42858,0.00690625,0.00690625,0.00690625
27,1629.17,0.57753,1.59312,0.55869,0.64023,0.56856,0.5961,0.30546,0.50816,1.43497,0.44247,0.0067825,0.0067825,0.0067825
28,1688.66,0.58986,1.56942,0.5685,0.66045,0.56568,0.59737,0.30345,0.53517,1.42973,0.46283,0.00665875,0.00665875,0.00665875
29,1748.71,0.5935,1.56102,0.57593,0.68088,0.58949,0.62639,0.32536,0.49361,1.40394,0.43351,0.006535,0.006535,0.006535
30,1808.87,0.60004,1.52268,0.58036,0.69613,0.58906,0.64175,0.34019,0.47842,1.37732,0.41754,0.00641125,0.00641125,0.00641125
31,1869.13,0.61593,1.48667,0.59987,0.72147,0.57753,0.62644,0.33547,0.50627,1.35712,0.44504,0.0062875,0.0062875,0.0062875
32,1929.42,0.61116,1.45576,0.60076,0.68757,0.59098,0.62141,0.32578,0.53178,1.37553,0.47318,0.00616375,0.00616375,0.00616375
33,1989.58,0.6134,1.43649,0.60726,0.71081,0.61278,0.64741,0.342,0.48674,1.3513,0.43216,0.00604,0.00604,0.00604
34,2049.98,0.61995,1.43226,0.61271,0.71211,0.62421,0.6573,0.34172,0.45208,1.32291,0.39739,0.00591625,0.00591625,0.00591625
35,2110.17,0.6096,1.3968,0.613,0.69287,0.61833,0.65489,0.34821,0.42234,1.3043,0.38004,0.0057925,0.0057925,0.0057925
