epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8467,0.41181,2.85471,0.35536,0.3247,0.42102,0.33597,0.14766,0.54757,2.48719,0.45571,0.00331019,0.00331019,0.00331019
2,121.225,0.40011,2.18204,0.33131,0.33502,0.24476,0.20003,0.08628,0.6143,5.01359,0.51091,0.0065613,0.0065613,0.0065613
3,191.798,0.49068,2.64614,0.39798,0.01131,0.02269,0.0041,0.00127,1.79053,inf,1.75036,0.00972992,0.00972992,0.00972992
4,251.599,0.61387,3.00652,0.47835,0.01345,0.04173,0.00446,0.00139,0.94783,9.1463,0.90329,0.00962875,0.00962875,0.00962875
5,312.398,0.53174,2.77796,0.4282,0.15914,0.15388,0.09067,0.03204,0.8712,4.30153,0.77416,0.009505,0.009505,0.009505
6,372.669,0.48129,2.647,0.4029,0.38027,0.22085,0.17484,0.06507,0.74146,2.9939,0.61283,0.00938125,0.00938125,0.00938125
7,433.158,0.51316,2.52161,0.42324,0.52147,0.28062,0.23032,0.09247,0.78316,3.09265,0.64633,0.0092575,0.0092575,0.0092575
8,493.382,0.50188,2.43353,0.4198,0.41301,0.33801,0.28463,0.11241,0.70581,2.42361,0.5892,0.00913375,0.00913375,0.00913375
9,553.598,0.50676,2.34917,0.42726,0.43866,0.33066,0.33735,0.1443,0.70145,2.32177,0.59081,0.00901,0.00901,0.00901
10,614.028,0.48656,2.28174,0.41964,0.44384,0.38276,0.36485,0.15092,0.73858,2.17584,0.61981,0.00888625,0.00888625,0.00888625
11,674.298,0.49982,2.21513,0.4294,0.42123,0.35449,0.34187,0.15072,0.69354,2.14065,0.57753,0.0087625,0.0087625,0.0087625
12,734.614,0.53062,2.16394,0.45295,0.43645,0.40772,0.37962,0.16549,0.66954,2.02922,0.56227,0.00863875,0.00863875,0.00863875
13,795.848,0.49545,2.11759,0.43167,0.54253,0.41945,0.43286,0.19464,0.59208,1.91526,0.50495,0.008515,0.008515,0.008515
14,856.527,0.49307,2.04782,0.43359,0.58199,0.41828,0.44376,0.19484,0.59463,1.89715,0.51051,0.00839125,0.00839125,0.00839125
15,916.786,0.51331,2.02192,0.45239,0.51014,0.46949,0.46955,0.2094,0.5746,1.886,0.49111,0.0082675,0.0082675,0.0082675
16,977.252,0.49749,1.97744,0.44576,0.51551,0.46362,0.46595,0.2241,0.57856,1.76367,0.49246,0.00814375,0.00814375,0.00814375
17,1037.7,0.50788,1.96015,0.45625,0.56479,0.45983,0.4789,0.21509,0.60102,1.76271,0.50395,0.00802,0.00802,0.00802
18,1097.72,0.52183,1.89925,0.46772,0.49572,0.47386,0.46236,0.20725,0.67368,1.87086,0.55971,0.00789625,0.00789625,0.00789625
19,1157.6,0.52264,1.87687,0.47059,0.56406,0.47249,0.4994,0.24876,0.52845,1.65888,0.45427,0.0077725,0.0077725,0.0077725
20,1217.9,0.54019,1.84885,0.48933,0.57651,0.47575,0.50694,0.24727,0.60211,1.69356,0.50875,0.00764875,0.00764875,0.00764875
21,1277.78,0.53246,1.80618,0.48698,0.55491,0.5126,0.51921,0.26029,0.49511,1.639,0.44035,0.007525,0.007525,0.007525
22,1337.87,0.5358,1.78648,0.49137,0.57248,0.52248,0.54129,0.27646,0.55551,1.57787,0.48277,0.00740125,0.00740125,0.00740125
23,1397.06,0.54075,1.75907,0.49486,0.59347,0.51925,0.55612,0.29015,0.5646,1.5495,0.47743,0.0072775,0.0072775,0.0072775
24,1457.26,0.5589,1.71231,0.51367,0.60539,0.53005,0.55862,0.28648,0.51803,1.54234,0.44767,0.00715375,0.00715375,0.00715375
25,1517.03,0.56285,1.69516,0.51688,0.62168,0.52741,0.56236,0.30125,0.52997,1.53708,0.4526,0.00703,0.00703,0.00703
26,1577.05,0.55973,1.66246,0.52206,0.62686,0.53738,0.57159,0.30077,0.54249,1.4924,0.47144,0.00690625,0.00690625,0.00690625
27,1637.48,0.55686,1.63415,0.52133,0.61974,0.54997,0.56944,0.30585,0.51754,1.49313,0.45324,0.0067825,0.0067825,0.0067825
28,1696.78,0.56113,1.60523,0.52971,0.66115,0.55954,0.60354,0.31723,0.50164,1.43213,0.44106,0.00665875,0.00665875,0.00665875
29,1756.25,0.58316,1.58513,0.54987,0.6169,0.57313,0.60285,0.32045,0.54388,1.43143,0.46456,0.006535,0.006535,0.006535
30,1815.62,0.58553,1.54901,0.55034,0.62998,0.59558,0.60509,0.33082,0.50663,1.39596,0.4353,0.00641125,0.00641125,0.00641125
31,1874.74,0.57032,1.53007,0.53805,0.64691,0.58669,0.6221,0.33254,0.53596,1.38802,0.46243,0.0062875,0.0062875,0.0062875
32,1933.88,0.58417,1.50293,0.55344,0.66087,0.5919,0.6295,0.33713,0.49774,1.37969,0.43294,0.00616375,0.00616375,0.00616375
33,1993.12,0.58935,1.4808,0.56242,0.68589,0.57106,0.61364,0.32918,0.46854,1.40333,0.41121,0.00604,0.00604,0.00604
34,2053.37,0.6097,1.45169,0.57725,0.6756,0.60316,0.61443,0.33428,0.51462,1.38497,0.4423,0.00591625,0.00591625,0.00591625
35,2113.51,0.59291,1.42209,0.56914,0.66694,0.57161,0.61088,0.32946,0.54354,1.34246,0.47396,0.0057925,0.0057925,0.0057925
36,2173.44,0.60506,1.41746,0.58407,0.66627,0.62369,0.64683,0.34322,0.49514,1.32828,0.43102,0.00566875,0.00566875,0.00566875
37,2233.32,0.5977,1.38067,0.57766,0.71263,0.60886,0.64408,0.35459,0.52029,1.3437,0.45052,0.005545,0.005545,0.005545
38,2293.26,0.61283,1.37059,0.59303,0.66404,0.61279,0.62865,0.3518,0.50812,1.33872,0.44186,0.00542125,0.00542125,0.00542125
39,2353.32,0.60513,1.34541,0.58773,0.69566,0.62512,0.6482,0.35334,0.46392,1.28714,0.40892,0.0052975,0.0052975,0.0052975
40,2412.61,0.60812,1.32052,0.59557,0.7068,0.61443,0.65155,0.36525,0.45747,1.30516,0.40287,0.00517375,0.00517375,0.00517375
41,2472.6,0.61153,1.29972,0.60167,0.69312,0.61965,0.64803,0.3601,0.5126,1.2817,0.44699,0.00505,0.00505,0.00505
42,2532.98,0.61928,1.29272,0.61111,0.71643,0.61934,0.66013,0.36756,0.48218,1.28487,0.42284,0.00492625,0.00492625,0.00492625
