epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1773,1.78608,2.97483,1.90553,0.36517,0.33303,0.3027,0.13206,1.7811,2.48165,1.8654,0.00331019,0.00331019,0.00331019
2,137.389,1.69901,2.26846,1.82086,0.26511,0.25048,0.17742,0.06625,2.1366,3.06582,2.3132,0.0065613,0.0065613,0.0065613
3,231.307,1.91586,2.76499,2.06191,0.00625,0.10015,0.00354,0.0011,3.16165,inf,4.9181,0.00972992,0.00972992,0.00972992
4,309.27,2.03341,3.14002,2.20917,0.06091,0.16487,0.03199,0.01142,2.5094,27.827,2.93001,0.00962875,0.00962875,0.00962875
5,378.325,1.97284,2.99091,2.16648,0.12456,0.16805,0.07127,0.02552,2.32146,5.57983,2.61431,0.009505,0.009505,0.009505
6,447.551,1.87769,2.80159,2.08425,0.22431,0.24616,0.14918,0.05309,2.19337,3.37923,2.41222,0.00938125,0.00938125,0.00938125
7,515.643,1.8279,2.69327,2.03318,0.31072,0.25675,0.20926,0.08648,2.02446,3.05848,2.21002,0.0092575,0.0092575,0.0092575
8,582.804,1.78016,2.57741,1.99301,0.31771,0.3035,0.24735,0.10873,1.94318,2.47299,2.13823,0.00913375,0.00913375,0.00913375
9,650.94,1.74674,2.48378,1.96435,0.38729,0.2904,0.25817,0.11241,1.87995,2.45198,2.06724,0.00901,0.00901,0.00901
10,719.728,1.71247,2.41318,1.92861,0.39856,0.35597,0.34707,0.15928,1.89444,2.19121,2.05307,0.00888625,0.00888625,0.00888625
11,788.45,1.69411,2.348,1.91221,0.45761,0.39135,0.35782,0.15969,1.83024,2.11163,2.01925,0.0087625,0.0087625,0.0087625
12,856.159,1.67523,2.27192,1.88829,0.51333,0.38262,0.39243,0.17747,1.8481,2.04017,2.00597,0.00863875,0.00863875,0.00863875
13,924.142,1.6443,2.2058,1.86203,0.45339,0.35429,0.35168,0.16124,1.81906,2.09944,1.97713,0.008515,0.008515,0.008515
14,992.726,1.64491,2.17862,1.85113,0.47274,0.37845,0.39432,0.18622,1.75844,2.05499,1.93705,0.00839125,0.00839125,0.00839125
15,1061.84,1.61763,2.10244,1.83229,0.50734,0.40388,0.3903,0.1862,1.76679,1.99607,1.9511,0.0082675,0.0082675,0.0082675
16,1130.92,1.59316,2.05426,1.80981,0.51242,0.46942,0.46348,0.21971,1.70911,1.82674,1.89654,0.00814375,0.00814375,0.00814375
17,1199.46,1.58298,2.04025,1.80078,0.49014,0.48843,0.45847,0.22749,1.69205,1.81123,1.89977,0.00802,0.00802,0.00802
18,1268.03,1.57439,1.98304,1.7949,0.51988,0.47042,0.4662,0.23043,1.7203,1.8091,1.88683,0.00789625,0.00789625,0.00789625
19,1336.28,1.55582,1.95133,1.77615,0.55592,0.45334,0.48308,0.23872,1.71114,1.78307,1.87035,0.0077725,0.0077725,0.0077725
20,1405.13,1.55059,1.90782,1.75489,0.55549,0.49891,0.5061,0.25707,1.69555,1.71853,1.84723,0.00764875,0.00764875,0.00764875
21,1473.12,1.52642,1.87417,1.74322,0.5286,0.48289,0.48916,0.24278,1.66426,1.71005,1.83323,0.007525,0.007525,0.007525
22,1541.43,1.51164,1.82768,1.73715,0.58834,0.48698,0.51197,0.25866,1.68772,1.69267,1.84792,0.00740125,0.00740125,0.00740125
23,1610.29,1.50441,1.81326,1.72687,0.59129,0.5155,0.53762,0.27501,1.63896,1.601,1.82138,0.0072775,0.0072775,0.0072775
24,1678.75,1.50601,1.78664,1.72641,0.56482,0.53285,0.54691,0.2821,1.62354,1.58586,1.80141,0.00715375,0.00715375,0.00715375
25,1746.77,1.49347,1.76063,1.71192,0.65795,0.51296,0.56276,0.29514,1.63916,1.56826,1.80996,0.00703,0.00703,0.00703
26,1815.47,1.46753,1.70548,1.69612,0.64469,0.52844,0.57542,0.30811,1.5871,1.53064,1.77338,0.00690625,0.00690625,0.00690625
27,1882.75,1.45597,1.69481,1.68463,0.65153,0.5258,0.57235,0.29811,1.59458,1.51587,1.76575,0.0067825,0.0067825,0.0067825
28,1949.86,1.45523,1.67382,1.68032,0.59718,0.53524,0.55851,0.29513,1.57844,1.52271,1.76137,0.00665875,0.00665875,0.00665875
29,2016.86,1.44151,1.65263,1.66881,0.62623,0.53884,0.57162,0.30186,1.60972,1.52946,1.80118,0.006535,0.006535,0.006535
30,2084.27,1.43015,1.61209,1.65892,0.61507,0.56572,0.59513,0.32227,1.55609,1.44284,1.75063,0.00641125,0.00641125,0.00641125
31,2151.75,1.41581,1.57508,1.64273,0.64082,0.5644,0.60033,0.31836,1.56937,1.45934,1.75368,0.0062875,0.0062875,0.0062875
32,2218.83,1.4169,1.55234,1.63591,0.64252,0.57125,0.6057,0.33535,1.5546,1.38985,1.72608,0.00616375,0.00616375,0.00616375
33,2286.29,1.40302,1.53366,1.62944,0.6457,0.58858,0.62014,0.33374,1.56468,1.36615,1.7363,0.00604,0.00604,0.00604
34,2354.28,1.39883,1.5166,1.6259,0.63563,0.59761,0.61005,0.32536,1.56324,1.40603,1.74262,0.00591625,0.00591625,0.00591625
35,2421.38,1.38121,1.48128,1.60817,0.65761,0.59386,0.62494,0.33871,1.57682,1.3698,1.75374,0.0057925,0.0057925,0.0057925
36,2488.9,1.37719,1.47343,1.6008,0.68104,0.57242,0.62469,0.34011,1.5616,1.35187,1.73201,0.00566875,0.00566875,0.00566875
37,2556.8,1.36554,1.46218,1.59684,0.68299,0.6054,0.63766,0.35555,1.54011,1.33571,1.7182,0.005545,0.005545,0.005545
38,2624.51,1.36079,1.43468,1.59537,0.68841,0.58888,0.62936,0.34792,1.55909,1.36822,1.73539,0.00542125,0.00542125,0.00542125
39,2692.17,1.34762,1.40434,1.57436,0.68743,0.61671,0.65154,0.35778,1.52326,1.299,1.7164,0.0052975,0.0052975,0.0052975
40,2760.03,1.34186,1.3829,1.5715,0.70313,0.60323,0.65258,0.35806,1.53217,1.30317,1.7052,0.00517375,0.00517375,0.00517375
41,2828.75,1.32717,1.3574,1.55702,0.68764,0.62391,0.6526,0.36842,1.49429,1.28393,1.67504,0.00505,0.00505,0.00505
42,2897.89,1.32286,1.3509,1.55783,0.70955,0.63135,0.66702,0.36995,1.51893,1.26569,1.70957,0.00492625,0.00492625,0.00492625
43,2966.53,1.30734,1.31103,1.53836,0.72825,0.62333,0.67412,0.36925,1.51339,1.2649,1.70122,0.0048025,0.0048025,0.0048025
44,3033.91,1.30214,1.29619,1.5368,0.69604,0.62575,0.65291,0.3578,1.54112,1.28225,1.71875,0.00467875,0.00467875,0.00467875
45,3101.33,1.2988,1.29968,1.5352,0.71711,0.60883,0.65329,0.36306,1.51505,1.26444,1.71074,0.004555,0.004555,0.004555
46,3169.19,1.27071,1.26278,1.51846,0.69869,0.64758,0.66842,0.37198,1.5179,1.26004,1.71555,0.00443125,0.00443125,0.00443125
47,3237.07,1.27883,1.25606,1.51172,0.72033,0.62823,0.68511,0.37979,1.50734,1.20582,1.68647,0.0043075,0.0043075,0.0043075
48,3304.8,1.25777,1.22391,1.49876,0.74245,0.64814,0.68881,0.37713,1.52316,1.19907,1.71829,0.00418375,0.00418375,0.00418375
49,3372.13,1.25922,1.21529,1.49629,0.75535,0.62549,0.68025,0.38076,1.49803,1.21303,1.6857,0.00406,0.00406,0.00406
50,3439.62,1.24961,1.21174,1.48766,0.73719,0.63651,0.6837,0.38005,1.51517,1.21534,1.70041,0.00393625,0.00393625,0.00393625
51,3508.3,1.23974,1.1873,1.47772,0.73085,0.65354,0.69214,0.3858,1.53041,1.19624,1.70898,0.0038125,0.0038125,0.0038125
52,3577.17,1.22338,1.15561,1.46664,0.71907,0.64206,0.68824,0.386,1.50598,1.20125,1.69753,0.00368875,0.00368875,0.00368875
53,3645.26,1.22066,1.15584,1.4696,0.75535,0.64585,0.6961,0.39297,1.51521,1.20021,1.70251,0.003565,0.003565,0.003565
54,3713.12,1.20702,1.13877,1.45367,0.77467,0.64182,0.70488,0.39527,1.49586,1.19468,1.66464,0.00344125,0.00344125,0.00344125
