epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5377,0.98319,4.89595,0.82813,0.48029,0.42916,0.40485,0.16249,1.09877,3.57364,0.81957,0.00331019,0.00331019,0.00331019
2,119.677,0.91464,3.63869,0.73753,0.35942,0.29656,0.24981,0.09154,1.22151,4.70394,0.98313,0.0065613,0.0065613,0.0065613
3,181.136,1.09672,4.42547,0.85053,0.05526,0.06227,0.01595,0.00541,2.01848,39.9414,1.7015,0.00972992,0.00972992,0.00972992
4,241.375,1.21596,4.97851,0.92061,0.15426,0.15081,0.06782,0.02509,1.8992,14.4989,1.50326,0.00962875,0.00962875,0.00962875
5,301.543,1.21643,4.57937,0.91028,0.22905,0.20451,0.14628,0.04824,1.59103,8.04766,1.22199,0.009505,0.009505,0.009505
6,361.914,1.1742,4.29953,0.88283,0.4115,0.2431,0.21029,0.0676,1.48174,5.05505,1.10538,0.00938125,0.00938125,0.00938125
7,421.998,1.15015,4.04052,0.86698,0.29795,0.28305,0.22537,0.08348,1.43884,4.95085,1.07556,0.0092575,0.0092575,0.0092575
8,482.429,1.14341,3.87186,0.86948,0.41452,0.38215,0.34401,0.13478,1.26394,3.63166,0.94345,0.00913375,0.00913375,0.00913375
9,543.136,1.08177,3.69639,0.839,0.48412,0.37859,0.34799,0.14109,1.21254,3.60122,0.92609,0.00901,0.00901,0.00901
10,603.669,1.07259,3.56028,0.832,0.49962,0.39961,0.38771,0.15179,1.2281,3.58796,0.91994,0.00888625,0.00888625,0.00888625
11,664.083,1.07647,3.46052,0.83675,0.52502,0.42646,0.43159,0.16951,1.30007,3.10713,0.98302,0.0087625,0.0087625,0.0087625
12,724.064,1.08317,3.34727,0.84306,0.41134,0.34599,0.32602,0.12991,1.41537,3.82308,1.07805,0.00863875,0.00863875,0.00863875
13,783.593,1.09474,3.23809,0.85477,0.47975,0.4793,0.44867,0.18129,1.24349,2.99063,0.94491,0.008515,0.008515,0.008515
14,843.222,1.08627,3.18663,0.84854,0.54399,0.47698,0.4838,0.21051,1.25071,2.79228,0.94909,0.00839125,0.00839125,0.00839125
15,902.812,1.10056,3.06782,0.8601,0.60083,0.42843,0.47259,0.20646,1.11425,2.92186,0.84808,0.0082675,0.0082675,0.0082675
16,963.269,1.08397,2.99934,0.85189,0.65027,0.47761,0.51873,0.23002,1.18283,2.64927,0.91361,0.00814375,0.00814375,0.00814375
