epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0123,0.77783,5.12426,0.63318,0.49336,0.43702,0.43406,0.18527,0.81985,3.59625,0.60053,0.00331019,0.00331019,0.00331019
2,121.341,0.74588,3.88126,0.5778,0.36412,0.32455,0.26657,0.10441,1.07854,5.55351,0.82344,0.0065613,0.0065613,0.0065613
3,183.227,0.90925,4.71909,0.68225,0.29651,0.0651,0.01633,0.00516,1.79663,32.2724,1.58653,0.00972992,0.00972992,0.00972992
4,244.691,0.95793,5.32307,0.71271,0.10872,0.18938,0.06473,0.0231,1.65129,22.9674,1.32057,0.00962875,0.00962875,0.00962875
5,305.745,0.96373,4.93558,0.71766,0.21641,0.26443,0.17746,0.06117,1.32171,5.91829,0.98987,0.009505,0.009505,0.009505
6,366.644,0.99385,4.65089,0.73027,0.34359,0.26312,0.23023,0.07953,1.19985,4.97623,0.89157,0.00938125,0.00938125,0.00938125
7,427.526,0.89907,4.42489,0.6809,0.36863,0.23455,0.18183,0.06565,1.2073,5.79633,0.91838,0.0092575,0.0092575,0.0092575
8,488.035,0.95199,4.21672,0.71168,0.41022,0.34139,0.32568,0.14062,1.11805,4.15774,0.81545,0.00913375,0.00913375,0.00913375
9,548.64,0.87438,4.03517,0.66885,0.40503,0.33829,0.31103,0.12268,1.1086,4.03791,0.82044,0.00901,0.00901,0.00901
10,609.375,0.88844,3.91696,0.68025,0.40279,0.36879,0.3431,0.13977,1.08159,3.98698,0.81006,0.00888625,0.00888625,0.00888625
11,669.973,0.8752,3.79481,0.67268,0.51374,0.41618,0.41355,0.16316,1.07448,3.51019,0.79512,0.0087625,0.0087625,0.0087625
12,730.501,0.86333,3.69963,0.67348,0.47822,0.41276,0.41131,0.17266,1.05819,3.49416,0.79268,0.00863875,0.00863875,0.00863875
13,790.875,0.90902,3.55861,0.70596,0.53855,0.44793,0.45846,0.19189,0.92365,3.20644,0.70233,0.008515,0.008515,0.008515
14,851.646,0.86713,3.51567,0.67817,0.55655,0.44384,0.46053,0.19985,1.00769,3.27616,0.7506,0.00839125,0.00839125,0.00839125
15,912.163,0.87747,3.40268,0.69207,0.58411,0.44467,0.47563,0.20852,1.09422,3.21063,0.81052,0.0082675,0.0082675,0.0082675
16,972.671,0.88038,3.31719,0.69885,0.60704,0.50817,0.52198,0.22381,1.0384,2.94718,0.7646,0.00814375,0.00814375,0.00814375
17,1032.88,0.91861,3.27079,0.72252,0.61991,0.54333,0.55195,0.25644,0.91574,2.82785,0.68774,0.00802,0.00802,0.00802
18,1092.57,0.88358,3.1872,0.70216,0.57896,0.5089,0.5202,0.23618,0.88821,2.88738,0.67774,0.00789625,0.00789625,0.00789625
19,1152.86,0.88643,3.12781,0.70693,0.64552,0.51233,0.54404,0.2448,0.90236,2.77709,0.68435,0.0077725,0.0077725,0.0077725
20,1212.95,0.89672,3.06366,0.71638,0.60929,0.51544,0.53945,0.25442,0.85753,2.77199,0.65398,0.00764875,0.00764875,0.00764875
