epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0471,0.89651,5.30542,0.79154,0.45768,0.42868,0.39734,0.16723,0.96738,4.10783,0.80396,0.00331019,0.00331019,0.00331019
2,120.37,0.79196,4.03496,0.68985,0.32255,0.27931,0.1976,0.07497,1.11502,6.83839,0.95241,0.0065613,0.0065613,0.0065613
3,183.71,0.9564,4.93668,0.80428,0.27598,0.03812,0.01085,0.00356,2.17739,48.11,2.13438,0.00972992,0.00972992,0.00972992
4,244.63,1.07947,5.58812,0.89116,0.07935,0.07581,0.03144,0.01004,1.57515,22.0856,1.50437,0.00962875,0.00962875,0.00962875
5,305.301,1.00775,5.26199,0.8452,0.1427,0.20256,0.11299,0.04059,1.50334,6.55082,1.27035,0.009505,0.009505,0.009505
6,365.364,1.01633,4.90445,0.85144,0.32805,0.23843,0.20518,0.06785,1.33316,5.35051,1.12164,0.00938125,0.00938125,0.00938125
7,425.789,0.96185,4.66354,0.8166,0.38752,0.25911,0.23539,0.09656,1.16829,5.03064,0.99667,0.0092575,0.0092575,0.0092575
8,485.676,0.976,4.4907,0.82435,0.38358,0.34418,0.32804,0.14184,1.09305,4.29771,0.9356,0.00913375,0.00913375,0.00913375
9,546.019,0.91978,4.31567,0.78972,0.40003,0.34457,0.32693,0.14318,1.04005,4.10096,0.88139,0.00901,0.00901,0.00901
10,606.075,0.90518,4.17845,0.78587,0.4545,0.38282,0.3691,0.16532,1.05647,3.88304,0.89392,0.00888625,0.00888625,0.00888625
11,666.451,0.9083,4.05175,0.78537,0.49509,0.40709,0.39325,0.16785,1.07024,3.72235,0.90128,0.0087625,0.0087625,0.0087625
12,726.18,0.91764,3.94107,0.79545,0.49531,0.42297,0.40084,0.17377,1.00477,3.83225,0.85188,0.00863875,0.00863875,0.00863875
13,785.99,0.91618,3.81991,0.79557,0.54252,0.39323,0.42176,0.18335,1.05952,3.55614,0.89097,0.008515,0.008515,0.008515
14,845.919,0.90946,3.77262,0.79358,0.52428,0.44508,0.4678,0.20838,1.02842,3.36138,0.86716,0.00839125,0.00839125,0.00839125
15,906.344,0.92696,3.65705,0.80673,0.58049,0.45452,0.48364,0.22164,1.00799,3.36666,0.84655,0.0082675,0.0082675,0.0082675
16,966.358,0.92485,3.58134,0.80789,0.52466,0.49128,0.49567,0.21385,1.15114,3.28987,0.9348,0.00814375,0.00814375,0.00814375
17,1026.43,0.9501,3.54557,0.82594,0.56236,0.52442,0.52191,0.24695,1.00805,3.11428,0.84861,0.00802,0.00802,0.00802
18,1086.45,0.94203,3.44027,0.82106,0.54202,0.50935,0.52599,0.24215,1.01526,3.13698,0.84817,0.00789625,0.00789625,0.00789625
19,1146.78,0.90286,3.38997,0.80044,0.57618,0.49382,0.50981,0.22695,1.07415,3.14089,0.88124,0.0077725,0.0077725,0.0077725
20,1207.18,0.92564,3.31384,0.81859,0.59129,0.5024,0.51945,0.25643,0.99125,2.96986,0.84617,0.00764875,0.00764875,0.00764875
21,1266.9,0.90428,3.25355,0.80501,0.63216,0.53593,0.56374,0.26834,0.98278,2.87749,0.81883,0.007525,0.007525,0.007525
22,1326.61,0.91136,3.15308,0.81289,0.61792,0.52155,0.53535,0.25655,0.92908,2.93207,0.77734,0.00740125,0.00740125,0.00740125
23,1386.42,0.92312,3.13755,0.8268,0.58991,0.54669,0.56142,0.27551,0.88972,2.84203,0.7658,0.0072775,0.0072775,0.0072775
