epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9207,0.81681,5.11316,0.75118,0.47802,0.40023,0.40172,0.17074,0.94794,3.96912,0.82951,0.00331019,0.00331019,0.00331019
2,121.972,0.74206,3.85176,0.66567,0.28037,0.2759,0.18845,0.07249,1.12076,6.29068,0.99002,0.0065613,0.0065613,0.0065613
3,182.653,0.88754,4.67248,0.76847,0.04433,0.07349,0.01518,0.00462,1.70621,26.4522,1.76342,0.00972992,0.00972992,0.00972992
4,243.41,0.99077,5.31518,0.84626,0.05417,0.0616,0.01459,0.00655,1.99793,14.7119,1.97923,0.00962875,0.00962875,0.00962875
5,305.145,0.95237,4.92413,0.81607,0.17377,0.13708,0.08753,0.03264,1.45748,11.4185,1.23231,0.009505,0.009505,0.009505
6,366.066,0.96195,4.61214,0.82272,0.32966,0.28076,0.23969,0.08698,1.13942,4.79456,0.96772,0.00938125,0.00938125,0.00938125
7,426.979,0.9366,4.37058,0.80299,0.33017,0.32724,0.27122,0.11074,1.10473,4.62994,0.9462,0.0092575,0.0092575,0.0092575
8,487.725,0.96073,4.16694,0.81779,0.44266,0.36006,0.34579,0.14368,1.09262,4.16991,0.92767,0.00913375,0.00913375,0.00913375
9,548.51,0.92456,4.01069,0.79737,0.37035,0.3333,0.35046,0.14507,1.05936,3.92772,0.91503,0.00901,0.00901,0.00901
10,609.141,0.93449,3.87635,0.80141,0.39742,0.42228,0.363,0.15843,1.08374,3.77375,0.91792,0.00888625,0.00888625,0.00888625
11,669.724,0.94369,3.78079,0.80976,0.48701,0.38275,0.38876,0.15695,1.1143,3.5612,0.91785,0.0087625,0.0087625,0.0087625
12,730.205,0.93195,3.6525,0.80206,0.5452,0.46528,0.46845,0.20282,1.05722,3.25722,0.87541,0.00863875,0.00863875,0.00863875
13,790.969,0.91741,3.52915,0.79732,0.51683,0.46934,0.44797,0.18799,0.94593,3.25501,0.80448,0.008515,0.008515,0.008515
14,851.635,0.91938,3.48327,0.79687,0.54578,0.42465,0.44885,0.19629,1.05089,3.15792,0.88801,0.00839125,0.00839125,0.00839125
15,912.05,0.91241,3.3708,0.79902,0.60661,0.41501,0.44589,0.19777,1.02135,3.3767,0.85118,0.0082675,0.0082675,0.0082675
16,972.367,0.91937,3.29887,0.80469,0.55295,0.51094,0.51453,0.22476,1.03517,2.93958,0.86743,0.00814375,0.00814375,0.00814375
17,1032.47,0.95794,3.23438,0.83144,0.60701,0.49106,0.51184,0.23616,0.95888,2.85358,0.79909,0.00802,0.00802,0.00802
18,1092.17,0.93488,3.1329,0.81381,0.58308,0.50378,0.52017,0.2443,0.99615,2.79488,0.82566,0.00789625,0.00789625,0.00789625
19,1152.83,0.92305,3.10701,0.81044,0.52921,0.52751,0.51558,0.23074,1.00631,2.89714,0.84933,0.0077725,0.0077725,0.0077725
