epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2008,0.74305,5.11746,0.66438,0.41634,0.40281,0.36313,0.14759,0.88831,4.46478,0.72258,0.00331019,0.00331019,0.00331019
2,120.82,0.67878,3.84719,0.58661,0.33246,0.35263,0.27227,0.10473,0.96889,6.34686,0.81285,0.0065613,0.0065613,0.0065613
3,181.866,0.79913,4.71292,0.6744,0.04831,0.09025,0.00713,0.00287,1.67446,86.1519,1.65109,0.00972992,0.00972992,0.00972992
4,242.158,0.89103,5.31411,0.74479,0.19502,0.12181,0.04853,0.01695,1.17103,21.7016,1.17745,0.00962875,0.00962875,0.00962875
5,302.908,0.89136,4.96225,0.73971,0.21428,0.19812,0.13006,0.04583,1.25734,9.39171,1.05228,0.009505,0.009505,0.009505
6,362.725,0.88597,4.63082,0.73475,0.26711,0.21884,0.16075,0.0524,1.2086,6.22545,0.99815,0.00938125,0.00938125,0.00938125
7,422.845,0.88055,4.41035,0.7309,0.56001,0.28529,0.26019,0.10176,1.03685,4.80346,0.86714,0.0092575,0.0092575,0.0092575
8,483.933,0.88953,4.20354,0.73816,0.38124,0.33227,0.30306,0.12138,1.00233,4.29347,0.82592,0.00913375,0.00913375,0.00913375
9,544.639,0.84917,4.01922,0.7166,0.37552,0.36104,0.33537,0.13204,0.97982,3.99458,0.81345,0.00901,0.00901,0.00901
10,604.353,0.88143,3.88534,0.73458,0.40646,0.37863,0.34411,0.14356,0.99046,3.93752,0.80967,0.00888625,0.00888625,0.00888625
11,664.665,0.86689,3.80601,0.72629,0.43843,0.41071,0.37265,0.14763,1.11466,3.63189,0.88709,0.0087625,0.0087625,0.0087625
12,725.024,0.85187,3.66795,0.71834,0.53505,0.43141,0.44353,0.19231,0.86937,3.38154,0.71938,0.00863875,0.00863875,0.00863875
13,785.334,0.85866,3.52172,0.72688,0.49006,0.4174,0.43323,0.18697,0.91939,3.35452,0.76038,0.008515,0.008515,0.008515
14,845.573,0.86157,3.5006,0.72826,0.49513,0.47703,0.47428,0.21135,0.95649,3.13448,0.78248,0.00839125,0.00839125,0.00839125
15,905.668,0.85693,3.38475,0.7287,0.57652,0.47164,0.48609,0.22068,0.91811,3.05208,0.74447,0.0082675,0.0082675,0.0082675
16,966.051,0.84788,3.30385,0.72783,0.58958,0.49946,0.51862,0.22671,0.88905,2.93208,0.73399,0.00814375,0.00814375,0.00814375
17,1026.51,0.88579,3.26071,0.75415,0.55468,0.49366,0.50733,0.22928,0.87805,2.94822,0.72377,0.00802,0.00802,0.00802
18,1086.96,0.89442,3.17818,0.75968,0.57096,0.51228,0.52356,0.23449,0.88545,2.95304,0.7312,0.00789625,0.00789625,0.00789625
19,1147.21,0.86919,3.11824,0.74465,0.60888,0.52259,0.53679,0.24804,0.85453,2.79599,0.70791,0.0077725,0.0077725,0.0077725
20,1207.21,0.88121,3.06208,0.76024,0.60983,0.52247,0.55235,0.25407,0.85908,2.708,0.70672,0.00764875,0.00764875,0.00764875
21,1267.26,0.86972,2.98872,0.75398,0.62425,0.51294,0.54407,0.25995,0.84058,2.72297,0.70381,0.007525,0.007525,0.007525
22,1327.19,0.87428,2.9032,0.76077,0.63551,0.55893,0.58627,0.27592,0.82932,2.56211,0.69482,0.00740125,0.00740125,0.00740125
23,1386.91,0.87353,2.89564,0.76369,0.61911,0.53016,0.54891,0.264,0.78377,2.70509,0.65537,0.0072775,0.0072775,0.0072775
24,1447.18,0.8978,2.83109,0.78069,0.6282,0.56206,0.58135,0.27803,0.85475,2.5497,0.7108,0.00715375,0.00715375,0.00715375
25,1506.79,0.88145,2.79854,0.77064,0.63729,0.5467,0.56949,0.27509,0.84128,2.54897,0.69256,0.00703,0.00703,0.00703
26,1566.46,0.87237,2.69188,0.77104,0.64716,0.56299,0.60552,0.29788,0.76975,2.49811,0.6523,0.00690625,0.00690625,0.00690625
27,1626.44,0.87908,2.6943,0.78004,0.6572,0.59147,0.62501,0.30394,0.84788,2.38542,0.69442,0.0067825,0.0067825,0.0067825
28,1686.79,0.89395,2.64974,0.78862,0.696,0.60401,0.64054,0.31528,0.77648,2.3546,0.65338,0.00665875,0.00665875,0.00665875
29,1747.18,0.89568,2.61693,0.79048,0.69104,0.56487,0.61968,0.30896,0.82104,2.40359,0.68285,0.006535,0.006535,0.006535
30,1807.27,0.88876,2.53691,0.78934,0.66878,0.61566,0.64927,0.33462,0.74776,2.30841,0.63456,0.00641125,0.00641125,0.00641125
31,1866.94,0.88599,2.5132,0.79207,0.7104,0.59851,0.64958,0.32645,0.78695,2.35044,0.65878,0.0062875,0.0062875,0.0062875
32,1927.06,0.87776,2.46428,0.79052,0.72977,0.56862,0.64083,0.32735,0.81599,2.30742,0.69123,0.00616375,0.00616375,0.00616375
33,1987.43,0.8933,2.43018,0.8052,0.68932,0.59744,0.64153,0.32245,0.74034,2.32177,0.62958,0.00604,0.00604,0.00604
34,2047.71,0.88524,2.41399,0.7985,0.7077,0.62395,0.66119,0.32906,0.7681,2.28345,0.64911,0.00591625,0.00591625,0.00591625
35,2107.37,0.87318,2.3564,0.79724,0.66745,0.62466,0.64537,0.33682,0.77623,2.21656,0.66252,0.0057925,0.0057925,0.0057925
36,2167.9,0.87576,2.32566,0.80326,0.69432,0.61167,0.65442,0.33553,0.74149,2.2025,0.63349,0.00566875,0.00566875,0.00566875
37,2228.3,0.88281,2.30964,0.80951,0.73801,0.61035,0.66796,0.34756,0.71663,2.19302,0.61498,0.005545,0.005545,0.005545
38,2288.19,0.8751,2.2744,0.80259,0.72891,0.62116,0.67219,0.35568,0.75925,2.17746,0.64467,0.00542125,0.00542125,0.00542125
39,2348.27,0.87839,2.21206,0.80607,0.71541,0.64701,0.67718,0.35173,0.7788,2.13735,0.65637,0.0052975,0.0052975,0.0052975
40,2408.13,0.87925,2.21322,0.81026,0.72141,0.64535,0.67889,0.35919,0.71994,2.17752,0.62031,0.00517375,0.00517375,0.00517375
41,2468.39,0.88772,2.15123,0.82291,0.73678,0.62518,0.67212,0.35247,0.7122,2.16586,0.61568,0.00505,0.00505,0.00505
42,2528.54,0.88188,2.15288,0.82151,0.74242,0.6235,0.67954,0.35862,0.74665,2.14833,0.63644,0.00492625,0.00492625,0.00492625
43,2588.38,0.88458,2.06913,0.82567,0.72206,0.64434,0.68727,0.36711,0.74243,2.13176,0.63811,0.0048025,0.0048025,0.0048025
44,2648.69,0.8961,2.04368,0.83535,0.71823,0.64533,0.68521,0.36196,0.7277,2.14606,0.6285,0.00467875,0.00467875,0.00467875
45,2708.68,0.89323,2.05716,0.84158,0.70033,0.67085,0.69301,0.36393,0.72204,2.11459,0.62265,0.004555,0.004555,0.004555
46,2768.25,0.89165,2.00227,0.84142,0.72739,0.6522,0.69307,0.37463,0.74063,2.08596,0.64117,0.00443125,0.00443125,0.00443125
47,2827.84,0.8871,1.97999,0.8431,0.73498,0.65682,0.70234,0.37338,0.68138,2.0834,0.60273,0.0043075,0.0043075,0.0043075
48,2887.81,0.88481,1.96321,0.84202,0.76774,0.65346,0.70328,0.37599,0.71033,2.09255,0.6238,0.00418375,0.00418375,0.00418375
49,2948.11,0.8906,1.93899,0.84975,0.75033,0.66706,0.69734,0.37138,0.72265,2.10592,0.6365,0.00406,0.00406,0.00406
50,3008.25,0.88515,1.91323,0.84525,0.75398,0.67043,0.70709,0.38648,0.70587,2.06192,0.62089,0.00393625,0.00393625,0.00393625
51,3068.36,0.87798,1.89137,0.84591,0.77042,0.67113,0.7125,0.38674,0.67783,2.04805,0.60079,0.0038125,0.0038125,0.0038125
