epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.449,0.82155,5.11925,0.75087,0.44127,0.42127,0.3882,0.15818,1.04835,3.86567,0.86776,0.00331019,0.00331019,0.00331019
2,119.931,0.74168,3.83106,0.6594,0.24601,0.26185,0.17218,0.06507,1.17637,7.31576,1.04788,0.0065613,0.0065613,0.0065613
3,182.007,0.87861,4.6993,0.76466,0.06448,0.0972,0.02348,0.00816,1.58922,66.661,1.59349,0.00972992,0.00972992,0.00972992
4,242.384,0.95859,5.27875,0.83164,0.18815,0.14879,0.07249,0.02515,1.59668,13.7704,1.4849,0.00962875,0.00962875,0.00962875
5,302.822,0.94011,4.92945,0.81296,0.14777,0.19534,0.10534,0.03738,1.21272,11.3846,1.07481,0.009505,0.009505,0.009505
6,362.801,0.93115,4.62299,0.80684,0.26854,0.24559,0.16544,0.05354,1.21616,5.45706,1.04429,0.00938125,0.00938125,0.00938125
7,422.782,0.92819,4.37058,0.80321,0.40267,0.28189,0.27806,0.11136,1.06712,5.34695,0.92551,0.0092575,0.0092575,0.0092575
8,482.632,0.92676,4.169,0.80123,0.43462,0.30886,0.28271,0.11337,1.04203,4.39826,0.90652,0.00913375,0.00913375,0.00913375
9,543.03,0.91073,3.99643,0.79272,0.44652,0.33072,0.34242,0.14088,1.04019,4.01017,0.89299,0.00901,0.00901,0.00901
10,602.736,0.87454,3.84715,0.76833,0.43209,0.4319,0.39181,0.16271,1.02373,3.76839,0.88552,0.00888625,0.00888625,0.00888625
11,662.407,0.88707,3.76113,0.78025,0.50931,0.40595,0.39786,0.15489,1.08697,3.57595,0.9186,0.0087625,0.0087625,0.0087625
12,722.397,0.89798,3.62101,0.7862,0.48731,0.40782,0.41084,0.17811,1.02751,3.47714,0.86682,0.00863875,0.00863875,0.00863875
13,782.921,0.91115,3.50753,0.79784,0.51065,0.42165,0.41901,0.16852,1.04968,3.42453,0.8965,0.008515,0.008515,0.008515
14,843.427,0.88237,3.47296,0.77834,0.55836,0.48137,0.48689,0.21532,0.93766,3.05934,0.81186,0.00839125,0.00839125,0.00839125
15,904.217,0.8868,3.35435,0.78181,0.57096,0.42494,0.46876,0.20477,0.95536,3.20178,0.80692,0.0082675,0.0082675,0.0082675
16,964.772,0.90155,3.28057,0.80082,0.61049,0.47028,0.51016,0.22079,0.99192,2.95797,0.85012,0.00814375,0.00814375,0.00814375
17,1024.85,0.93491,3.23046,0.82284,0.64431,0.51604,0.54411,0.25193,0.97303,2.79224,0.82551,0.00802,0.00802,0.00802
18,1085.47,0.91879,3.15907,0.8104,0.58048,0.51684,0.53733,0.24872,0.87079,2.82136,0.74958,0.00789625,0.00789625,0.00789625
19,1145.73,0.91259,3.0846,0.80938,0.59562,0.49868,0.52279,0.23616,0.96441,2.78746,0.81701,0.0077725,0.0077725,0.0077725
20,1205.7,0.90124,3.04103,0.80396,0.61198,0.52356,0.55108,0.26569,0.90018,2.69392,0.77897,0.00764875,0.00764875,0.00764875
21,1265.43,0.91156,2.97616,0.8123,0.60109,0.53599,0.55941,0.26822,0.88051,2.64223,0.76479,0.007525,0.007525,0.007525
22,1325.37,0.9154,2.90664,0.82093,0.65965,0.56605,0.60087,0.28493,0.92233,2.52291,0.77871,0.00740125,0.00740125,0.00740125
23,1385.22,0.92567,2.87758,0.82894,0.63364,0.54879,0.57607,0.27427,0.86712,2.61406,0.75078,0.0072775,0.0072775,0.0072775
24,1445.02,0.93947,2.80632,0.84046,0.60825,0.57439,0.58987,0.27919,0.91181,2.60046,0.77023,0.00715375,0.00715375,0.00715375
25,1504.73,0.91989,2.762,0.82575,0.67738,0.57365,0.60888,0.28456,0.91644,2.53496,0.77822,0.00703,0.00703,0.00703
26,1564.35,0.90787,2.67771,0.82466,0.67992,0.58095,0.62239,0.31156,0.82505,2.41175,0.73017,0.00690625,0.00690625,0.00690625
27,1623.91,0.91399,2.66346,0.8325,0.64473,0.59123,0.62348,0.31025,0.85443,2.41089,0.73512,0.0067825,0.0067825,0.0067825
28,1683.82,0.90021,2.62747,0.82368,0.64818,0.60572,0.62335,0.31107,0.8547,2.40305,0.73446,0.00665875,0.00665875,0.00665875
29,1744.18,0.90861,2.6038,0.83264,0.6803,0.57887,0.62509,0.31264,0.87878,2.48148,0.75629,0.006535,0.006535,0.006535
30,1804.19,0.90481,2.514,0.83004,0.71488,0.59646,0.65449,0.3269,0.86423,2.31704,0.7492,0.00641125,0.00641125,0.00641125
31,1864.27,0.91838,2.47326,0.84128,0.72114,0.60851,0.65621,0.33119,0.88289,2.25666,0.75731,0.0062875,0.0062875,0.0062875
32,1923.95,0.91686,2.42873,0.84732,0.70015,0.60106,0.64048,0.33333,0.86634,2.2256,0.76511,0.00616375,0.00616375,0.00616375
33,1983.68,0.89808,2.40033,0.84134,0.6885,0.6365,0.65462,0.3393,0.85527,2.2135,0.74703,0.00604,0.00604,0.00604
34,2043.71,0.90564,2.3524,0.84115,0.72036,0.58366,0.63933,0.32928,0.86013,2.27835,0.74306,0.00591625,0.00591625,0.00591625
35,2103.36,0.8933,2.33941,0.8361,0.71071,0.6217,0.66441,0.33551,0.88299,2.22595,0.76809,0.0057925,0.0057925,0.0057925
36,2163.14,0.90073,2.31158,0.8447,0.72418,0.60304,0.65752,0.3468,0.75724,2.1743,0.68069,0.00566875,0.00566875,0.00566875
