epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1991,0.93209,5.21846,0.80581,0.46906,0.45228,0.4162,0.16329,1.14666,3.73872,0.88231,0.00331019,0.00331019,0.00331019
2,120.166,0.86578,3.91827,0.7195,0.31083,0.26676,0.1986,0.07292,1.36828,6.30492,1.12118,0.0065613,0.0065613,0.0065613
3,181.413,1.07492,4.75742,0.85394,0.0184,0.04768,0.00619,0.00232,1.75094,58.5108,1.67174,0.00972992,0.00972992,0.00972992
4,241.643,1.16271,5.34716,0.9109,0.1409,0.12307,0.07159,0.02344,1.76938,13.0171,1.51918,0.00962875,0.00962875,0.00962875
5,302.083,1.13182,5.00141,0.89165,0.19625,0.18143,0.11087,0.03826,1.69263,9.27096,1.33283,0.009505,0.009505,0.009505
6,362.603,1.15817,4.67561,0.89332,0.27924,0.21754,0.16067,0.05472,1.56793,5.92728,1.23168,0.00938125,0.00938125,0.00938125
7,423.414,1.0852,4.42806,0.85561,0.36352,0.29898,0.24639,0.09818,1.31416,4.75503,1.0092,0.0092575,0.0092575,0.0092575
8,483.761,1.11211,4.23764,0.87224,0.45937,0.3663,0.34171,0.13354,1.26733,4.11705,0.98752,0.00913375,0.00913375,0.00913375
9,544.105,1.04157,4.04702,0.82721,0.40787,0.34802,0.33033,0.13219,1.34171,3.93051,1.04619,0.00901,0.00901,0.00901
10,604.392,1.02316,3.92494,0.81778,0.48859,0.38816,0.38664,0.15735,1.31273,3.77006,1.00516,0.00888625,0.00888625,0.00888625
11,664.674,1.04708,3.83384,0.83563,0.51728,0.39778,0.41118,0.15866,1.33456,3.53515,1.02718,0.0087625,0.0087625,0.0087625
12,724.749,1.03539,3.69865,0.83137,0.46891,0.45785,0.43113,0.17927,1.31844,3.32299,0.99582,0.00863875,0.00863875,0.00863875
13,784.908,1.05194,3.58476,0.84437,0.53882,0.44987,0.44326,0.18244,1.17597,3.18062,0.92236,0.008515,0.008515,0.008515
14,844.989,1.01303,3.53604,0.82024,0.53912,0.46696,0.46817,0.21116,1.14141,3.11555,0.91824,0.00839125,0.00839125,0.00839125
15,905.005,1.03511,3.41744,0.83407,0.55753,0.45474,0.46305,0.20682,1.22959,3.15332,0.95048,0.0082675,0.0082675,0.0082675
16,964.911,1.02317,3.34211,0.83436,0.59573,0.47202,0.50968,0.22724,1.16133,3.03512,0.90801,0.00814375,0.00814375,0.00814375
17,1025.16,1.08995,3.27713,0.8776,0.57457,0.51988,0.51206,0.2344,1.13274,2.97622,0.89694,0.00802,0.00802,0.00802
18,1085.3,1.06214,3.19817,0.86073,0.56742,0.53496,0.53108,0.23926,1.15401,2.8841,0.91328,0.00789625,0.00789625,0.00789625
19,1145.05,1.02959,3.16566,0.84484,0.58365,0.52167,0.52943,0.23513,1.1374,2.78365,0.89406,0.0077725,0.0077725,0.0077725
20,1204.94,1.05771,3.08648,0.86357,0.63109,0.52145,0.55488,0.26515,1.07604,2.7778,0.8581,0.00764875,0.00764875,0.00764875
21,1265.53,1.00815,3.02221,0.83724,0.56918,0.54656,0.54339,0.25827,1.13717,2.71749,0.91494,0.007525,0.007525,0.007525
22,1325.87,1.04859,2.96013,0.86573,0.67387,0.53642,0.58904,0.26445,1.19608,2.59874,0.92954,0.00740125,0.00740125,0.00740125
23,1386.16,1.03088,2.91983,0.85806,0.65797,0.53398,0.57328,0.27756,0.9783,2.61098,0.78472,0.0072775,0.0072775,0.0072775
24,1446.49,1.03226,2.8433,0.85558,0.61873,0.56513,0.57919,0.27943,1.01628,2.57767,0.81736,0.00715375,0.00715375,0.00715375
25,1506.8,1.05579,2.81157,0.87231,0.68145,0.54839,0.60399,0.29247,1.00301,2.58576,0.80681,0.00703,0.00703,0.00703
26,1566.86,1.01391,2.71213,0.85218,0.66944,0.56206,0.61617,0.30164,0.98162,2.54267,0.79621,0.00690625,0.00690625,0.00690625
27,1626.8,1.02543,2.71131,0.86113,0.67831,0.56574,0.61923,0.31117,1.07153,2.50491,0.84665,0.0067825,0.0067825,0.0067825
28,1686.65,1.01973,2.67046,0.85735,0.6971,0.56627,0.61882,0.30527,1.11544,2.42342,0.87689,0.00665875,0.00665875,0.00665875
29,1747,1.04616,2.62227,0.87828,0.70007,0.57418,0.62436,0.30624,1.03863,2.44254,0.8361,0.006535,0.006535,0.006535
30,1806.82,1.00084,2.5623,0.85297,0.67365,0.61116,0.64616,0.32465,1.06693,2.364,0.84792,0.00641125,0.00641125,0.00641125
