epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7797,0.83212,6.13538,0.75818,0.47455,0.42184,0.39658,0.16102,0.9628,4.70586,0.78631,0.00331019,0.00331019,0.00331019
2,119.632,0.74803,4.62253,0.66273,0.33413,0.33763,0.25472,0.09505,1.00541,6.25937,0.88297,0.0065613,0.0065613,0.0065613
3,182.307,0.87325,5.66481,0.75616,0.04042,0.03548,0.01105,0.00413,1.78075,64.6312,1.66064,0.00972992,0.00972992,0.00972992
4,242.907,0.95695,6.37837,0.82587,0.1852,0.12835,0.07163,0.0256,1.2883,23.0465,1.22231,0.00962875,0.00962875,0.00962875
5,303.153,0.93476,5.97507,0.81249,0.23242,0.21977,0.14512,0.04932,1.35201,9.03838,1.21947,0.009505,0.009505,0.009505
6,363.095,0.93502,5.56377,0.8118,0.33608,0.24384,0.2009,0.06896,1.30413,6.3025,1.08979,0.00938125,0.00938125,0.00938125
7,422.909,0.91558,5.26341,0.79341,0.42059,0.2838,0.26572,0.1078,0.99561,5.77377,0.88726,0.0092575,0.0092575,0.0092575
8,483.083,0.92716,5.01569,0.80028,0.39961,0.37657,0.34995,0.14545,1.05863,4.58136,0.90668,0.00913375,0.00913375,0.00913375
9,542.948,0.8973,4.82711,0.78343,0.46125,0.34676,0.3522,0.14327,1.04618,4.8462,0.91332,0.00901,0.00901,0.00901
10,602.777,0.88047,4.67343,0.7754,0.45698,0.42335,0.39429,0.1688,1.04008,4.30566,0.88797,0.00888625,0.00888625,0.00888625
11,662.85,0.91783,4.53589,0.79777,0.46349,0.37236,0.36781,0.13932,1.12992,4.47021,0.95497,0.0087625,0.0087625,0.0087625
12,722.651,0.89771,4.38781,0.78843,0.47268,0.44755,0.43651,0.17779,1.22649,4.07359,1.02062,0.00863875,0.00863875,0.00863875
13,782.577,0.90759,4.2467,0.79624,0.56681,0.41582,0.46339,0.19192,1.00734,3.87512,0.85966,0.008515,0.008515,0.008515
14,842.506,0.89935,4.19074,0.7899,0.51142,0.45674,0.47279,0.20949,0.96629,3.76757,0.82875,0.00839125,0.00839125,0.00839125
