epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.6079,0.92867,4.1074,0.80142,0.5315,0.44049,0.43764,0.18984,0.95775,2.94463,0.75781,0.00331019,0.00331019,0.00331019
2,119.363,0.84246,3.0797,0.70269,0.35458,0.29073,0.24363,0.09935,1.23378,4.6272,1.05867,0.0065613,0.0065613,0.0065613
3,179.524,1.04364,3.74964,0.83959,0.03879,0.0738,0.01552,0.00444,2.04799,20.028,1.90879,0.00972992,0.00972992,0.00972992
4,239.897,1.09548,4.23688,0.88338,0.16769,0.15583,0.07075,0.02075,1.58285,11.4085,1.4511,0.00962875,0.00962875,0.00962875
5,301.1,1.09991,3.97373,0.87988,0.25242,0.22743,0.12965,0.04736,1.4002,6.23424,1.1415,0.009505,0.009505,0.009505
6,361.782,1.05589,3.71509,0.85109,0.346,0.2465,0.20428,0.07047,1.42395,4.20549,1.14332,0.00938125,0.00938125,0.00938125
7,422.389,1.03825,3.49808,0.84078,0.52934,0.2696,0.26265,0.10413,1.33444,3.76283,1.07233,0.0092575,0.0092575,0.0092575
8,483,1.07258,3.34958,0.85566,0.40036,0.3544,0.31626,0.13675,1.17558,3.23331,0.93788,0.00913375,0.00913375,0.00913375
9,543.689,1.01754,3.20961,0.82723,0.54991,0.3494,0.35785,0.1409,1.25913,3.25046,1.00538,0.00901,0.00901,0.00901
10,604.029,0.97751,3.10254,0.8011,0.49338,0.37906,0.36203,0.15526,1.12954,3.02188,0.90189,0.00888625,0.00888625,0.00888625
11,664.34,0.98959,3.01868,0.80973,0.51578,0.41826,0.39728,0.15196,1.2255,2.80298,0.96516,0.0087625,0.0087625,0.0087625
12,724.67,0.98293,2.92315,0.81534,0.52819,0.40287,0.42114,0.17385,1.23698,2.72263,0.96059,0.00863875,0.00863875,0.00863875
13,784.609,1.02334,2.81486,0.83799,0.52011,0.45912,0.45195,0.19829,1.07918,2.51569,0.87445,0.008515,0.008515,0.008515
14,844.198,0.96692,2.77772,0.79757,0.53425,0.47977,0.48907,0.2163,1.29606,2.42795,1.00372,0.00839125,0.00839125,0.00839125
15,903.808,0.9656,2.6967,0.80618,0.58594,0.44623,0.4864,0.21489,1.03747,2.49421,0.82102,0.0082675,0.0082675,0.0082675
16,963.409,0.96612,2.63284,0.81026,0.57932,0.49611,0.5221,0.22679,1.22735,2.38659,0.97101,0.00814375,0.00814375,0.00814375
17,1022.98,0.99898,2.58522,0.83399,0.61517,0.49937,0.52099,0.24295,1.06795,2.29409,0.8639,0.00802,0.00802,0.00802
18,1082.62,0.995,2.50703,0.83338,0.57212,0.52203,0.52179,0.24285,1.07746,2.29565,0.86322,0.00789625,0.00789625,0.00789625
19,1142.19,1.00522,2.47325,0.84203,0.64724,0.52669,0.55659,0.25848,1.0517,2.1403,0.84924,0.0077725,0.0077725,0.0077725
20,1202.74,0.986,2.41559,0.82868,0.60074,0.45648,0.49201,0.23296,1.10215,2.42486,0.87796,0.00764875,0.00764875,0.00764875
21,1262.38,0.98199,2.37583,0.83286,0.55652,0.44013,0.45101,0.20696,1.08763,2.28731,0.88,0.007525,0.007525,0.007525
22,1321.9,1.00412,2.31364,0.84851,0.65348,0.52747,0.58074,0.27489,1.02115,2.04072,0.82969,0.00740125,0.00740125,0.00740125
23,1381.43,0.99011,2.28011,0.84337,0.62068,0.49839,0.52995,0.25161,1.05366,2.12952,0.85647,0.0072775,0.0072775,0.0072775
24,1441.08,1.03554,2.25608,0.87357,0.63735,0.55626,0.58423,0.28419,1.01677,2.02869,0.82924,0.00715375,0.00715375,0.00715375
25,1500.67,0.98022,2.20986,0.84152,0.70075,0.5595,0.61309,0.29678,1.03571,1.96982,0.83418,0.00703,0.00703,0.00703
26,1560.24,0.98073,2.11806,0.84498,0.67269,0.59494,0.61423,0.31082,1.0077,2.03944,0.83394,0.00690625,0.00690625,0.00690625
27,1619.84,0.98088,2.12384,0.85093,0.65006,0.57767,0.61329,0.3055,1.00123,1.96111,0.81602,0.0067825,0.0067825,0.0067825
28,1679.46,0.99431,2.09259,0.85841,0.67134,0.61492,0.63994,0.32381,1.03675,1.84492,0.83855,0.00665875,0.00665875,0.00665875
29,1739,1.01789,2.06679,0.87697,0.65948,0.58481,0.6241,0.31935,1.04159,1.88747,0.84902,0.006535,0.006535,0.006535
30,1798.53,0.98732,2.01276,0.85878,0.6738,0.59919,0.64309,0.33322,0.97933,1.84418,0.79942,0.00641125,0.00641125,0.00641125
31,1858.05,0.99099,1.96564,0.86362,0.70426,0.61199,0.66182,0.34152,0.98521,1.78511,0.80301,0.0062875,0.0062875,0.0062875
32,1917.57,0.99487,1.93959,0.87015,0.69847,0.61986,0.6553,0.33355,1.00541,1.76764,0.83154,0.00616375,0.00616375,0.00616375
33,1977.08,0.98522,1.90336,0.86975,0.69658,0.60807,0.64611,0.33502,1.00737,1.81412,0.83863,0.00604,0.00604,0.00604
34,2036.58,0.9891,1.89628,0.86806,0.70627,0.59207,0.6414,0.34494,0.90699,1.79188,0.75446,0.00591625,0.00591625,0.00591625
35,2096.18,0.96453,1.8438,0.85799,0.67451,0.62067,0.63107,0.32989,0.97068,1.80707,0.81446,0.0057925,0.0057925,0.0057925
36,2155.73,0.97294,1.83578,0.86542,0.71309,0.61462,0.6554,0.34586,0.95604,1.74996,0.79046,0.00566875,0.00566875,0.00566875
37,2215.38,0.98871,1.81744,0.87633,0.73457,0.61817,0.66902,0.35429,0.89748,1.75624,0.74851,0.005545,0.005545,0.005545
38,2274.93,0.97927,1.77474,0.87037,0.74934,0.64178,0.68999,0.36553,0.9278,1.69933,0.76563,0.00542125,0.00542125,0.00542125
39,2334.59,0.97495,1.7535,0.87227,0.72294,0.63452,0.68468,0.37108,0.97242,1.69252,0.80031,0.0052975,0.0052975,0.0052975
40,2394.09,0.97005,1.72555,0.87298,0.6862,0.64784,0.67809,0.36753,0.9545,1.69103,0.79327,0.00517375,0.00517375,0.00517375
41,2453.61,0.98436,1.69777,0.89097,0.70255,0.64267,0.68088,0.36666,0.95425,1.66852,0.7968,0.00505,0.00505,0.00505
42,2513.36,0.96293,1.67814,0.87764,0.76783,0.61367,0.68996,0.38005,0.93006,1.66871,0.78359,0.00492625,0.00492625,0.00492625
