epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.983,0.90639,5.04137,0.79396,0.49612,0.43035,0.41821,0.16922,0.99978,3.7797,0.78638,0.00331019,0.00331019,0.00331019
2,122.678,0.81609,3.78718,0.6934,0.35836,0.35374,0.29331,0.11301,1.15896,4.60789,0.97619,0.0065613,0.0065613,0.0065613
3,183.475,0.96131,4.65211,0.79803,0.01806,0.07451,0.00917,0.00289,1.79872,37.4607,1.77954,0.00972992,0.00972992,0.00972992
4,243.896,1.054,5.21034,0.86604,0.22599,0.06872,0.04472,0.01574,1.56325,17.3805,1.45842,0.00962875,0.00962875,0.00962875
5,305.11,1.00542,4.90103,0.83835,0.20592,0.23618,0.15706,0.05589,1.34485,8.24973,1.12364,0.009505,0.009505,0.009505
6,365.804,0.98584,4.57197,0.82404,0.30012,0.28065,0.21579,0.07391,1.25545,5.16813,1.05064,0.00938125,0.00938125,0.00938125
7,426.039,1.01008,4.34553,0.83704,0.58215,0.26919,0.27705,0.10963,1.25514,5.13987,1.05055,0.0092575,0.0092575,0.0092575
8,486.556,1.03229,4.14543,0.84907,0.42346,0.31743,0.30388,0.12139,1.20567,4.14587,0.97568,0.00913375,0.00913375,0.00913375
9,546.512,0.99419,3.97143,0.82858,0.47164,0.36639,0.35653,0.15382,1.19375,3.76381,0.97421,0.00901,0.00901,0.00901
10,606.111,0.98824,3.82269,0.82242,0.44881,0.41078,0.38466,0.16362,1.08548,3.65801,0.8921,0.00888625,0.00888625,0.00888625
11,665.808,0.97425,3.73153,0.81538,0.3854,0.38684,0.32996,0.12823,1.14764,3.92599,0.95009,0.0087625,0.0087625,0.0087625
12,725.526,0.98419,3.62313,0.82253,0.51295,0.42088,0.42429,0.17781,1.15567,3.41265,0.92116,0.00863875,0.00863875,0.00863875
13,785.609,0.96266,3.49959,0.81239,0.52017,0.43743,0.43685,0.18459,1.11606,3.27488,0.92137,0.008515,0.008515,0.008515
14,845.405,0.96468,3.44582,0.81403,0.56548,0.45626,0.47944,0.21491,1.06264,3.02947,0.88434,0.00839125,0.00839125,0.00839125
15,905.885,0.99264,3.33723,0.8393,0.59481,0.46707,0.49713,0.22969,1.08926,3.01703,0.89081,0.0082675,0.0082675,0.0082675
16,966.021,0.9879,3.25806,0.83466,0.61569,0.49146,0.51657,0.2276,1.08693,2.90966,0.88887,0.00814375,0.00814375,0.00814375
17,1025.69,1.00587,3.19802,0.85172,0.59516,0.50246,0.52385,0.2443,1.03844,2.79147,0.85184,0.00802,0.00802,0.00802
18,1088,0.99009,3.12145,0.83792,0.58017,0.50438,0.53719,0.25031,1.03893,2.80413,0.86132,0.00789625,0.00789625,0.00789625
19,1149.59,0.97282,3.06963,0.83215,0.60595,0.50018,0.52625,0.24576,1.08477,2.69612,0.8825,0.0077725,0.0077725,0.0077725
20,1210.22,0.9732,3.00062,0.83531,0.62292,0.5138,0.54775,0.25946,1.00193,2.71712,0.8236,0.00764875,0.00764875,0.00764875
21,1270.21,0.95555,2.95737,0.82572,0.61221,0.52066,0.55461,0.27119,0.96992,2.65119,0.81074,0.007525,0.007525,0.007525
22,1330.56,0.975,2.86574,0.84478,0.6328,0.57236,0.59043,0.27664,1.00722,2.5102,0.81704,0.00740125,0.00740125,0.00740125
23,1391.24,0.97525,2.83909,0.84627,0.64216,0.51366,0.56605,0.27407,0.96514,2.58947,0.81367,0.0072775,0.0072775,0.0072775
24,1451.32,0.98642,2.80128,0.85775,0.67452,0.54967,0.58957,0.28554,0.9327,2.50106,0.7842,0.00715375,0.00715375,0.00715375
25,1511.8,0.97221,2.74685,0.84676,0.6731,0.55117,0.6027,0.29624,1.00517,2.43466,0.82777,0.00703,0.00703,0.00703
26,1571.82,0.98549,2.63706,0.86021,0.66455,0.54737,0.57456,0.29084,0.96375,2.52014,0.81568,0.00690625,0.00690625,0.00690625
27,1631.5,0.99752,2.63663,0.87296,0.68588,0.55311,0.6045,0.3031,0.92432,2.39003,0.77118,0.0067825,0.0067825,0.0067825
28,1692.22,0.97569,2.59423,0.85713,0.71867,0.57164,0.63792,0.31647,0.93535,2.32517,0.77533,0.00665875,0.00665875,0.00665875
29,1752.77,0.99334,2.57593,0.87059,0.68058,0.57745,0.6259,0.30974,0.95234,2.35318,0.7984,0.006535,0.006535,0.006535
30,1813.26,0.9959,2.48993,0.8748,0.74425,0.585,0.65512,0.32964,0.96722,2.23774,0.79446,0.00641125,0.00641125,0.00641125
31,1873.13,0.98255,2.45447,0.86557,0.69115,0.60975,0.65288,0.33803,0.99081,2.24508,0.80922,0.0062875,0.0062875,0.0062875
32,1933.01,0.98765,2.41203,0.87115,0.71974,0.60344,0.64486,0.3298,0.97549,2.27142,0.81169,0.00616375,0.00616375,0.00616375
33,1992.82,0.97326,2.36885,0.87059,0.69662,0.57341,0.6374,0.33187,0.92689,2.26109,0.77137,0.00604,0.00604,0.00604
34,2053.14,0.98073,2.36154,0.87593,0.68639,0.60488,0.63708,0.33644,0.89359,2.2501,0.75151,0.00591625,0.00591625,0.00591625
35,2113.11,0.94515,2.31406,0.85827,0.73886,0.60523,0.65255,0.34448,0.96484,2.16639,0.80895,0.0057925,0.0057925,0.0057925
36,2172.82,0.96664,2.28887,0.87287,0.70376,0.62201,0.66006,0.34913,0.89688,2.12944,0.7531,0.00566875,0.00566875,0.00566875
37,2232.47,0.94996,2.26586,0.86292,0.74036,0.60701,0.66518,0.34835,0.91691,2.12769,0.76969,0.005545,0.005545,0.005545
38,2292.21,0.94347,2.20417,0.85986,0.72682,0.64103,0.66851,0.3574,0.90792,2.1401,0.76486,0.00542125,0.00542125,0.00542125
39,2352.27,0.95218,2.19323,0.86678,0.74918,0.61803,0.67824,0.3586,0.87213,2.18088,0.74092,0.0052975,0.0052975,0.0052975
40,2412.03,0.93502,2.15631,0.8592,0.70429,0.62294,0.66805,0.35853,0.86243,2.09146,0.73641,0.00517375,0.00517375,0.00517375
41,2472.35,0.96611,2.1144,0.88738,0.73999,0.63665,0.67592,0.35718,0.85459,2.06656,0.73148,0.00505,0.00505,0.00505
42,2531.86,0.95816,2.10277,0.88188,0.74682,0.64113,0.68878,0.37009,0.89071,2.0066,0.75234,0.00492625,0.00492625,0.00492625
43,2591.34,0.94421,2.03982,0.87057,0.7644,0.63209,0.69321,0.37314,0.87875,2.05488,0.73821,0.0048025,0.0048025,0.0048025
44,2651.4,0.93675,2.02148,0.87488,0.71187,0.64844,0.68765,0.3639,0.83909,2.03861,0.72291,0.00467875,0.00467875,0.00467875
45,2711.08,0.93755,2.01382,0.88062,0.7505,0.6351,0.68932,0.37376,0.85007,2.03205,0.73154,0.004555,0.004555,0.004555
46,2770.54,0.94019,1.96613,0.8832,0.72969,0.66221,0.70361,0.3809,0.8412,2.05867,0.72055,0.00443125,0.00443125,0.00443125
47,2829.99,0.94222,1.94602,0.88863,0.80254,0.63675,0.71299,0.38685,0.85601,1.97357,0.73574,0.0043075,0.0043075,0.0043075
48,2889.46,0.92833,1.92464,0.87974,0.76909,0.64795,0.70546,0.38486,0.88983,1.98733,0.76291,0.00418375,0.00418375,0.00418375
49,2949.57,0.94188,1.9005,0.89281,0.72997,0.6693,0.70305,0.38291,0.82168,2.00426,0.71627,0.00406,0.00406,0.00406
50,3009.35,0.92404,1.87499,0.88118,0.78124,0.65268,0.71257,0.38526,0.80601,2.01401,0.69916,0.00393625,0.00393625,0.00393625
51,3068.9,0.92189,1.85427,0.88432,0.77581,0.6507,0.7063,0.38276,0.84939,1.97392,0.7361,0.0038125,0.0038125,0.0038125
52,3128.51,0.91943,1.8134,0.88605,0.78308,0.66866,0.72419,0.39632,0.80794,1.9333,0.70161,0.00368875,0.00368875,0.00368875
53,3188.01,0.92127,1.80237,0.89008,0.7825,0.64462,0.70269,0.38495,0.82025,1.98173,0.70528,0.003565,0.003565,0.003565
