epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4822,0.74504,6.13241,0.66406,0.52413,0.47263,0.4702,0.19447,0.79016,4.25943,0.66048,0.00331019,0.00331019,0.00331019
2,119.6,0.68612,4.5994,0.58848,0.35968,0.27033,0.20899,0.07948,0.9318,7.51458,0.79761,0.0065613,0.0065613,0.0065613
3,181.964,0.81083,5.69952,0.67949,0.05956,0.04817,0.01354,0.00453,1.74979,43.0799,1.56474,0.00972992,0.00972992,0.00972992
4,242.998,0.91082,6.42212,0.75372,0.15462,0.09066,0.03371,0.01207,1.42717,19.2385,1.2801,0.00962875,0.00962875,0.00962875
5,303.773,0.89678,5.98979,0.73956,0.11286,0.21558,0.08728,0.03218,1.29812,11.4233,1.0953,0.009505,0.009505,0.009505
6,364.088,0.88272,5.57242,0.72673,0.26064,0.23369,0.19259,0.06411,1.17481,6.06975,0.9526,0.00938125,0.00938125,0.00938125
7,424.266,0.86041,5.2874,0.71463,0.40513,0.30008,0.26451,0.09845,1.02857,5.47892,0.86947,0.0092575,0.0092575,0.0092575
8,484.039,0.89205,5.05771,0.73305,0.47775,0.34974,0.33247,0.13347,0.92777,4.79273,0.75646,0.00913375,0.00913375,0.00913375
9,543.922,0.85148,4.84212,0.71068,0.51918,0.33583,0.37189,0.1453,0.97895,4.58609,0.79831,0.00901,0.00901,0.00901
10,604.164,0.83126,4.67852,0.70012,0.43795,0.44773,0.3988,0.16778,0.90264,4.36617,0.75154,0.00888625,0.00888625,0.00888625
11,664.705,0.81499,4.5612,0.68974,0.46384,0.40835,0.39051,0.15254,0.96953,4.29447,0.78817,0.0087625,0.0087625,0.0087625
12,725.274,0.8129,4.43437,0.6958,0.59194,0.37855,0.43718,0.18633,0.95374,4.06973,0.78351,0.00863875,0.00863875,0.00863875
13,785.801,0.83402,4.28104,0.71229,0.52947,0.454,0.45504,0.18987,0.93577,3.86063,0.76681,0.008515,0.008515,0.008515
14,845.742,0.83877,4.21455,0.71524,0.53038,0.48154,0.48222,0.20654,0.93244,3.70626,0.78071,0.00839125,0.00839125,0.00839125
15,905.732,0.83992,4.06559,0.72071,0.47674,0.47484,0.4495,0.20346,0.95292,3.78167,0.77224,0.0082675,0.0082675,0.0082675
16,966.193,0.8333,3.99219,0.71809,0.60987,0.44178,0.48976,0.20954,0.87739,3.59791,0.7262,0.00814375,0.00814375,0.00814375
17,1026.45,0.85782,3.94201,0.73765,0.62208,0.48671,0.52865,0.23883,0.83264,3.47375,0.69432,0.00802,0.00802,0.00802
18,1086.87,0.85758,3.82543,0.73601,0.53952,0.51726,0.5171,0.23744,0.85078,3.44515,0.70318,0.00789625,0.00789625,0.00789625
19,1147.08,0.85838,3.73155,0.74037,0.55003,0.52197,0.51804,0.22854,0.83452,3.44119,0.67827,0.0077725,0.0077725,0.0077725
20,1207.05,0.86086,3.69151,0.74273,0.59323,0.50513,0.53631,0.25543,0.83778,3.38557,0.69768,0.00764875,0.00764875,0.00764875
21,1267.02,0.84784,3.62744,0.73829,0.59175,0.52717,0.53817,0.26168,0.76517,3.23877,0.64139,0.007525,0.007525,0.007525
22,1327.16,0.85929,3.52545,0.75106,0.64015,0.52659,0.54371,0.24949,0.86667,3.27939,0.71419,0.00740125,0.00740125,0.00740125
23,1387.4,0.86669,3.49456,0.75809,0.6316,0.53632,0.56351,0.26689,0.82054,3.17656,0.68955,0.0072775,0.0072775,0.0072775
24,1447.63,0.9054,3.42574,0.78354,0.66691,0.55328,0.59625,0.28038,0.76136,3.09357,0.63505,0.00715375,0.00715375,0.00715375
25,1507.29,0.87624,3.38918,0.76464,0.66371,0.56026,0.60566,0.28834,0.78158,3.04631,0.65055,0.00703,0.00703,0.00703
26,1566.94,0.85416,3.26642,0.75288,0.71984,0.5553,0.61733,0.30328,0.78595,2.95577,0.65834,0.00690625,0.00690625,0.00690625
27,1626.61,0.87681,3.27215,0.77241,0.6856,0.58495,0.62697,0.30066,0.85396,2.91379,0.69787,0.0067825,0.0067825,0.0067825
28,1686.42,0.88962,3.20197,0.78237,0.68489,0.59652,0.62975,0.30974,0.80306,2.84528,0.66054,0.00665875,0.00665875,0.00665875
29,1746.24,0.88973,3.1637,0.7874,0.67568,0.57095,0.62658,0.31322,0.77187,2.90694,0.65391,0.006535,0.006535,0.006535
30,1805.9,0.88337,3.08025,0.78241,0.7051,0.6072,0.65632,0.32184,0.78069,2.73273,0.64677,0.00641125,0.00641125,0.00641125
31,1865.59,0.89908,3.03667,0.79465,0.70895,0.6145,0.65028,0.33176,0.76853,2.81458,0.64872,0.0062875,0.0062875,0.0062875
32,1925.25,0.9097,2.97612,0.80913,0.70574,0.55843,0.61362,0.306,0.80857,2.90575,0.69302,0.00616375,0.00616375,0.00616375
33,1985.11,0.89254,2.93854,0.80104,0.69876,0.61829,0.65,0.32787,0.74695,2.78459,0.62548,0.00604,0.00604,0.00604
34,2044.72,0.90389,2.91889,0.80976,0.7233,0.61196,0.66203,0.34384,0.74105,2.71846,0.62188,0.00591625,0.00591625,0.00591625
35,2104.56,0.88382,2.85751,0.80269,0.71814,0.59995,0.64389,0.33141,0.79547,2.71835,0.67716,0.0057925,0.0057925,0.0057925
36,2164.47,0.88519,2.79643,0.80568,0.68524,0.62993,0.65666,0.33675,0.74132,2.68515,0.62762,0.00566875,0.00566875,0.00566875
37,2224.57,0.89944,2.8042,0.81822,0.72529,0.64559,0.6811,0.35507,0.75677,2.62918,0.64373,0.005545,0.005545,0.005545
38,2283.98,0.88013,2.74398,0.80718,0.69716,0.65078,0.681,0.36076,0.7409,2.58837,0.62829,0.00542125,0.00542125,0.00542125
39,2344.48,0.8952,2.69826,0.81753,0.74451,0.6287,0.68259,0.35625,0.75248,2.62913,0.63755,0.0052975,0.0052975,0.0052975
40,2404.54,0.88337,2.66682,0.81348,0.72885,0.63098,0.67721,0.35744,0.72838,2.53284,0.62187,0.00517375,0.00517375,0.00517375
41,2464.46,0.90014,2.62258,0.83179,0.75313,0.61878,0.67852,0.35986,0.79141,2.57224,0.67597,0.00505,0.00505,0.00505
42,2524.13,0.89838,2.58703,0.82922,0.74957,0.65219,0.69018,0.37092,0.7215,2.55079,0.61678,0.00492625,0.00492625,0.00492625
43,2584.26,0.90015,2.51385,0.82926,0.73885,0.66661,0.70598,0.36828,0.76295,2.49597,0.63802,0.0048025,0.0048025,0.0048025
44,2643.83,0.90597,2.50103,0.84357,0.74685,0.6465,0.69631,0.36457,0.75724,2.47069,0.65157,0.00467875,0.00467875,0.00467875
45,2704.15,0.90671,2.49085,0.85044,0.76716,0.6328,0.69232,0.37281,0.75862,2.47263,0.6532,0.004555,0.004555,0.004555
46,2764.26,0.90634,2.42335,0.84934,0.73832,0.659,0.70625,0.38175,0.70922,2.48559,0.61307,0.00443125,0.00443125,0.00443125
47,2824.58,0.90196,2.42715,0.84818,0.75595,0.63771,0.69325,0.37097,0.73879,2.55886,0.63386,0.0043075,0.0043075,0.0043075
48,2884.38,0.90483,2.36858,0.84903,0.74394,0.65775,0.69556,0.37771,0.73277,2.48409,0.63586,0.00418375,0.00418375,0.00418375
49,2944.42,0.91631,2.33038,0.86222,0.76461,0.65739,0.7055,0.38302,0.69585,2.53806,0.60549,0.00406,0.00406,0.00406
50,3004.55,0.91294,2.3164,0.86075,0.78141,0.65518,0.70758,0.38799,0.74727,2.47285,0.63947,0.00393625,0.00393625,0.00393625
51,3064.5,0.90632,2.28466,0.86108,0.77798,0.65989,0.71244,0.3893,0.69644,2.44323,0.60511,0.0038125,0.0038125,0.0038125
52,3124.25,0.91941,2.2507,0.87362,0.76745,0.6683,0.71759,0.3919,0.71336,2.42466,0.62188,0.00368875,0.00368875,0.00368875
53,3184.92,0.91625,2.24559,0.87613,0.78547,0.65949,0.71548,0.39285,0.70447,2.3974,0.61135,0.003565,0.003565,0.003565
54,3245.11,0.92329,2.21538,0.88259,0.77153,0.65401,0.71072,0.39304,0.7328,2.45508,0.63314,0.00344125,0.00344125,0.00344125
55,3304.8,0.91801,2.15449,0.88014,0.76446,0.67301,0.71892,0.39618,0.71915,2.45345,0.62408,0.0033175,0.0033175,0.0033175
56,3364.48,0.91957,2.16035,0.88555,0.76431,0.67558,0.72457,0.40216,0.72352,2.41611,0.62985,0.00319375,0.00319375,0.00319375
57,3424.15,0.91575,2.12189,0.88607,0.78515,0.64429,0.71742,0.39956,0.72268,2.40765,0.6307,0.00307,0.00307,0.00307
58,3483.73,0.91239,2.08452,0.88721,0.7549,0.67606,0.71685,0.39691,0.71182,2.36126,0.62353,0.00294625,0.00294625,0.00294625
59,3543.36,0.9109,2.08143,0.88166,0.78635,0.66613,0.71176,0.39742,0.73137,2.39823,0.6409,0.0028225,0.0028225,0.0028225
60,3603.06,0.91643,2.05923,0.89313,0.79098,0.66467,0.72459,0.40283,0.7103,2.39041,0.63154,0.00269875,0.00269875,0.00269875
61,3662.71,0.91792,2.00848,0.89936,0.79047,0.65422,0.7259,0.40234,0.70337,2.32287,0.62174,0.002575,0.002575,0.002575
