epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7388,0.82284,5.02994,0.75499,0.40392,0.42801,0.36127,0.13406,0.95617,4.60217,0.79295,0.00331034,0.00331034,0.00331034
2,120.077,0.74551,3.58903,0.65979,0.23059,0.23077,0.15099,0.05252,1.06588,12.7424,0.92304,0.00656146,0.00656146,0.00656146
3,183.602,0.88807,4.50528,0.76456,0.26,0.08495,0.00553,0.00194,1.88147,inf,2.06142,0.00973008,0.00973008,0.00973008
4,245.812,0.99757,5.16055,0.84679,0.12307,0.1081,0.05397,0.01822,1.51788,58.8976,1.40219,0.00962875,0.00962875,0.00962875
5,306.741,0.96207,4.73451,0.82298,0.23153,0.23446,0.16133,0.05768,1.29235,7.90864,1.12303,0.009505,0.009505,0.009505
6,367.542,0.92341,4.40718,0.79149,0.28336,0.24807,0.19176,0.07128,1.1629,5.93452,1.01229,0.00938125,0.00938125,0.00938125
7,427.823,0.91131,4.08714,0.78463,0.32902,0.29163,0.23853,0.09292,1.01606,5.08545,0.89813,0.0092575,0.0092575,0.0092575
8,488.625,0.91359,3.88834,0.79176,0.3796,0.37415,0.30378,0.1138,1.20405,4.39156,1.04744,0.00913375,0.00913375,0.00913375
9,549.394,0.88826,3.69851,0.7709,0.46216,0.37904,0.36179,0.13968,1.07704,3.9158,0.93412,0.00901,0.00901,0.00901
10,609.168,0.88793,3.56448,0.77079,0.50827,0.40498,0.39236,0.15532,0.98724,3.80292,0.83963,0.00888625,0.00888625,0.00888625
11,669.008,0.88252,3.37188,0.7704,0.46972,0.38407,0.35815,0.13834,1.08587,3.69778,0.92863,0.0087625,0.0087625,0.0087625
12,728.757,0.87178,3.26595,0.7643,0.52488,0.45894,0.45564,0.18194,1.0343,3.36678,0.85772,0.00863875,0.00863875,0.00863875
13,789.112,0.88187,3.15026,0.77176,0.50795,0.4572,0.43815,0.18909,1.06925,3.22477,0.90031,0.008515,0.008515,0.008515
14,849.04,0.91353,3.06957,0.79373,0.52762,0.45244,0.43772,0.18817,1.04061,3.31187,0.87957,0.00839125,0.00839125,0.00839125
15,909.662,0.88787,2.95297,0.77947,0.57148,0.43601,0.45857,0.19029,1.03641,3.18976,0.86751,0.0082675,0.0082675,0.0082675
16,970.404,0.89133,2.90287,0.7815,0.57545,0.49175,0.50163,0.21044,0.98032,2.94053,0.82198,0.00814375,0.00814375,0.00814375
17,1030.91,0.87344,2.78346,0.7731,0.54739,0.48077,0.48142,0.20554,1.11648,3.09838,0.93319,0.00802,0.00802,0.00802
18,1091.62,0.88687,2.74533,0.78615,0.56157,0.46758,0.47812,0.20924,1.00823,3.01399,0.86312,0.00789625,0.00789625,0.00789625
19,1151.43,0.87095,2.63817,0.77306,0.57354,0.49771,0.49477,0.22136,1.04405,2.94096,0.86193,0.0077725,0.0077725,0.0077725
20,1211.17,0.86783,2.56683,0.77473,0.57795,0.51179,0.50476,0.22244,0.97195,2.94024,0.82906,0.00764875,0.00764875,0.00764875
21,1270.9,0.87409,2.54303,0.78456,0.56069,0.51009,0.5126,0.22614,0.96221,2.83472,0.81636,0.007525,0.007525,0.007525
22,1330.8,0.86351,2.44288,0.77877,0.59996,0.52725,0.5341,0.24864,0.98472,2.75839,0.83649,0.00740125,0.00740125,0.00740125
23,1390.51,0.85684,2.37057,0.77876,0.62648,0.49691,0.50685,0.23742,0.97561,2.7835,0.83662,0.0072775,0.0072775,0.0072775
24,1450.16,0.86093,2.34734,0.78234,0.6622,0.51153,0.54067,0.24658,0.99025,2.71087,0.84092,0.00715375,0.00715375,0.00715375
25,1510.42,0.87817,2.29907,0.79456,0.62082,0.51856,0.5258,0.24883,0.98171,2.72283,0.83795,0.00703,0.00703,0.00703
26,1570.37,0.85327,2.22153,0.7805,0.64126,0.5195,0.54419,0.26502,0.96054,2.63843,0.82035,0.00690625,0.00690625,0.00690625
27,1630.21,0.85939,2.17861,0.78365,0.62119,0.54331,0.55566,0.26403,0.90982,2.63207,0.78477,0.0067825,0.0067825,0.0067825
28,1690.69,0.85074,2.15761,0.78506,0.62148,0.55815,0.56598,0.26807,0.94495,2.59887,0.80998,0.00665875,0.00665875,0.00665875
29,1751.39,0.84285,2.10571,0.78031,0.59892,0.53292,0.53435,0.25762,0.9244,2.6843,0.79687,0.006535,0.006535,0.006535
30,1811.91,0.83207,2.05368,0.77217,0.70114,0.54859,0.58204,0.27749,0.93864,2.53989,0.81401,0.00641125,0.00641125,0.00641125
31,1871.73,0.83731,2.01405,0.77971,0.64785,0.53001,0.5625,0.26793,0.93959,2.58129,0.82357,0.0062875,0.0062875,0.0062875
32,1931.45,0.82317,1.96933,0.77726,0.67503,0.52013,0.56853,0.27612,0.92522,2.59232,0.80262,0.00616375,0.00616375,0.00616375
33,1991.11,0.82183,1.93979,0.77961,0.66169,0.52977,0.54984,0.27193,0.86574,2.67101,0.76074,0.00604,0.00604,0.00604
34,2050.78,0.82279,1.91022,0.77807,0.67724,0.52634,0.57514,0.28701,0.83908,2.5532,0.74379,0.00591625,0.00591625,0.00591625
35,2110.52,0.82131,1.85404,0.77673,0.69686,0.55769,0.58629,0.28828,0.88254,2.44463,0.78303,0.0057925,0.0057925,0.0057925
36,2170.24,0.8226,1.85567,0.78148,0.64493,0.53391,0.55215,0.25627,0.91411,2.65151,0.79623,0.00566875,0.00566875,0.00566875
37,2230.7,0.82455,1.80152,0.78428,0.67284,0.56253,0.58608,0.29598,0.918,2.54598,0.80043,0.005545,0.005545,0.005545
38,2291.36,0.83339,1.78045,0.79466,0.66989,0.55253,0.57871,0.2912,0.90348,2.50184,0.80071,0.00542125,0.00542125,0.00542125
39,2351.81,0.83356,1.75868,0.79833,0.66228,0.5644,0.58375,0.28801,0.91184,2.48915,0.80598,0.0052975,0.0052975,0.0052975
40,2412.27,0.81079,1.7109,0.78521,0.68583,0.57135,0.59483,0.29642,0.87807,2.42604,0.77886,0.00517375,0.00517375,0.00517375
41,2472.97,0.82357,1.69631,0.79203,0.70576,0.53088,0.5779,0.30041,0.88355,2.5026,0.79221,0.00505,0.00505,0.00505
42,2533.37,0.81673,1.67067,0.79492,0.70198,0.57133,0.60011,0.30316,0.83753,2.49572,0.7537,0.00492625,0.00492625,0.00492625
43,2593.85,0.81899,1.64242,0.79763,0.71392,0.57191,0.60322,0.31042,0.86608,2.50611,0.7741,0.0048025,0.0048025,0.0048025
44,2654.2,0.81142,1.61383,0.79529,0.72289,0.56808,0.59723,0.30506,0.8862,2.43794,0.79145,0.00467875,0.00467875,0.00467875
45,2714.61,0.80887,1.59472,0.79469,0.69468,0.59672,0.61942,0.32014,0.89189,2.42234,0.79475,0.004555,0.004555,0.004555
46,2775.16,0.80282,1.56976,0.79813,0.71937,0.57352,0.61264,0.32347,0.8483,2.49854,0.76754,0.00443125,0.00443125,0.00443125
47,2835.71,0.80624,1.5602,0.79721,0.72176,0.58221,0.61522,0.32958,0.80473,2.4644,0.72765,0.0043075,0.0043075,0.0043075
48,2896.16,0.7874,1.5152,0.78808,0.71196,0.58031,0.61623,0.31841,0.86055,2.37722,0.77273,0.00418375,0.00418375,0.00418375
49,2956.27,0.7872,1.49383,0.79304,0.69858,0.58677,0.61672,0.3211,0.82579,2.42638,0.74508,0.00406,0.00406,0.00406
50,3016.52,0.79516,1.4907,0.80287,0.73041,0.58536,0.62588,0.33062,0.86629,2.39388,0.782,0.00393625,0.00393625,0.00393625
51,3076.6,0.78519,1.47102,0.79554,0.71866,0.56516,0.6092,0.32326,0.84073,2.52394,0.76048,0.0038125,0.0038125,0.0038125
52,3137.24,0.78793,1.44876,0.80139,0.70543,0.57288,0.59793,0.31435,0.83742,2.49309,0.76403,0.00368875,0.00368875,0.00368875
53,3197.68,0.77946,1.43532,0.79669,0.74556,0.56393,0.61155,0.32366,0.81402,2.46034,0.74752,0.003565,0.003565,0.003565
54,3258.09,0.77826,1.40391,0.79886,0.72483,0.5941,0.62756,0.3349,0.76617,2.44404,0.71398,0.00344125,0.00344125,0.00344125
