epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3882,0.63822,5.12441,0.46778,0.50586,0.45721,0.44179,0.19385,0.65493,3.71671,0.46193,0.00331019,0.00331019,0.00331019
2,121.194,0.60447,3.88138,0.42044,0.25881,0.24166,0.14667,0.05638,0.9986,7.92632,0.68148,0.0065613,0.0065613,0.0065613
3,183.416,0.74918,4.76707,0.50715,0.03639,0.04419,0.01188,0.00385,2.04905,69.2291,1.67437,0.00972992,0.00972992,0.00972992
4,243.785,0.94574,5.46655,0.61285,0.087,0.11364,0.04306,0.01364,1.63965,25.5123,1.2606,0.00962875,0.00962875,0.00962875
5,304.38,0.9497,5.03988,0.61323,0.44953,0.20608,0.15457,0.0554,1.38619,5.64564,0.94456,0.009505,0.009505,0.009505
6,364.993,0.93388,4.72848,0.6055,0.48938,0.24442,0.20148,0.07473,1.03844,4.80836,0.69179,0.00938125,0.00938125,0.00938125
7,425.44,0.87417,4.47307,0.57806,0.31141,0.33341,0.24907,0.10064,1.15731,4.60474,0.76423,0.0092575,0.0092575,0.0092575
8,486.049,0.89325,4.27001,0.5909,0.44353,0.29698,0.28994,0.11919,1.03442,4.11096,0.68213,0.00913375,0.00913375,0.00913375
9,546.485,0.79594,4.09007,0.54095,0.45419,0.37659,0.34568,0.13926,0.95756,3.96549,0.64629,0.00901,0.00901,0.00901
10,606.614,0.76761,3.93456,0.52758,0.45328,0.39645,0.36851,0.15385,0.94165,3.7006,0.64258,0.00888625,0.00888625,0.00888625
11,666.2,0.78451,3.85967,0.54254,0.39484,0.40394,0.35465,0.14354,0.94311,3.6387,0.62015,0.0087625,0.0087625,0.0087625
12,725.713,0.76709,3.73039,0.53947,0.44956,0.44081,0.39251,0.16056,0.90848,3.43666,0.61526,0.00863875,0.00863875,0.00863875
13,785.206,0.79324,3.61558,0.55986,0.49971,0.45243,0.42247,0.16938,0.84485,3.36692,0.574,0.008515,0.008515,0.008515
14,844.67,0.77852,3.55602,0.55135,0.50587,0.45852,0.44247,0.18485,0.84378,3.27421,0.59328,0.00839125,0.00839125,0.00839125
15,904.184,0.78438,3.46612,0.5621,0.5282,0.44284,0.45788,0.20188,0.92133,3.23335,0.63102,0.0082675,0.0082675,0.0082675
16,963.707,0.77225,3.3664,0.55954,0.5466,0.48589,0.47903,0.19457,0.79982,3.18631,0.5396,0.00814375,0.00814375,0.00814375
17,1023.19,0.80653,3.33027,0.58592,0.58313,0.50682,0.50435,0.22463,0.78757,2.96364,0.53985,0.00802,0.00802,0.00802
18,1082.68,0.8097,3.2356,0.58655,0.564,0.51899,0.52174,0.22883,0.76189,2.91963,0.52936,0.00789625,0.00789625,0.00789625
19,1142.17,0.7677,3.18034,0.56681,0.60624,0.4786,0.51924,0.22947,0.78617,2.91113,0.54212,0.0077725,0.0077725,0.0077725
20,1201.66,0.8042,3.12627,0.59094,0.58131,0.50713,0.52163,0.23648,0.66841,2.87616,0.46851,0.00764875,0.00764875,0.00764875
21,1261.13,0.7906,3.0688,0.58979,0.63335,0.51761,0.54651,0.26059,0.76685,2.66837,0.52814,0.007525,0.007525,0.007525
22,1320.6,0.78663,2.97529,0.59098,0.61705,0.5603,0.57019,0.26392,0.74178,2.65358,0.50842,0.00740125,0.00740125,0.00740125
23,1380.08,0.81332,2.94136,0.61007,0.63499,0.53651,0.56591,0.26337,0.71851,2.6151,0.49285,0.0072775,0.0072775,0.0072775
24,1439.7,0.84947,2.89045,0.63677,0.63593,0.56451,0.5708,0.26909,0.70385,2.565,0.48543,0.00715375,0.00715375,0.00715375
25,1499.4,0.80866,2.86439,0.61159,0.65409,0.55303,0.59453,0.27922,0.72042,2.56166,0.49682,0.00703,0.00703,0.00703
26,1559.86,0.79022,2.76963,0.60831,0.66141,0.57875,0.60961,0.29229,0.63107,2.49696,0.44283,0.00690625,0.00690625,0.00690625
27,1619.96,0.78629,2.76392,0.61213,0.66324,0.56217,0.60188,0.28129,0.68735,2.4837,0.47113,0.0067825,0.0067825,0.0067825
28,1680.14,0.81205,2.71151,0.62587,0.6358,0.57514,0.61139,0.29542,0.78915,2.48255,0.54407,0.00665875,0.00665875,0.00665875
