epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5801,0.7938,5.10858,0.74062,0.48726,0.44276,0.42892,0.18349,0.91889,3.63344,0.77857,0.00331019,0.00331019,0.00331019
2,120.264,0.72939,3.85215,0.6575,0.29368,0.32382,0.24884,0.09787,1.06241,4.99831,0.96415,0.0065613,0.0065613,0.0065613
3,182.113,0.84588,4.69242,0.74788,0.2833,0.05692,0.00944,0.00307,1.62193,47.6503,1.60359,0.00972992,0.00972992,0.00972992
4,241.861,0.91078,5.31565,0.80487,0.12189,0.13688,0.04409,0.01567,1.32636,13.4619,1.35064,0.00962875,0.00962875,0.00962875
5,302.758,0.8892,4.95817,0.79244,0.23509,0.1983,0.13499,0.04763,1.23564,7.25227,1.12456,0.009505,0.009505,0.009505
6,362.998,0.89681,4.62478,0.78999,0.3773,0.29921,0.23105,0.07952,1.13841,4.63552,0.98349,0.00938125,0.00938125,0.00938125
7,422.74,0.88352,4.3896,0.77847,0.37969,0.31031,0.27028,0.10444,1.18611,4.61669,1.04036,0.0092575,0.0092575,0.0092575
8,482.302,0.90428,4.16121,0.79422,0.44511,0.33407,0.30898,0.12472,0.99854,3.96801,0.88128,0.00913375,0.00913375,0.00913375
9,541.981,0.88035,4.0082,0.78011,0.55861,0.33291,0.36467,0.14843,0.97357,3.83888,0.85243,0.00901,0.00901,0.00901
10,601.69,0.86351,3.86277,0.76953,0.42308,0.41633,0.37461,0.16095,0.99095,3.7115,0.86485,0.00888625,0.00888625,0.00888625
11,661.788,0.88202,3.7722,0.78018,0.5057,0.41439,0.42907,0.17058,1.05448,3.42264,0.90538,0.0087625,0.0087625,0.0087625
12,722.185,0.88257,3.64369,0.78492,0.50081,0.46205,0.45804,0.1914,0.94958,3.27392,0.81392,0.00863875,0.00863875,0.00863875
13,782.028,0.90706,3.53225,0.8011,0.53708,0.46004,0.46059,0.19758,0.96351,3.17014,0.8377,0.008515,0.008515,0.008515
14,841.766,0.88035,3.47834,0.7814,0.48831,0.4572,0.45507,0.19604,0.9816,3.18287,0.85134,0.00839125,0.00839125,0.00839125
15,901.382,0.85912,3.36804,0.77373,0.60571,0.4402,0.47738,0.21734,0.94714,3.0792,0.81359,0.0082675,0.0082675,0.0082675
16,961.266,0.87243,3.28723,0.78481,0.59986,0.45067,0.50447,0.22188,0.95483,2.92135,0.8308,0.00814375,0.00814375,0.00814375
17,1021.33,0.89226,3.22998,0.80206,0.57327,0.5112,0.52709,0.24316,0.90976,2.85994,0.7873,0.00802,0.00802,0.00802
18,1080.98,0.88799,3.14201,0.79627,0.57341,0.50542,0.53881,0.23929,0.89892,2.81963,0.773,0.00789625,0.00789625,0.00789625
19,1141.12,0.86767,3.0924,0.78536,0.56571,0.50342,0.53179,0.24348,0.94669,2.8423,0.81965,0.0077725,0.0077725,0.0077725
20,1201.39,0.87655,3.02607,0.79326,0.58388,0.55403,0.55791,0.26008,0.86035,2.72505,0.75347,0.00764875,0.00764875,0.00764875
21,1263.33,0.87393,2.96722,0.80052,0.5879,0.52341,0.53849,0.2639,0.86421,2.75411,0.75474,0.007525,0.007525,0.007525
