epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7432,0.82609,6.12415,0.75807,0.47585,0.45179,0.42157,0.18262,0.95059,4.37369,0.79945,0.00331019,0.00331019,0.00331019
2,121.05,0.75977,4.62535,0.67508,0.33285,0.32672,0.23684,0.09279,1.09884,8.04574,0.97772,0.0065613,0.0065613,0.0065613
3,182.728,0.89257,5.60507,0.76701,0.02099,0.01551,0.0032,0.00115,1.83785,67.463,1.67359,0.00972992,0.00972992,0.00972992
4,243.001,1.00151,6.34502,0.84748,0.12169,0.13461,0.06145,0.0227,1.4149,13.8942,1.28291,0.00962875,0.00962875,0.00962875
5,302.998,0.9561,5.94185,0.81437,0.15214,0.24245,0.12583,0.04527,1.27559,11.2882,1.10106,0.009505,0.009505,0.009505
6,362.486,0.94511,5.53088,0.80773,0.28649,0.24706,0.21005,0.07165,1.07507,6.37192,0.92413,0.00938125,0.00938125,0.00938125
7,422.259,0.91848,5.26923,0.78847,0.5107,0.25587,0.23591,0.09724,1.08336,5.80208,0.93598,0.0092575,0.0092575,0.0092575
8,481.853,0.94697,5.02649,0.80538,0.35941,0.30987,0.27341,0.11207,1.05851,5.29758,0.90114,0.00913375,0.00913375,0.00913375
9,541.261,0.91863,4.83311,0.79132,0.43788,0.35707,0.35712,0.1471,1.03208,4.55878,0.87458,0.00901,0.00901,0.00901
10,600.828,0.90709,4.6504,0.78414,0.43391,0.41888,0.3789,0.15796,1.08995,4.39034,0.90459,0.00888625,0.00888625,0.00888625
11,660.476,0.92685,4.54092,0.80047,0.50402,0.36639,0.37258,0.14565,1.16072,4.27248,0.93983,0.0087625,0.0087625,0.0087625
12,719.987,0.92956,4.39605,0.80177,0.50523,0.42135,0.43116,0.18578,1.07114,4.07808,0.88628,0.00863875,0.00863875,0.00863875
13,779.624,0.94326,4.2383,0.81052,0.54784,0.46044,0.46709,0.19633,0.97168,3.80066,0.8305,0.008515,0.008515,0.008515
14,839.236,0.9157,4.18847,0.79121,0.47829,0.43653,0.4337,0.18374,0.9745,4.03173,0.82436,0.00839125,0.00839125,0.00839125
15,898.847,0.91579,4.06537,0.79605,0.5195,0.45182,0.46486,0.20143,0.9944,3.80113,0.82513,0.0082675,0.0082675,0.0082675
16,958.459,0.91265,3.95997,0.79413,0.58866,0.46263,0.49605,0.223,0.98331,3.57993,0.82556,0.00814375,0.00814375,0.00814375
17,1018.04,0.95611,3.92282,0.82679,0.57314,0.5118,0.5247,0.23594,0.94954,3.44631,0.79732,0.00802,0.00802,0.00802
18,1077.72,0.94905,3.79655,0.82232,0.58973,0.51307,0.52471,0.24134,0.98338,3.47368,0.82832,0.00789625,0.00789625,0.00789625
19,1137.37,0.9278,3.74055,0.80935,0.61396,0.47843,0.52022,0.23366,0.97214,3.39475,0.8186,0.0077725,0.0077725,0.0077725
20,1196.94,0.92353,3.68916,0.81061,0.65434,0.49335,0.54588,0.25981,0.96594,3.3283,0.81377,0.00764875,0.00764875,0.00764875
21,1256.58,0.92835,3.58233,0.81694,0.59711,0.55078,0.56783,0.2677,0.94698,3.18015,0.80599,0.007525,0.007525,0.007525
22,1316.16,0.93716,3.53832,0.82758,0.67789,0.54146,0.58472,0.26098,0.97244,3.12497,0.80666,0.00740125,0.00740125,0.00740125
23,1375.82,0.93542,3.48928,0.82951,0.65425,0.54667,0.58063,0.27938,0.86681,3.1078,0.74529,0.0072775,0.0072775,0.0072775
24,1435.37,0.9597,3.41985,0.84554,0.62038,0.56862,0.56661,0.27365,0.91085,3.16557,0.77596,0.00715375,0.00715375,0.00715375
25,1494.92,0.93284,3.35763,0.8244,0.67737,0.55105,0.59655,0.27411,0.96693,3.01966,0.80201,0.00703,0.00703,0.00703
26,1554.54,0.92326,3.23795,0.82553,0.63419,0.577,0.60274,0.30184,0.87339,2.99502,0.74794,0.00690625,0.00690625,0.00690625
27,1614.16,0.92522,3.24379,0.82824,0.68651,0.58501,0.62684,0.30317,0.8746,2.89855,0.73334,0.0067825,0.0067825,0.0067825
28,1673.73,0.92434,3.19195,0.8281,0.66543,0.60214,0.61681,0.31518,0.86905,2.87231,0.74333,0.00665875,0.00665875,0.00665875
29,1733.35,0.94292,3.14093,0.84192,0.66861,0.57494,0.61368,0.3053,0.93275,2.86602,0.78768,0.006535,0.006535,0.006535
30,1792.94,0.93649,3.06115,0.84025,0.6843,0.59799,0.63623,0.32206,0.88147,2.76726,0.75047,0.00641125,0.00641125,0.00641125
31,1852.62,0.93036,3.00916,0.84192,0.7154,0.57153,0.62481,0.31192,0.9274,2.85673,0.79117,0.0062875,0.0062875,0.0062875
32,1912.4,0.92258,2.95056,0.83991,0.67132,0.61012,0.6366,0.31976,0.84562,2.75496,0.73228,0.00616375,0.00616375,0.00616375
33,1972.15,0.94493,2.9107,0.85653,0.72998,0.58516,0.64137,0.33274,0.84492,2.74358,0.72849,0.00604,0.00604,0.00604
34,2032.21,0.94712,2.89884,0.85703,0.68568,0.59819,0.63959,0.32611,0.82801,2.74078,0.71244,0.00591625,0.00591625,0.00591625
35,2091.81,0.92316,2.82584,0.84393,0.68474,0.63789,0.66308,0.34214,0.83748,2.60555,0.73057,0.0057925,0.0057925,0.0057925
36,2151.38,0.9262,2.79192,0.85021,0.71362,0.62551,0.66934,0.34774,0.86363,2.66133,0.74133,0.00566875,0.00566875,0.00566875
37,2210.96,0.93435,2.77432,0.85396,0.73902,0.62012,0.66539,0.34448,0.88212,2.62602,0.75333,0.005545,0.005545,0.005545
38,2270.67,0.94758,2.71777,0.8662,0.72764,0.63467,0.66854,0.3502,0.80136,2.60226,0.69961,0.00542125,0.00542125,0.00542125
39,2331.03,0.94037,2.6669,0.86228,0.70276,0.63474,0.67001,0.35492,0.83453,2.67127,0.71425,0.0052975,0.0052975,0.0052975
40,2390.84,0.94157,2.65055,0.86903,0.69758,0.63747,0.66584,0.35679,0.82568,2.57336,0.71944,0.00517375,0.00517375,0.00517375
