epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9337,0.95301,5.03001,0.81526,0.53836,0.46654,0.45848,0.17866,1.03866,3.24965,0.78596,0.00331019,0.00331019,0.00331019
2,120.1,0.89284,3.6122,0.71761,0.34086,0.25608,0.21699,0.07663,1.37412,6.24714,1.07907,0.0065613,0.0065613,0.0065613
3,181.146,1.11545,4.44324,0.86118,0.27058,0.02768,0.0056,0.00167,2.39367,50.0895,2.21322,0.00972992,0.00972992,0.00972992
4,241.531,1.27583,5.06454,0.94923,0.15288,0.16053,0.06844,0.02345,2.04527,13.3945,1.64198,0.00962875,0.00962875,0.00962875
5,302.011,1.31993,4.67115,0.95892,0.52643,0.1794,0.1657,0.05618,1.72556,6.42245,1.2906,0.009505,0.009505,0.009505
6,362.761,1.2288,4.32585,0.90149,0.2545,0.2643,0.18439,0.05891,1.55385,4.85256,1.13197,0.00938125,0.00938125,0.00938125
7,423.954,1.20151,4.03475,0.88748,0.38685,0.26761,0.22464,0.07903,1.43489,5.35334,1.10384,0.0092575,0.0092575,0.0092575
8,484.066,1.24188,3.82748,0.90987,0.37577,0.34269,0.30804,0.11245,1.28115,3.84471,0.94607,0.00913375,0.00913375,0.00913375
9,544.264,1.17029,3.65969,0.87143,0.4799,0.33816,0.3351,0.12513,1.32358,3.64436,1.00745,0.00901,0.00901,0.00901
10,604.435,1.19485,3.51602,0.8877,0.42698,0.42206,0.38219,0.15178,1.26863,3.41436,0.94371,0.00888625,0.00888625,0.00888625
11,664.551,1.17343,3.42192,0.87441,0.4601,0.44188,0.39149,0.15304,1.31416,3.16332,0.97122,0.0087625,0.0087625,0.0087625
12,724.945,1.12713,3.28843,0.85301,0.48853,0.40026,0.39723,0.15926,1.28727,3.23483,0.95984,0.00863875,0.00863875,0.00863875
13,785.252,1.13054,3.17019,0.85803,0.57185,0.42877,0.43855,0.17188,1.27861,3.10657,0.97103,0.008515,0.008515,0.008515
14,846.103,1.14256,3.11772,0.86985,0.57177,0.45351,0.48105,0.19746,1.14963,2.70127,0.88051,0.00839125,0.00839125,0.00839125
15,906.319,1.10097,3.00938,0.84942,0.54446,0.49029,0.48681,0.21209,1.13253,2.78801,0.85871,0.0082675,0.0082675,0.0082675
16,966.277,1.13715,2.93251,0.87266,0.60373,0.50633,0.52808,0.22136,1.17365,2.59555,0.89381,0.00814375,0.00814375,0.00814375
17,1026.22,1.11576,2.88533,0.8676,0.64025,0.49957,0.53322,0.23637,1.07563,2.56027,0.83573,0.00802,0.00802,0.00802
18,1086.22,1.11156,2.79106,0.86107,0.59662,0.53486,0.53455,0.2304,1.16351,2.54435,0.87896,0.00789625,0.00789625,0.00789625
19,1146.3,1.08856,2.73226,0.85084,0.60832,0.52451,0.52314,0.22845,1.12208,2.54744,0.86603,0.0077725,0.0077725,0.0077725
20,1206.29,1.09872,2.69355,0.85987,0.56293,0.55148,0.54179,0.24796,1.07917,2.42553,0.83196,0.00764875,0.00764875,0.00764875
21,1266.25,1.11883,2.65312,0.87891,0.65291,0.53317,0.56592,0.26172,1.09714,2.31384,0.85893,0.007525,0.007525,0.007525
22,1326.19,1.10402,2.55888,0.87407,0.69935,0.53147,0.58468,0.27196,1.08115,2.30981,0.83677,0.00740125,0.00740125,0.00740125
23,1386.21,1.10718,2.54866,0.88025,0.65281,0.5632,0.59357,0.26891,0.99811,2.29989,0.77658,0.0072775,0.0072775,0.0072775
